,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
211,,,,,,,,,Drainage Corridor 20m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
212,,,,,45,30,UPA,,Multiple Residential 30-45 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
213,,,,,,,,,Linkages,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
214,,,,,15,10,UPA,,Multiple Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
215,,,,,15,10,UPA,,Cluster Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
216,,,,,,,,,Park / Open Space,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
217,,,,,10,6,UPA,,Cluster Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
218,20171218,As of Corporate Report (File 6520-20),R259,20180117,,,,,Buffer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
219,20171218,As of Corporate Report (File 6520-20),R259,20180117,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
220,,,,,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180514,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
221,,,,20111115,,,,,Riparian Protection Area,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
222,,,,20170208,25,15,UPA,,Multiple Residential 15-25 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
223,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
224,,,,20111115,,,,,Riparian Protection Area,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
225,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
226,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
227,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
228,,,,20111115,,,,,Conifer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
229,,,,20160309,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
230,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
231,20170424,,RES.R17-1089,20170519,15,10,UPA,7912-0290-00,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
232,,,,20160309,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
233,,,,,,,,,Drainage Corridor 10m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
234,,,,20160309,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
235,,,,,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
236,20160307,Amended from School to Medium Density Residential 10-15 u.p.a.,,20180514,15,10,UPA,7913-0154-00,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
237,20160307,Amended from School to Medium Density Residential 10-15 u.p.a.,,20160309,15,10,UPA,7911-0029-00,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
238,,,,20160309,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
239,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
240,,,,,,,,,Drainage Corridor 10m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
241,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
242,20170424,Amendment from Low Density Residential 6-10 u.p.a. to Medium Density Residential 10-15 u.p.a.,RES.R17-1092,20170814,15,10,UPA,7915-0046-00,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
243,20160307,Amended From Drainage Corridor 5m to School,,,,,,7911-0014-00,School,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
244,,,,,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180514,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
245,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
246,20171218,As of Corporate Report (File 6520-20),R259,20180117,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
247,20171218,As of Corporate Report (File 6520-20),R259,20180117,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
248,20171218,As of Corporate Report (File 6520-20),R259,20180117,,,,,Buffer,20180403,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
249,,,,,,,,,Urban Transitional Up to 8 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
250,20180423,Amended from Urban Transitional Up to 8 u.p.a. to Medium Density Residential 10-15 u.p.a.,,20180514,10,6,UPA,7916-0312-00,Medium Density Residential 10-15 u.p.a.,20180514,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
251,,,,20180514,,,,,Buffer,20180514,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
252,,,,20180514,,,,,Buffer,20180514,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
253,,,,20180514,,,,,Buffer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
254,,,,20180514,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180514,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
255,,,,20111115,,,,,Riparian Protection Area,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
256,,,,,,,,,Park / Open Space,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
257,,,,20111115,,,,,Conifer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
258,,,,,,,,,Drainage Corridor 20m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
259,,,,,,,,,Grandview Ridge Trail,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
260,,,,20111115,,,,,Deciduous,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
261,,,,20180514,10,6,UPA,,Low Density Residential 6-10 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
262,20180423,Amended from Low Density Residential 6-10 u.p.a. to Medium Density Residential 10-15 u.p.a.,,20180514,10,6,UPA,7916-0312-00,Medium Density Residential 10-15 u.p.a.,20180514,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
263,20171218,As of Corporate Report (File 6520-20),R259,20180117,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
264,,,,,,,,,Drainage Corridor 20m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
265,,,,,,,,,Grandview Ridge Trail,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
266,,,,,,,,,Linkages,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
267,,,,,,,,,Park / Open Space,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
268,,,,,25,15,UPA,,Multiple Residential 15-25 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
269,,,,20160309,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
270,,,,,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
271,,,,20170519,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
272,20160307,Amended from School to Medium Density Residential 10-15 u.p.a.,,20160309,15,10,UPA,7911-0014-00,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
273,,,,,,,,,Drainage Corridor 10m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
274,20160711,Amended from Cluster Residential 10-15 u.p.a. to Civic Utility,,20160802,,,,7915-0133-00,Civic Utility,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
275,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
276,,,,,,,,,Proposed Flex Street 15m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
277,,,,,,,,,Proposed Flex Street 15m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
278,20171218,As of Corporate Report (File 6520-20),R259,20180117,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
279,20171218,As of Corporate Report (File 6520-20),R259,20180117,,,,,Buffer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
280,,,,20180117,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
281,20171218,As of Corporate Report (File 6520-20),R259,20180117,15,10,UPA,,Medium Density Residential 10-15 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
282,,,,,,,,,Drainage Corridor 5m,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
283,,,,,25,15,UPA,,Special Residential 15-25 u.p.a.,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
284,,,,20131015,,,,,Buffer,20180117,Sunnyside Heights,Approved,Neighbourhood Concept Plan,2010
