,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
138,,,,,,,,,Business Park or Live/ Work in Cluster Housing Form,20161102,Campbell Heights,Approved,Local Area Plan,2000
139,,,,,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
140,,,,,,,,,Commercial,20161102,Campbell Heights,Approved,Local Area Plan,2000
141,,,,,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
142,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
143,,,,,,,,,Open Space Corridors/Buffers,20161102,Campbell Heights,Approved,Local Area Plan,2000
144,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
145,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
146,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
147,20170529,Amended From Open Space Corridors/Buffers to Business Park,RES.R17-1624,20180228,,,,7916-0052-00,Business Park,20180228,Campbell Heights,Approved,Local Area Plan,2000
148,20090119,Portion of the site from Open Space Corridors/Buffers to Business Park/Soil Deposition Permit,RES.R09-1,,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
149,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
150,,,,,,,,,Business Park or Live/ Work in Cluster Housing Form,20161102,Campbell Heights,Approved,Local Area Plan,2000
151,20160608,Amended From Open Space Corridors/Buffers to Business Park,,20160616,,,,13-0127-00,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
152,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
153,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
154,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
155,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
156,,,,,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
