,ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
12585,,1,4,Tee,1001897696,,1641801564,150,DI,,,,In Service,MOTH 12449-2014,2014,Surrey,,,Final AB,,,,,,20161122,20161122,49.031175,-122.767841
12586,,1,3,Tap,1001216022,,1326110416,50,DI,,,,In Service,1209-5010-00,2012,Surrey,,Temporary Connection,Final AB,,,,,,20121123,20131016,49.191519,-122.854249
12587,,1,3,Tap,1001423417,,1326210367,,,,,,In Service,7811-0075-00,2011,Surrey,,,EC,,,,,,20120828,20131016,49.190621,-122.854222
12588,,1,4,Tee,1001752500,,1680901562,300,CAS,,,,In Service,1211-3460-00,2014,Surrey,,,Final AB,,,,,,20140605,20140605,49.031130,-122.757085
12589,,1,4,Tee,1001752510,,1680801757,300,CAS,,74.5,,In Service,1211-3460-00,2014,Surrey,,,Final AB,,,,,,20140605,20140605,49.034661,-122.757084
12590,,1,4,Tee,1001932216,,1680108537,150,DI,,,,In Service,7893-0443-00,1996,Surrey,,,Final AB,,,,,,20170523,20170523,49.157349,-122.756675
12591,,1,3,Tap,1001829300,,1259102489,300,DI,,49.68,,In Service,1212-3090-00,2016,Surrey,,,Final AB,,,,,,20170217,20180105,49.048087,-122.873126
12592,0,1,4,Tee,1000312278,7773,1437507229,,,69.21,,,In Service,,1995,Surrey,,,,,,,,,19951027,20140929,49.133789,-122.823693
12593,0,1,4,Tee,1000312203,6416,1425707212,,,71.97,,,In Service,,1975,Surrey,,,,,,,,,19890719,20140929,49.133760,-122.826942
12594,,1,2,Reducer,1001897697,,1641801563,300,DI,,,,In Service,MOTH 12449-2014,2014,Surrey,,300 X 150 Reducer,Final AB,,,,,,20161122,20161122,49.031157,-122.767849
12595,,1,4,Tee,1001829304,,1259202576,200,DI,,46.72,,In Service,1212-3090-00,2016,Surrey,,,Final AB,,,,,,20170217,20180105,49.049655,-122.873089
12596,0,1,4,Tee,1000312073,6168,1378207809,,,56.66,,,In Service,,1974,Surrey,,,,,,,,,19890710,20141110,49.144579,-122.840006
