,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
199,20030707,"Rezone from RA to RM-30, RM-45 & RF-9C (B/L-12000); NCP from Low Density (6-10 upa) to Medium Density (10-15 upa) & High Density (22-45 upa)",R04-2180,,15,10,UPA,03-0073-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
200,20120723,From Special Residential (10 to 15 upa) to 10-15 u.p.a. (Medium Density) Chris Atkins,R12-1700,20120724,15,10,UPA,7911-0124-00,10-15 u.p.a. (Medium Density),20120810,East Clayton,Approved,Neighbourhood Concept Plan,2003
201,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
202,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
203,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
204,, , ,,,,, ,Road Median,,East Clayton,Approved,Neighbourhood Concept Plan,2003
205,,,,20111114,,,,,Special Setback and Landscaping Buffers,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
206,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
207,,,,,10,6,UPA,,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
208,20041101,Rezone from RA to RF-9C (B/L-12000); NCP from Low Density (6-10 upa) to Medium Density (10-15 upa),R05-2715,,15,10,UPA,03-0464-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
209,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
210,, , ,,,,, ,Storm Water Ponds,,East Clayton,Approved,Neighbourhood Concept Plan,2003
211,, , ,,,,, ,School & Park,20130716,East Clayton,Approved,Neighbourhood Concept Plan,2003
212,, , ,,25,15,UPA, ,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
213,,,,,25,15,UPA,,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
214,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
215,,"For more detail on future land uses, see Aloha Estates Infill Area Land Use Concept, approved by Council on October 28, 2013", ,20170419,15,10,UPA,7914-0107-00,10-15 u.p.a. (Medium Density),20170419,East Clayton,Approved,Neighbourhood Concept Plan,2003
216,20100621,Changes to the road layout and to introduce a new land use designation (30-70 upa High Density),R10-117,,70,30,UPA, ,30-70 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
217,, , ,20111025,45,22,UPA, ,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
218,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
219,, , ,,,,, ,Road Median,,East Clayton,Approved,Neighbourhood Concept Plan,2003
220,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
221,, ,,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
222,20070625,From Open Space/Park (Vice Versa) to Low Density Vice Versa,R07-1883,,,,,7092-0363-00,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
223,, , ,,,,, ,Business Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
224,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
225,, , ,,,,, ,Business Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
226,, , ,,,,, ,Business Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
227,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
228,, , ,,45,22,UPA, ,22-45 u.p.a. (High Density),20150611,East Clayton,Approved,Neighbourhood Concept Plan,2003
229,, , ,,45,22,UPA, ,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
230,,,,20111114,,,,,Special Setback and Landscaping Buffers,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
231,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
232,, , ,,45,22,UPA, ,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
233,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
234,,,,,15,10,UPA,,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
235,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
236,, , ,,,,, ,School & Park,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
237,, , ,,,,, ,Urban Landmark/Reference Point,,East Clayton,Approved,Neighbourhood Concept Plan,2003
238,20040322,Rezone from RA to RF-9C (B/L-12000); NCP from Medium High Density (15-25 upa) to Medium Density (10-15 upa),R04-2120,,15,10,UPA,03-0040-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
239,, , ,,,,, ,Road Median,,East Clayton,Approved,Neighbourhood Concept Plan,2003
240,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
241,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
242,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
243,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
244,20110418,from 15-25 upa (medium-high density) to 22-45 upa (high density)   7907-0204-00 Pat Lau,R11-635,,45,22,UPA,7907-0204-00,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
245,, , ,,,,, ,Storm Water Ponds,,East Clayton,Approved,Neighbourhood Concept Plan,2003
246,, , ,,,,, ,Riparian Protection Area,,East Clayton,Approved,Neighbourhood Concept Plan,2003
247,20030707,"Rezone from RA to RM-30, RM-45 & RF-9C (B/L-12000); NCP from Low Density (6-10 upa) to Medium Density (10-15 upa) &  High Density (22-45 upa)",R04-2180,,45,22,UPA,03-0073-00,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
248,, , ,,25,15,UPA, ,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
249,, , ,,45,22,UPA, ,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
250,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
251,,,,,,,,,Special Setback and Landscaping Buffers,20120606,East Clayton,Approved,Neighbourhood Concept Plan,2003
252,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
253,,,,,,,,,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
254,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
255,, , ,,15,10,UPA, ,10-15 u.p.a. (Medium Density),20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
256,20060612,Rezone from RA to RF-9C (B/L-12000); NCP from Medium-High Density and Low Density to Medium Density,R06-2773,,15,10,UPA,05-0346-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
257,,,,20111114,,,,,Special Setback and Landscaping Buffers,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
258,20070625,From Open Space/Park (Vice Versa) to Low Density Vice Versa,R07-1883,,,,,7092-0363-00,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
259,20070625,From Open Space/Park (Vice Versa) to Low Density Vice Versa,R07-1883,,10,6,UPA,7092-0363-00,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
260,, , ,,,,, ,Commercial/Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
261,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
262,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
263,, , ,,,,, ,Road Median,,East Clayton,Approved,Neighbourhood Concept Plan,2003
264,, , ,,,,, ,Open Space/Park in Private Property,,East Clayton,Approved,Neighbourhood Concept Plan,2003
265,, , ,,,,, ,Storm Water Ponds (100 year flood event),,East Clayton,Approved,Neighbourhood Concept Plan,2003
266,,,,,,,,,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
267,20021104,From High Density (22-45upa) to Medium Density (10-15upa),R02-2531,,15,10,UPA,02-0175-00,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
268,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
269,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
270,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
271,,,,20111114,,,,,Special Setback and Landscaping Buffers,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
272,20070625,From Business Park and open Space to  Special Residential (10-15 upa),R07-1823,,15,10,UPA,7906-0099-00,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
273,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
274,,,,,15,10,UPA,,10-15 u.p.a. Special Residential,20111102,East Clayton,Approved,Neighbourhood Concept Plan,2003
275,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
276,, , ,,15,10,UPA, ,10-15 u.p.a. Special Residential,,East Clayton,Approved,Neighbourhood Concept Plan,2003
277,20110314,Amendment from Commercial/Residential to Neighbourhood Commercial   7905-0359-00 Shawn Low,RES.R11-415,,,,, ,Neighbourhood Commercial,20121218,East Clayton,Approved,Neighbourhood Concept Plan,2003
278,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
279,, , ,,25,15,UPA, ,15-25 u.p.a. (Medium-High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
280,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
281,20110418,from 15-25 upa (medium-high density) to 22-45 upa (high density)   7907-0204-00 Pat Lau,R11-635,,45,22,UPA,7907-0204-00,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
282,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
283,, , ,,,,, ,Public Open Space/Park,,East Clayton,Approved,Neighbourhood Concept Plan,2003
284,,,,,45,22,UPA,,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
285,,,,20111114,,,,,Special Setback and Landscaping Buffers,20111114,East Clayton,Approved,Neighbourhood Concept Plan,2003
286,, , ,,10,6,UPA, ,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
287,,,,,10,6,UPA,,6-10 u.p.a. (Low Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
288,, , ,,,,, ,Utility R.O.W.,,East Clayton,Approved,Neighbourhood Concept Plan,2003
289,20180507,Amended From Half Acre Residential to 10-15 u.p.a. (Medium Density), ,20180514,,,,,10-15 u.p.a. (Medium Density),20180514,East Clayton,Approved,Neighbourhood Concept Plan,2003
290,20180507,Amended From Half Acre Residential to 10-15 u.p.a. (Medium Density), ,20180514,,,,7915-0402-00,10-15 u.p.a. (Medium Density),20180514,East Clayton,Approved,Neighbourhood Concept Plan,2003
291,20180507,Amended From Half Acre Residential to 10-15 u.p.a. (Medium Density), ,20180514,,,,7915-0402-00,10-15 u.p.a. (Medium Density),20180514,East Clayton,Approved,Neighbourhood Concept Plan,2003
292,, , ,,45,22,UPA, ,22-45 u.p.a. (High Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
293,, , ,,,,, ,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
294,,,,,15,10,UPA,,10-15 u.p.a. (Medium Density),,East Clayton,Approved,Neighbourhood Concept Plan,2003
295,,,,,,,,,Special Setback and Landscaping Buffers,,East Clayton,Approved,Neighbourhood Concept Plan,2003
