,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
143,A017403    ,Subway #10985,17700 56 Ave,Surrey,Restaurant,49.1038986,-122.73266352
144,A016854    ,Subway #11642,15551 Fraser Hwy,Surrey,Restaurant,49.16241879,-122.79125861
145,A016911    ,Subway #13302,10070 152 St,Surrey,Restaurant,49.18541427,-122.80059532
146,A017303    ,Subway #13542,1623 128 St,Surrey,Restaurant,49.03162785,-122.8677244
147,A017427    ,Subway #15577,7750 128 St,Surrey,Restaurant,49.14358109,-122.86765344
148,GEDS-6ZXNY3,Subway #17012,14806 108 Ave,Surrey,Restaurant,49.19856812,-122.81211474
149,A017856    ,Subway #22635,7550 King George Blvd,Surrey,Restaurant,49.13966312,-122.84525795
150,GEDS-6MFQTB,Subway #23526,18775 Fraser Hwy,Surrey,Restaurant,49.12479487,-122.7020931
151,NDAA-9C4RHK,Subway #26341,2990 152 St,Surrey,Restaurant,49.05622799,-122.80089259
152,GEDS-672V2W,Subway #27914,10392 King George Blvd,Surrey,Restaurant,49.19137558,-122.84509722
153,RORS-64MN7M,Subway #27963,6468 King George Blvd,Surrey,Restaurant,49.1202975,-122.84518062
154,GEDS-7E5SWY,Subway #28648,15976 108 Ave,Surrey,Restaurant,49.19859349,-122.77942957
155,GEDS-673PBP,Subway #30456,13578 88 Ave,Surrey,Restaurant,49.16252604,-122.847019
156,RORS-65WV39,Subway #32336,12355 Pattullo Pl,Surrey,Restaurant,49.20327931,-122.87979882
157,GEDS-6VYU4Q,Subway #33525,17755 64 Ave,Surrey,Restaurant,49.11895346,-122.73146436
158,LCAL-6TFNHK,Subway #34848,2255 King George Blvd,Surrey,Restaurant,49.04293235,-122.79076195
159,JDSO-AE8L4A,Subway #37799,3278 King George Blvd,Surrey,Restaurant,49.06115882,-122.81215251
160,GEDS-7LM26E,Subway #42292,2285 160 St,Surrey,Restaurant,49.04321227,-122.78006799
161,GEDS-7W4PCC,Subway #44714,8050 King George Blvd,Surrey,Restaurant,49.14889075,-122.84525499
162,SDFO-87ZM4C,Subway #47192,2725 192 St,Surrey,Restaurant,49.05220052,-122.69181883
