,CRE_DATE,MOD_DATE,ROADEDGE_TYPE,ROADEDGE_TYPE_2
13103,,20130708,8,"Paved, 2 Lane, Undivided"
13104,,20130709,8,"Paved, 2 Lane, Undivided"
13105,,20130709,8,"Paved, 2 Lane, Undivided"
13106,,20130709,8,"Paved, 2 Lane, Undivided"
13107,20130709,20130709,8,"Paved, 2 Lane, Undivided"
13108,20130709,20130709,8,"Paved, 2 Lane, Undivided"
13109,,20130709,8,"Paved, 2 Lane, Undivided"
13110,,20130709,8,"Paved, 2 Lane, Undivided"
13111,20130709,20130709,8,"Paved, 2 Lane, Undivided"
13112,,20130709,10,"Paved, 4 Lane, Divided"
13113,20130709,20130709,8,"Paved, 2 Lane, Undivided"
13114,,20130709,8,"Paved, 2 Lane, Undivided"
13115,,20130709,8,"Paved, 2 Lane, Undivided"
13116,,20130709,8,"Paved, 2 Lane, Undivided"
13117,,20130709,8,"Paved, 2 Lane, Undivided"
13118,20130709,20130709,11,"Paved, 4 Lane, Undivided"
13119,,20130709,8,"Paved, 2 Lane, Undivided"
13120,,20130709,8,"Paved, 2 Lane, Undivided"
13121,,20130709,8,"Paved, 2 Lane, Undivided"
13122,,20130709,4,Lane
13123,,20130709,11,"Paved, 4 Lane, Undivided"
13124,,20130710,8,"Paved, 2 Lane, Undivided"
13125,20130710,20130709,8,"Paved, 2 Lane, Undivided"
13126,,20130710,10,"Paved, 4 Lane, Divided"
13127,,20130710,10,"Paved, 4 Lane, Divided"
13128,,20130710,8,"Paved, 2 Lane, Undivided"
13129,20130710,20130710,8,"Paved, 2 Lane, Undivided"
13130,,20130710,4,Lane
13131,,20130710,8,"Paved, 2 Lane, Undivided"
13132,,20130710,4,Lane
13133,,20130711,8,"Paved, 2 Lane, Undivided"
13134,,20130711,8,"Paved, 2 Lane, Undivided"
13135,,20130711,8,"Paved, 2 Lane, Undivided"
13136,,20130711,11,"Paved, 4 Lane, Undivided"
13137,,20130711,8,"Paved, 2 Lane, Undivided"
13138,20130711,20130711,10,"Paved, 4 Lane, Divided"
13139,,20130711,11,"Paved, 4 Lane, Undivided"
13140,,20130711,8,"Paved, 2 Lane, Undivided"
13141,,20130711,11,"Paved, 4 Lane, Undivided"
13142,,20130711,11,"Paved, 4 Lane, Undivided"
13143,,20130711,8,"Paved, 2 Lane, Undivided"
13144,,20130711,8,"Paved, 2 Lane, Undivided"
13145,,20130712,12,Rough Road
13146,,20130712,12,Rough Road
13147,,20130712,11,"Paved, 4 Lane, Undivided"
13148,,20130715,8,"Paved, 2 Lane, Undivided"
13149,,20130715,8,"Paved, 2 Lane, Undivided"
13150,,20130716,8,"Paved, 2 Lane, Undivided"
13151,20130719,20130719,8,"Paved, 2 Lane, Undivided"
13152,,20130722,8,"Paved, 2 Lane, Undivided"
13153,,20130722,4,Lane
13154,,20130722,8,"Paved, 2 Lane, Undivided"
13155,20130722,20130722,4,Lane
13156,20130722,20130722,4,Lane
13157,,20130725,10,"Paved, 4 Lane, Divided"
13158,,20130725,10,"Paved, 4 Lane, Divided"
13159,,20130731,10,"Paved, 4 Lane, Divided"
13160,,20130808,8,"Paved, 2 Lane, Undivided"
13161,,20130808,8,"Paved, 2 Lane, Undivided"
13162,20130812,20130812,8,"Paved, 2 Lane, Undivided"
13163,,20130812,8,"Paved, 2 Lane, Undivided"
13164,,20130813,8,"Paved, 2 Lane, Undivided"
13165,,20130813,8,"Paved, 2 Lane, Undivided"
13166,20130813,20130813,8,"Paved, 2 Lane, Undivided"
13167,,20130814,8,"Paved, 2 Lane, Undivided"
13168,,20130814,8,"Paved, 2 Lane, Undivided"
13169,,20130814,8,"Paved, 2 Lane, Undivided"
13170,20130813,20130816,8,"Paved, 2 Lane, Undivided"
13171,20130816,20130816,8,"Paved, 2 Lane, Undivided"
13172,20130816,20130813,8,"Paved, 2 Lane, Undivided"
13173,,20130819,8,"Paved, 2 Lane, Undivided"
