,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
32,,Amended from Townhouse (15 u.p.a.)  to Small Lots, ,,,,,7915-0165-00,Small Lots,20160803,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
33,, , ,20130226,,,, ,Single Family Residential,20140721,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
34,20000529,Amended ALR Boundary,R96-1510,20130114,2,,UPA,95-0111-00,Half Acre Cluster (2 u.p.a.),20130114,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
35,, , ,,,,, ,Small Lots,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
36,20130729,Amend from Existing Homes to Small Lots,RES.R13-1712,20130730,,,,7912-0178-00,Small Lots,20171212,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
37,20140512,Amended From Existing Homes to Small Lots, ,20140708,,,,7913-0184-00,Small Lots,20140708,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
38,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
39,20140512,Amended From Existing Homes to Small Lots, ,20140708,,,,7913-0184-00,Small Lots,20140708,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
40,, , ,,15,,UPA, ,Townhouse (15 u.p.a.),,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
41,, , ,,,,, ,Single Family Residential,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
42,20140526,Amended from Townhouse (15 u.p.a.) to Small Lots, ,20130226,,,,7911-0264-00,Small Lots,20141022,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
43,20120402,Amendment Townhouse (15 u.p.a.) to Small Lots,RES.R12-716,20130226,,,,7911-0249-00 ,Small Lots,20160803,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
44,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
45,, , ,,2,,UPA, ,Half Acre Cluster (2 u.p.a.),,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
46,20130729,Amend from Creek Area to Small Lots,RES.R13-1696,20130730,,,,7911-0065-00,Small Lots,20130826,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
47,,,,,2,,UPA,,Half Acre Cluster (2 u.p.a.),,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
48,, , ,,,,, ,Creek Area,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
49,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
50,20000529,Amended ALR Boundary,R96-1510,,,,,95-0111-00,Park,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
51,, , ,,10,,UPA, ,Townhouse Cluster (10 u.p.a.),,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
52,, , ,,,,, ,Existing Homes,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
53,20150112,Amended from Existing Homes to Single Family Residential, ,20150116,,,,7913-0120-00,Single Family Residential,20171212,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
54,, , ,,,,, ,Single Family Residential,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
55,20070625,From Single Family Residential to Small Lots,R07-1848,,,,,7905-0264-00,Small Lots,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
56,20140512,Amended From Existing Homes to Small Lots, ,20140708,,,,7913-0184-00,Small Lots,20140708,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
57,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
58,20120402,Amendment Townhouse (15 u.p.a.) to Small Lots,RES.R12-689,,,,UPA,7911-0163-00,Small Lots,20130508,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
59,20120402,Amendment Townhouse (15 u.p.a.) to Small Lots,RES.R12-689,20130226,,,,7911-0163-00,Small Lots,20160803,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
60,20140707,Amendment Single Family Residential to Small Lots, ,20130226,,,,7913-0211-00,Small Lots,20140721,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
61,20140707,Amendment Single Family Residential to Small Lots, ,20140721,,,,7913-0211-00,Small Lots,20140721,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
62,20140707,Amendment Townhouse (15 u.p.a.) to Small Lots, ,20140721,,,,7913-0211-00,Small Lots,20160803,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
63,, , ,,2,,UPA, ,Half Acre Cluster (2 u.p.a.),,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
64,20000529,Amended ALR Boundary,R96-1510,,2,,UPA,95-0111-00,Half Acre Cluster (2 u.p.a.),,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
65,,,,,,,,,Small Lots,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
66,20040517,Rezone from RA TO RF&RF-12 (B/L-12000); NCP from Single Family Residential to Small Lots,R04-2543,,,,,04-0084-00,Small Lots,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
67,, , ,,,,, ,Open Space/Linear Park/Buffer,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
68,, , ,,,,, ,Park,,North Cloverdale West,Approved,Neighbourhood Concept Plan,1996
