,PLAN_NO,PLAN_TYPE,YR
17845,LMP3367,Subdivision,1992
17846,LMP33686,Subdivision,1997
17847,LMP33686,Subdivision,1997
17848,LMP33700,Reference Plan,1997
17849,LMP33783,Subdivision,1997
17850,LMP33818,Subdivision,1997
17851,LMP3382,Subdivision,1992
17852,LMP33825,Subdivision,1997
17853,LMP33825,Subdivision,1997
17854,LMP33826,Subdivision,1997
17855,LMP33826,Subdivision,1997
17856,LMP33826,Subdivision,1997
17857,LMP33827,Subdivision,1997
17858,LMP33827,Subdivision,1997
17859,LMP33827,Subdivision,1997
17860,LMP33828,Subdivision,1997
17861,LMP33828,Subdivision,1997
17862,LMP33828,Subdivision,1997
17863,LMP33829,Subdivision,1997
17864,LMP33829,Subdivision,1997
17865,LMP33829,Subdivision,1997
17866,LMP3391,Subdivision,1992
17867,LMP33987,Subdivision,1997
17868,LMP33988,Subdivision,1997
17869,LMP34009,Subdivision,1997
17870,LMP34049,Subdivision,1997
17871,LMP34106,Subdivision,1997
17872,LMP34106,Subdivision,1997
17873,LMP34106,Subdivision,1997
17874,LMP34139,Subdivision,1997
17875,LMP34139,Subdivision,1997
17876,LMP34139,Subdivision,1997
17877,LMP34152,Reference Plan,1997
17878,LMP34156,Subdivision,1997
17879,LMP34160,Subdivision,1997
17880,LMP34193,Subdivision,1997
17881,LMP34196,Subdivision,1997
17882,LMP34213,Subdivision,1997
17883,LMP34213,Subdivision,1997
17884,LMP34234,Subdivision,1997
17885,LMP34234,Subdivision,1997
17886,LMP34234,Subdivision,1997
17887,LMP34234,Subdivision,1997
17888,LMP34250,Subdivision,1997
17889,LMP34428,Subdivision,1997
17890,LMP34428,Subdivision,1997
17891,LMP34428,Subdivision,1997
17892,LMP34428,Subdivision,1997
17893,LMP34428,Subdivision,1997
17894,LMP34428,Subdivision,1997
17895,LMP34497,Subdivision,1997
17896,LMP34503,Subdivision,1997
17897,LMP3452,Subdivision,1992
17898,LMP3452,Subdivision,1992
17899,LMP34520,Subdivision,1997
17900,LMP34520,Subdivision,1997
17901,LMP34520,Subdivision,1997
17902,LMP34520,Subdivision,1997
17903,LMP34541,Subdivision,1997
17904,LMP34549,Subdivision,1996
17905,LMP34550,Subdivision,1997
17906,LMP3457,Subdivision,1992
17907,LMP3458,Subdivision,1992
17908,LMP3458,Subdivision,1992
17909,LMP34613,Subdivision,1997
17910,LMP34613,Subdivision,1997
17911,LMP34620,Subdivision,1997
17912,LMP34663,Subdivision,1997
17913,LMP34663,Subdivision,1997
17914,LMP34663,Subdivision,1997
17915,LMP34663,Subdivision,1997
17916,LMP3470,Subdivision,1991
17917,LMP34714,Reference Plan,1997
17918,LMP34768,Subdivision,1997
17919,LMP34768,Subdivision,1997
17920,LMP3477,Subdivision,1992
17921,LMP34817,Subdivision,1997
17922,LMP34840,Reference Plan,1997
