,PLAN_NO,PLAN_TYPE,YR
6369,53711,Subdivision,1977
6370,53717,Subdivision,1977
6371,53717,Subdivision,1977
6372,53720,Subdivision,1977
6373,53720,Subdivision,1977
6374,53720,Subdivision,1977
6375,53743,Subdivision,1977
6376,5375,Subdivision,1933
6377,53769,Subdivision,1977
6378,538529E,Title,1964
6379,53870,Subdivision,1977
6380,53870,Subdivision,1977
6381,53911,Subdivision,1977
6382,5392,Subdivision,1933
6383,5392,Subdivision,1933
6384,5392,Subdivision,1933
6385,53921,Subdivision,1977
6386,53924,Subdivision,1977
6387,53948,Subdivision,1977
6388,53955,Subdivision,1977
6389,53955,Subdivision,1977
6390,53955,Subdivision,1977
6391,53959,Reference Plan,1977
6392,53961,Reference Plan,1977
6393,53964,Subdivision,1977
6394,53974,Subdivision,1977
6395,53986,Subdivision,1977
6396,53986,Subdivision,1977
6397,53986,Subdivision,1977
6398,53986,Subdivision,1977
6399,53989,Subdivision,1977
6400,53989,Subdivision,1977
6401,54000,Subdivision,1978
6402,54001,Subdivision,1978
6403,54001,Subdivision,1978
6404,54007,Subdivision,1978
6405,54007,Subdivision,1978
6406,54007,Subdivision,1978
6407,54007,Subdivision,1978
6408,54037,Subdivision,1978
6409,54037,Subdivision,1978
6410,54037,Subdivision,1978
6411,54037,Subdivision,1978
6412,54037,Subdivision,1978
6413,54061,Subdivision,1978
6414,54061,Subdivision,1978
6415,54065,Subdivision,1978
6416,54083,Subdivision,1978
6417,54116,Subdivision,1978
6418,54120,Subdivision,1978
6419,54120,Subdivision,1978
6420,54120,Subdivision,1978
6421,5413,Explanatory,1934
6422,54138,Subdivision,1978
6423,54139,Subdivision,1978
6424,54140,Subdivision,1978
6425,54146,Subdivision,1978
6426,54155,Subdivision,1978
6427,541606E,Title,1920
6428,54165,Subdivision,1978
6429,54168,Subdivision,1978
6430,54172,Subdivision,1978
6431,54181,Subdivision,1978
6432,5419,Subdivision,1934
6433,54217,Explanatory,1978
6434,54223,Subdivision,1978
6435,5423,Sketch,1923
6436,54242,Subdivision,1978
6437,54250,Subdivision,1978
6438,54250,Subdivision,1978
6439,54250,Subdivision,1978
6440,54266,Reference Plan,1978
6441,54302,Subdivision,1978
6442,54303,Subdivision,1978
6443,54308,Subdivision,1978
6444,54308,Subdivision,1978
6445,54308,Subdivision,1978
6446,54332,Subdivision,1978
6447,54334,Subdivision,1978
6448,54334,Subdivision,1978
6449,54334,Subdivision,1978
6450,54334,Subdivision,1978
6451,54334,Subdivision,1978
6452,54334,Subdivision,1978
6453,54334,Subdivision,1978
6454,54334,Subdivision,1978
6455,54334,Subdivision,1978
6456,54334,Subdivision,1978
6457,54364,Subdivision,1978
6458,54388,Subdivision,1978
6459,54391,Subdivision,1978
6460,54391,Subdivision,1978
6461,54400,Subdivision,1978
6462,54400,Subdivision,1978
6463,54430,Subdivision,1978
6464,54441,Subdivision,1978
6465,54441,Subdivision,1978
6466,5445,Subdivision,1934
6467,54452,Subdivision,1978
6468,54452,Subdivision,1978
6469,54452,Subdivision,1978
6470,54452,Subdivision,1978
6471,54452,Subdivision,1978
6472,54463,Subdivision,1978
6473,54493,Subdivision,1978
6474,54496,Subdivision,1978
6475,54502,Subdivision,1978
6476,54511,Subdivision,1978
6477,54513,Subdivision,1978
6478,54515,Subdivision,1978
6479,54518,Subdivision,1978
6480,54524,Subdivision,1978
6481,54526,Subdivision,1978
6482,54529,Subdivision,1978
6483,54546,Subdivision,1978
6484,54546,Subdivision,1978
6485,5456,Subdivision,1934
6486,54581,Subdivision,1978
6487,54590,Subdivision,1978
6488,54590,Subdivision,1978
6489,546,Subdivision,1891
6490,546,Subdivision,1891
6491,546,Subdivision,1891
6492,546,Subdivision,1891
6493,5460,Explanatory,1923
6494,54610,Subdivision,1978
6495,54610,Subdivision,1978
6496,54625,Subdivision,1978
6497,54628,Subdivision,1978
6498,54628,Subdivision,1978
6499,54647,Subdivision,1978
6500,54647,Subdivision,1978
6501,54648,Subdivision,1978
6502,54649,Subdivision,1978
6503,54657,Subdivision,1978
6504,54657,Subdivision,1978
6505,54661,Subdivision,1978
6506,54661,Subdivision,1978
6507,54681,Reference Plan,1978
6508,5474,Reference Plan,1921
6509,54762,Subdivision,1978
6510,54785,Explanatory,1978
6511,5479,Explanatory,1921
6512,54790,Subdivision,1978
6513,54791,Subdivision,1978
6514,54791,Subdivision,1978
6515,54791,Subdivision,1978
6516,54800,Subdivision,1978
6517,54800,Subdivision,1978
6518,54810,Subdivision,1978
6519,54811,Subdivision,1978
6520,54811,Subdivision,1978
6521,54826,Subdivision,1978
6522,54852,Subdivision,1978
6523,54852,Subdivision,1978
6524,54852,Subdivision,1978
6525,54853,Subdivision,1978
6526,54853,Subdivision,1978
6527,54853,Subdivision,1978
6528,5488,Subdivision,1934
6529,5488,Subdivision,1934
6530,5488,Subdivision,1934
6531,54897,Subdivision,1978
6532,5492,Reference Plan,1934
6533,54931,Subdivision,1978
6534,54933,Subdivision,1978
6535,5494,Reference Plan,1916
6536,54987,Subdivision,1978
6537,54988,Subdivision,1978
6538,550,Subdivision,1891
6539,55006,Subdivision,1978
6540,5502,Subdivision,1934
6541,55030,Subdivision,1978
6542,55041,Subdivision,1978
6543,55043,Reference Plan,1978
6544,55043,Reference Plan,1978
6545,55082,Subdivision,1978
6546,55083,Subdivision,1978
6547,55098,Subdivision,1978
6548,55103,Subdivision,1978
6549,55111,Explanatory,1978
6550,55129,Subdivision,1978
6551,5513,Reference Plan,1923
6552,5514,Subdivision,1934
6553,55180,Reference Plan,1978
6554,55180,Subdivision,1978
6555,55180,Subdivision,1978
6556,55183,Subdivision,1978
6557,5519,Reference Plan,1923
6558,5519,Reference Plan,1923
6559,55191,Reference Plan,1978
6560,55196,Reference Plan,1978
6561,55234,Subdivision,1978
6562,5524,Subdivision,1934
6563,55243,Subdivision,1978
6564,55243,Subdivision,1978
6565,55249,Subdivision,1978
6566,55249,Subdivision,1978
6567,55264,Subdivision,1978
6568,55264,Subdivision,1978
6569,55266,Subdivision,1978
6570,55276,Reference Plan,1978
6571,55288,Subdivision,1978
6572,55288,Subdivision,1978
6573,55299,Subdivision,1978
6574,55311,Subdivision,1978
6575,55311,Subdivision,1978
6576,55311,Subdivision,1978
6577,55319,Subdivision,1978
6578,55319,Subdivision,1978
6579,55319,Subdivision,1978
6580,55319,Subdivision,1978
6581,55337,Subdivision,1978
6582,55348,Subdivision,1978
6583,55349,Subdivision,1978
6584,5536,Subdivision,1934
6585,553793E,Title,1920
6586,55395,Subdivision,1978
6587,55405,Subdivision,1978
6588,55446,Subdivision,1978
6589,5545,Subdivision,1935
6590,5546,Subdivision,1935
6591,55462,Subdivision,1978
6592,55462,Subdivision,1978
6593,55466,Subdivision,1978
6594,55491,Subdivision,1978
6595,55504,Subdivision,1978
6596,55504,Subdivision,1978
6597,55504,Subdivision,1978
6598,555121E,Title,1965
6599,55524,Subdivision,1978
6600,55540,Subdivision,1978
6601,55545,Subdivision,1978
6602,55549,Subdivision,1978
6603,5556,Subdivision,1935
6604,55563,Subdivision,1978
6605,5557,Reference Plan,1924
6606,55575,Subdivision,1978
6607,55610,Subdivision,1978
6608,55611,Subdivision,1978
6609,55611,Subdivision,1978
6610,55611,Subdivision,1978
6611,55611,Subdivision,1978
6612,55611,Subdivision,1978
6613,55611,Subdivision,1978
6614,55611,Subdivision,1978
6615,55628,Subdivision,1978
6616,55640,Subdivision,1978
6617,55644,Subdivision,1978
6618,55644,Subdivision,1978
6619,55669,Subdivision,1978
6620,55672,Subdivision,1978
6621,5568,Reference Plan,1924
6622,557,Subdivision,1891
6623,557,Subdivision,1891
6624,5572,Sketch,1924
6625,5573,Subdivision,1935
6626,5573,Subdivision,1935
6627,5573,Subdivision,1935
6628,557341E,Title,1936
6629,55753,Subdivision,1978
6630,55756,Subdivision,1978
6631,55792,Subdivision,1978
6632,55796,Subdivision,1978
6633,55796,Subdivision,1978
6634,55796,Subdivision,1978
6635,55796,Subdivision,1978
6636,55796,Subdivision,1978
6637,55796,Subdivision,1978
6638,55815,Subdivision,1978
6639,55817,Subdivision,1978
6640,55820,Subdivision,1978
6641,55833,Subdivision,1978
6642,55837,Subdivision,1978
6643,5585,Reference Plan,1935
6644,55859,Subdivision,1978
6645,55870,Subdivision,1978
6646,55870,Subdivision,1978
6647,55870,Subdivision,1978
6648,55870,Subdivision,1978
6649,55884,Subdivision,1978
6650,55897,Reference Plan,1978
6651,5590,Subdivision,1935
6652,5590,Subdivision,1935
6653,55935,Subdivision,1978
6654,55935,Subdivision,1978
6655,55935,Subdivision,1978
6656,55956,Subdivision,1978
6657,55956,Subdivision,1978
6658,55956,Subdivision,1978
6659,55958,Subdivision,1978
6660,55958,Subdivision,1978
6661,5597,Subdivision,1935
6662,56053,Subdivision,1978
6663,56058,Subdivision,1978
6664,56058,Subdivision,1978
6665,56061,Subdivision,1978
6666,56061,Subdivision,1978
6667,56061,Subdivision,1978
6668,56061,Subdivision,1978
6669,56062,Subdivision,1978
6670,56068,Subdivision,1978
6671,56068,Subdivision,1978
6672,56070,Subdivision,1978
6673,56070,Subdivision,1978
6674,56070,Subdivision,1978
6675,56070,Subdivision,1978
6676,56082,Subdivision,1978
6677,56086,Subdivision,1978
6678,56086,Subdivision,1978
6679,56086,Subdivision,1978
6680,56087,Subdivision,1978
6681,5610,Subdivision,1935
6682,56102,Subdivision,1978
6683,56126,Subdivision,1978
6684,56126,Subdivision,1978
6685,56146,Subdivision,1978
6686,56156,Subdivision,1978
6687,56167,Subdivision,1978
6688,56173,Subdivision,1978
6689,56174,Subdivision,1978
6690,56176,Subdivision,1978
6691,5618,Sketch,1924
6692,56186,Subdivision,1978
6693,56186,Subdivision,1978
6694,56206,Reference Plan,1978
6695,56212,Subdivision,1978
6696,56237,Subdivision,1979
6697,56237,Subdivision,1979
6698,56238,Subdivision,1979
6699,56238,Subdivision,1979
6700,5624,Subdivision,1935
6701,5624,Subdivision,1935
6702,56245,Subdivision,1978
6703,56257,Subdivision,1979
6704,56257,Subdivision,1979
6705,56257,Subdivision,1979
6706,56257,Subdivision,1979
6707,56258,Subdivision,1979
6708,56258,Subdivision,1979
6709,5628,Explanatory,1935
6710,56285,Subdivision,1979
6711,5629,Sketch,1918
6712,56307,Subdivision,1979
6713,56323,Subdivision,1979
6714,56325,Subdivision,1979
6715,56325,Subdivision,1979
6716,56325,Subdivision,1979
6717,56325,Subdivision,1979
6718,56325,Subdivision,1979
6719,56325,Subdivision,1979
6720,56325,Subdivision,1979
6721,56325,Subdivision,1979
6722,56325,Subdivision,1979
6723,56325,Subdivision,1979
6724,56337,Subdivision,1979
6725,56347,Subdivision,1979
6726,5638,Subdivision,1935
6727,56387,Subdivision,1979
6728,56399,Subdivision,1979
6729,56399,Subdivision,1979
6730,56399,Subdivision,1979
6731,5640,Subdivision,1935
6732,56400,Subdivision,1979
6733,56400,Subdivision,1979
6734,56400,Subdivision,1979
6735,56401,Subdivision,1979
6736,56408,Subdivision,1979
6737,56414,Subdivision,1979
6738,56423,Subdivision,1979
6739,56437,Subdivision,1979
6740,56437,Subdivision,1979
6741,56439,Subdivision,1979
6742,56447,Subdivision,1979
6743,56448,Subdivision,1979
6744,56450,Subdivision,1979
6745,56455,Subdivision,1979
6746,56455,Subdivision,1979
6747,56460,Subdivision,1978
6748,5647,Subdivision,1935
6749,5647,Subdivision,1935
6750,56477,Subdivision,1979
6751,56477,Subdivision,1979
6752,56477,Subdivision,1979
6753,56477,Subdivision,1979
6754,56482,Subdivision,1979
6755,56482,Subdivision,1979
6756,56482,Subdivision,1979
6757,56482,Subdivision,1979
6758,56482,Subdivision,1979
6759,56482,Subdivision,1979
6760,56486,Subdivision,1979
6761,56492,Subdivision,1979
6762,56495,Subdivision,1979
6763,56495,Subdivision,1979
6764,56519,Subdivision,1979
6765,56519,Subdivision,1979
6766,56527,Subdivision,1979
6767,56527,Subdivision,1979
6768,56528,Subdivision,1979
6769,56528,Subdivision,1979
6770,56529,Subdivision,1979
6771,5653,Reference Plan,1924
6772,56539,Subdivision,1979
6773,56541,Subdivision,1979
6774,56542,Subdivision,1979
6775,56545,Subdivision,1979
6776,56550,Subdivision,1979
6777,56550,Subdivision,1979
6778,56614,Subdivision,1979
6779,56614,Subdivision,1979
6780,56614,Subdivision,1979
6781,56614,Subdivision,1979
6782,56614,Subdivision,1979
6783,56614,Subdivision,1979
6784,56614,Subdivision,1979
6785,56614,Subdivision,1979
6786,56616,Subdivision,1979
6787,5663,Subdivision,1935
6788,56636,Subdivision,1979
6789,56637,Subdivision,1979
6790,56637,Subdivision,1979
6791,56637,Subdivision,1979
6792,56637,Subdivision,1979
6793,56637,Subdivision,1979
6794,56659,Subdivision,1979
6795,56662,Subdivision,1979
6796,56669,Subdivision,1979
6797,56669,Subdivision,1979
6798,56669,Subdivision,1979
6799,56669,Subdivision,1979
6800,56669,Subdivision,1979
6801,56669,Subdivision,1979
6802,56719,Subdivision,1979
6803,56719,Subdivision,1979
6804,56719,Subdivision,1979
6805,56719,Subdivision,1979
6806,56750,Subdivision,1979
6807,56761,Subdivision,1979
6808,56784,Subdivision,1979
6809,56785,Subdivision,1979
6810,56812,Subdivision,1979
6811,56812,Subdivision,1979
6812,56813,Subdivision,1979
6813,568185E,Title,1965
6814,56825,Subdivision,1979
6815,56825,Subdivision,1979
6816,56847,Explanatory,1979
6817,56851,Subdivision,1979
6818,56851,Subdivision,1979
6819,56864,Subdivision,1979
6820,56864,Subdivision,1979
6821,56894,Subdivision,1979
6822,569021E,Title,1965
6823,56909,Subdivision,1979
6824,56927,Subdivision,1979
6825,56938,Subdivision,1979
6826,5696,Explanatory,1936
6827,5697,Subdivision,1936
6828,5697,Subdivision,1936
6829,56978,Subdivision,1979
6830,57015,Subdivision,1979
6831,57021,Subdivision,1978
6832,57021,Subdivision,1978
6833,57021,Subdivision,1978
6834,57021,Subdivision,1978
6835,57021,Subdivision,1978
6836,57028,Subdivision,1979
6837,5703,Explanatory,1923
6838,57036,Subdivision,1979
6839,57047,Subdivision,1979
6840,57047,Subdivision,1979
6841,57047,Subdivision,1979
6842,57047,Subdivision,1979
6843,57047,Subdivision,1979
6844,5708,Explanatory,1936
6845,5708,Explanatory,1936
6846,5708,Explanatory,1936
6847,57108,Subdivision,1979
6848,57108,Subdivision,1979
6849,57108,Subdivision,1979
6850,57108,Subdivision,1979
6851,57118,Subdivision,1979
6852,57118,Subdivision,1979
6853,57118,Subdivision,1979
6854,57122,Subdivision,1979
6855,57126,Subdivision,1979
6856,57128,Subdivision,1979
6857,57128,Subdivision,1979
6858,57128,Subdivision,1979
6859,57129,Subdivision,1979
6860,57134,Reference Plan,1979
6861,57148,Subdivision,1979
6862,57148,Subdivision,1979
6863,57148,Subdivision,1979
6864,57148,Subdivision,1979
6865,57148,Subdivision,1979
6866,57148,Subdivision,1979
6867,57148,Subdivision,1979
6868,57168,Subdivision,1979
6869,57168,Subdivision,1979
6870,57169,Subdivision,1979
6871,57174,Subdivision,1979
6872,57174,Subdivision,1979
6873,57174,Subdivision,1979
6874,57178,Subdivision,1979
6875,57192,Subdivision,1979
6876,57192,Subdivision,1979
6877,57192,Subdivision,1979
6878,57192,Subdivision,1979
6879,57192,Subdivision,1979
6880,57192,Subdivision,1979
6881,57206,Subdivision,1979
6882,57208,Subdivision,1979
6883,57217,Subdivision,1979
6884,57217,Subdivision,1979
6885,57217,Subdivision,1979
6886,57217,Subdivision,1979
6887,57226,Subdivision,1979
6888,57226,Subdivision,1979
6889,57235,Subdivision,1979
6890,5724,Subdivision,1936
6891,57248,Subdivision,1979
6892,57257,Subdivision,1979
6893,57259,Reference Plan,1979
6894,57265,Subdivision,1979
6895,57265,Subdivision,1979
6896,57278,Subdivision,1979
6897,5728,Reference Plan,1921
6898,57286,Subdivision,1979
6899,57288,Subdivision,1979
6900,57288,Subdivision,1979
6901,57296,Subdivision,1979
6902,57351,Subdivision,1979
6903,57352,Subdivision,1979
6904,57352,Subdivision,1979
6905,57352,Subdivision,1979
6906,57353,Subdivision,1979
6907,57354,Subdivision,1979
6908,57371,Subdivision,1979
6909,57371,Subdivision,1979
6910,57384,Subdivision,1979
6911,57426,Subdivision,1979
6912,57426,Subdivision,1979
6913,57426,Subdivision,1979
6914,57426,Subdivision,1979
6915,57426,Subdivision,1979
6916,57426,Subdivision,1979
6917,57430,Subdivision,1979
6918,574364E,Title,1950
6919,57439,Subdivision,1979
6920,57441,Subdivision,1979
6921,57444,Subdivision,1979
6922,57447,Subdivision,1979
6923,57453,Subdivision,1979
6924,57467,Subdivision,1979
6925,57472,Subdivision,1979
6926,57472,Subdivision,1979
6927,57479,Subdivision,1979
6928,5749,Explanatory,1936
6929,57494,Subdivision,1979
6930,57494,Subdivision,1979
6931,57494,Subdivision,1979
6932,57494,Subdivision,1979
6933,57494,Subdivision,1979
6934,57503,Subdivision,1979
6935,57503,Subdivision,1979
6936,57523,Subdivision,1979
6937,57523,Subdivision,1979
6938,57524,Subdivision,1979
6939,57538,Subdivision,1979
6940,57539,Explanatory,1979
6941,57540,Explanatory,1979
6942,57555,Subdivision,1979
6943,57599,Subdivision,1979
6944,57599,Subdivision,1979
6945,576,Subdivision,1891
6946,576,Subdivision,1891
6947,576,Subdivision,1891
6948,576,Subdivision,1891
6949,576,Subdivision,1891
6950,576,Subdivision,1891
6951,576,Subdivision,1891
6952,576,Subdivision,1891
6953,576,Subdivision,1891
6954,576,Subdivision,1891
6955,576,Subdivision,1891
6956,576,Subdivision,1891
6957,576,Subdivision,1891
6958,576,Subdivision,1891
6959,576,Subdivision,1891
6960,576,Subdivision,1891
6961,57609,Subdivision,1979
6962,57624,Subdivision,1979
6963,57639,Subdivision,1979
6964,57690,Subdivision,1979
6965,57691,Subdivision,1978
6966,57691,Subdivision,1978
6967,577,Subdivision,1891
6968,57701,Subdivision,1979
6969,5771,Subdivision,1936
6970,5771,Subdivision,1936
6971,57771,Subdivision,1979
6972,57778,Subdivision,1979
6973,57778,Subdivision,1979
6974,57778,Subdivision,1979
6975,57778,Subdivision,1979
6976,57778,Subdivision,1979
6977,57778,Subdivision,1979
6978,57778,Subdivision,1979
6979,57778,Subdivision,1979
6980,57778,Subdivision,1979
6981,57778,Subdivision,1979
6982,57778,Subdivision,1979
6983,57778,Subdivision,1979
6984,5778,Subdivision,1936
6985,5783,Subdivision,1936
6986,57842,Subdivision,1979
6987,57843,Subdivision,1979
6988,57845,Subdivision,1979
6989,57854,Subdivision,1979
6990,57857,Subdivision,1979
6991,57866,Subdivision,1979
6992,57873,Subdivision,1979
6993,57879,Subdivision,1979
6994,57887,Subdivision,1979
6995,57918,Subdivision,1979
6996,57918,Subdivision,1979
6997,57918,Subdivision,1979
6998,57918,Subdivision,1979
6999,57918,Subdivision,1979
7000,57930,Subdivision,1979
7001,57930,Subdivision,1979
7002,57930,Subdivision,1979
7003,57930,Subdivision,1979
7004,57936,Subdivision,1979
7005,57949,Reference Plan,1979
7006,579556E,Title,1945
7007,57966,Subdivision,1979
7008,579922E,Title,1966
7009,58000,Subdivision,1979
7010,58009,Subdivision,1979
7011,58054,Subdivision,1979
7012,58071,Subdivision,1979
7013,58089,Explanatory,1979
7014,5811,Subdivision,1936
7015,58121,Subdivision,1979
7016,58125,Subdivision,1979
7017,58131,Subdivision,1979
7018,58136,Subdivision,1979
7019,58140,Subdivision,1979
7020,58140,Subdivision,1979
7021,58159,Subdivision,1979
7022,58178,Subdivision,1979
7023,58219,Subdivision,1979
7024,58228,Subdivision,1979
7025,58242,Subdivision,1979
7026,58279,Subdivision,1979
7027,58283,Subdivision,1979
7028,58294,Subdivision,1979
7029,58295,Subdivision,1979
7030,58301,Subdivision,1979
7031,58317,Subdivision,1979
7032,58317,Subdivision,1979
7033,58317,Subdivision,1979
7034,58317,Subdivision,1979
7035,58317,Subdivision,1979
7036,58317,Subdivision,1979
7037,58346,Subdivision,1979
7038,58353,Subdivision,1979
7039,58364,Subdivision,1979
7040,58366,Subdivision,1979
7041,58367,Reference Plan,1979
7042,58381,Subdivision,1979
7043,58381,Subdivision,1979
7044,58381,Subdivision,1979
7045,58383,Subdivision,1979
7046,58404,Subdivision,1979
7047,5842,Subdivision,1937
7048,58426,Subdivision,1980
7049,58432,Subdivision,1980
7050,58432,Subdivision,1980
7051,58432,Subdivision,1980
7052,58432,Subdivision,1980
7053,58432,Subdivision,1980
7054,58432,Subdivision,1980
7055,58432,Subdivision,1980
7056,58447,Subdivision,1980
7057,584571E,Title,1966
7058,58459,Subdivision,1980
7059,58459,Subdivision,1980
7060,58460,Subdivision,1980
7061,58473,Subdivision,1980
7062,58484,Subdivision,1979
7063,58491,Subdivision,1980
7064,5850,Explanatory,1937
7065,58517,Subdivision,1980
7066,58517,Subdivision,1980
7067,58575,Subdivision,1980
7068,58576,Subdivision,1980
7069,58581,Subdivision,1979
7070,58591,Subdivision,1980
7071,58593,Subdivision,1980
7072,58593,Subdivision,1980
7073,58597,Subdivision,1980
7074,58665,Subdivision,1980
7075,58680,Subdivision,1980
7076,58691,Subdivision,1980
7077,58691,Subdivision,1980
7078,58697,Subdivision,1980
7079,58716,Subdivision,1980
7080,58729,Subdivision,1980
7081,58748,Subdivision,1980
7082,58751,Subdivision,1980
7083,58754,Subdivision,1980
7084,58754,Subdivision,1980
7085,58754,Subdivision,1980
7086,58762,Subdivision,1980
7087,58784,Subdivision,1980
7088,58819,Subdivision,1980
7089,58825,Subdivision,1980
7090,58825,Subdivision,1980
7091,58866,Subdivision,1980
7092,58894,Reference Plan,1980
7093,58906,Subdivision,1980
7094,58924,Subdivision,1980
7095,5893,Subdivision,1937
7096,5893,Subdivision,1937
7097,58940,Subdivision,1980
7098,58940,Subdivision,1980
7099,58940,Subdivision,1980
7100,58940,Subdivision,1980
7101,58940,Subdivision,1980
7102,58947,Subdivision,1980
7103,58947,Subdivision,1980
7104,58949,Subdivision,1980
7105,58955,Subdivision,1980
7106,58959,Subdivision,1980
7107,58959,Subdivision,1980
7108,58963,Subdivision,1980
7109,58963,Subdivision,1980
7110,589806E,Title,1966
7111,58989,Subdivision,1980
7112,59000,Subdivision,1980
7113,59000,Subdivision,1980
7114,59000,Subdivision,1980
7115,59013,Subdivision,1979
7116,59022,Subdivision,1980
7117,59033,Subdivision,1980
7118,59033,Subdivision,1980
7119,59034,Subdivision,1980
7120,59038,Reference Plan,1980
7121,59043,Subdivision,1980
7122,59043,Subdivision,1980
7123,59043,Subdivision,1980
7124,59043,Subdivision,1980
7125,59054,Subdivision,1980
7126,59060,Subdivision,1980
7127,59065,Subdivision,1980
7128,59070,Subdivision,1980
7129,59070,Subdivision,1980
7130,59084,Subdivision,1980
7131,59084,Subdivision,1980
7132,59091,Subdivision,1980
7133,59104,Subdivision,1980
7134,59109,Subdivision,1980
7135,59114,Subdivision,1980
7136,59116,Subdivision,1980
7137,59117,Subdivision,1980
7138,59131,Subdivision,1980
7139,59136,Subdivision,1980
7140,59137,Subdivision,1980
7141,59152,Subdivision,1980
7142,59152,Subdivision,1980
7143,59152,Subdivision,1980
7144,59152,Subdivision,1980
7145,59152,Subdivision,1980
7146,59198,Subdivision,1980
7147,5920,Explanatory,1937
7148,59203,Subdivision,1980
7149,59213,Subdivision,1980
7150,59214,Subdivision,1980
7151,59232,Subdivision,1980
7152,59233,Subdivision,1980
7153,59238,Subdivision,1980
7154,59238,Subdivision,1980
7155,5924,Subdivision,1937
7156,59251,Subdivision,1980
7157,59256,Subdivision,1980
7158,59285,Subdivision,1980
7159,59288,Subdivision,1980
7160,593,Subdivision,1923
7161,59304,Subdivision,1980
7162,59304,Subdivision,1980
7163,59324,Subdivision,1980
7164,59324,Subdivision,1980
7165,59338,Subdivision,1980
7166,59358,Subdivision,1980
7167,59379,Subdivision,1980
7168,59379,Subdivision,1980
7169,59379,Subdivision,1980
7170,59379,Subdivision,1980
7171,59388,Subdivision,1980
7172,59401,Subdivision,1980
7173,59407,Subdivision,1980
7174,59413,Subdivision,1980
7175,59413,Subdivision,1980
7176,59432,Subdivision,1980
7177,59463,Subdivision,1980
7178,59463,Subdivision,1980
7179,59463,Subdivision,1980
7180,59465,Subdivision,1980
7181,59470,Subdivision,1980
7182,59481,Subdivision,1980
7183,5949,Subdivision,1937
7184,59500,Subdivision,1980
7185,5951,Subdivision,1937
7186,59512,Subdivision,1980
7187,59520,Subdivision,1980
7188,59524,Subdivision,1980
7189,59524,Subdivision,1980
7190,59524,Subdivision,1980
7191,59524,Subdivision,1980
7192,59525,Subdivision,1980
7193,59525,Subdivision,1980
7194,59525,Subdivision,1980
7195,59529,Subdivision,1980
7196,59529,Subdivision,1980
7197,59529,Subdivision,1980
7198,59529,Subdivision,1980
7199,59529,Subdivision,1980
7200,59529,Subdivision,1980
7201,59530,Subdivision,1980
7202,59534,Subdivision,1980
7203,59539,Subdivision,1980
7204,59550,Subdivision,1980
7205,59554,Subdivision,1980
7206,59565,Subdivision,1980
7207,59572,Subdivision,1980
7208,59592,Subdivision,1980
7209,59592,Subdivision,1980
7210,59592,Subdivision,1980
7211,59597,Subdivision,1980
7212,59597,Subdivision,1980
7213,59597,Subdivision,1980
7214,59597,Subdivision,1980
7215,5961,Subdivision,1937
7216,59630,Reference Plan,1980
7217,59650,Subdivision,1980
7218,59652,Subdivision,1980
7219,59668,Subdivision,1980
7220,59700,Subdivision,1980
7221,59710,Subdivision,1980
7222,59712,Subdivision,1980
7223,59720,Subdivision,1980
7224,59731,Subdivision,1980
7225,59737,Subdivision,1980
7226,59737,Subdivision,1980
7227,59737,Subdivision,1980
7228,59748,Subdivision,1980
7229,59772,Subdivision,1980
7230,59773,Subdivision,1980
7231,59781,Subdivision,1980
7232,59786,Subdivision,1980
7233,59788,Subdivision,1980
7234,59817,Subdivision,1980
7235,59832,Subdivision,1980
7236,59836,Subdivision,1980
7237,59836,Subdivision,1980
7238,59851,Subdivision,1980
7239,59859,Subdivision,1980
7240,59859,Subdivision,1980
7241,59889,Reference Plan,1980
7242,59913,Subdivision,1980
7243,59922,Subdivision,1980
7244,59923,Subdivision,1980
7245,5993,Explanatory,1937
7246,59933,Subdivision,1980
7247,5994,Subdivision,1937
7248,59940,Subdivision,1980
7249,59951,Subdivision,1980
7250,59951,Subdivision,1980
7251,59952,Subdivision,1980
7252,59957,Subdivision,1980
7253,59957,Subdivision,1980
7254,59957,Subdivision,1980
7255,59968,Subdivision,1980
7256,59983,Subdivision,1980
7257,59984,Subdivision,1980
7258,59984,Subdivision,1980
7259,59990,Subdivision,1980
7260,59994,Subdivision,1980
7261,60004,Subdivision,1980
7262,60013,Subdivision,1980
7263,6002,Subdivision,1937
7264,6002,Subdivision,1937
7265,60037,Reference Plan,1980
7266,60038,Reference Plan,1980
7267,60041,Subdivision,1980
7268,60053,Subdivision,1980
7269,60056,Subdivision,1980
7270,60056,Subdivision,1980
7271,60057,Subdivision,1980
7272,60057,Subdivision,1980
7273,60058,Subdivision,1980
7274,60067,Subdivision,1980
7275,60082,Reference Plan,1980
7276,60083,Reference Plan,1980
7277,60096,Subdivision,1980
7278,60108,Subdivision,1980
7279,60108,Subdivision,1980
7280,60120,Subdivision,1980
7281,60120,Subdivision,1980
7282,60127,Subdivision,1980
7283,60136,Subdivision,1980
7284,60164,Subdivision,1980
7285,60174,Subdivision,1980
7286,60174,Subdivision,1980
7287,60174,Subdivision,1980
7288,60174,Subdivision,1980
7289,60174,Subdivision,1980
7290,60174,Subdivision,1980
7291,60177,Subdivision,1980
7292,6018,Subdivision,1938
7293,60188,Subdivision,1980
7294,60189,Subdivision,1980
7295,60212,Subdivision,1980
7296,60248,Subdivision,1980
7297,60249,Subdivision,1980
7298,60268,Subdivision,1980
7299,60277,Subdivision,1980
7300,60285,Subdivision,1980
7301,60292,Subdivision,1980
