,ACCESSIBILITY,COMMENTS,CRE_DATE,MATERIAL,MOD_DATE,ROAD_CLASS,WEBLINK
251,Open,,20130304,,20170208,,
252,,,20140829,,20150921,Other,
253,Closed to Traffic,Parking Lot,20130321,Asphalt,20140121,,
254,Open,,20121019,Gravel,20161005,Local,
255,,,20131203,,20161007,,
256,Open,,20131203,,20161007,,
257,,,20121220,,20180329,,
258,,,20161130,,20161130,,
259,,Parking Lot,20130212,,20170605,,
260,,,20121220,,20130124,,
261,,,20130213,,20130225,,
262,Open,,20131203,,20170607,,
263,,,,,,,
264,,,20141027,,20150820,Lane,
265,,,20151201,,20151201,Other,
266,Open,,20130308,,20130308,,
267,Open,,20170822,Asphalt,20170822,Ramp,
268,,,20121219,,20170719,,
269,,,20160729,,,,
270,,,20131203,,20130312,,
271,,Parking Lot,20150817,,20180808,Other,
272,Open,,20180803,Asphalt,20180807,Other,
273,,Parking Lot,20150817,,20180808,Other,
274,,,20151127,,20151127,,
275,,,20151130,,20151130,,
276,Open,,20150728,,20150728,,
277,,,20151127,,20161020,,
278,,,20151130,,20151130,,
279,,,20151120,,20151120,Other,
280,,,20121219,,20130307,,
281,Open,,20121219,,20131203,,
282,Open,,20121219,,20170815,,
283,,,20151125,,20151125,Other,
284,,,20150408,,20160516,Local,
285,,,20121219,,20150720,,
286,Open,,20170821,,20160107,,
287,Open,,20130710,,20130710,,
288,Null,,20130710,,20140214,,
289,Open,,20130710,Asphalt,20171128,,
290,,,20130320,,20130320,,
291,,,20130320,,20130320,,
292,,,20141027,Asphalt,20151014,Lane,
293,Open,,20121219,Asphalt,20180530,,
294,,,20180509,,20180509,Local,
295,Open,,20131121,Asphalt,20160627,,
296,Open,,20121219,Asphalt,,,
297,Open,,20131203,,20180802,Highway,
298,Open,,20170821,,20170821,Ramp,
299,,,20160729,,,,
300,Open,,20121019,Asphalt,20131121,,
301,Open,,20131121,Asphalt,20131121,,
302,,,20131203,,20121102,,
303,Open,,20120822,Asphalt,,,
304,,,20151201,,,Other,
305,,,20121220,,20131203,,
306,,,20121220,,20131203,,
307,,,20131203,,20130502,,
308,Open,,20120822,Asphalt,20130502,,
309,Open,,20121001,Asphalt,20121001,Arterial,
310,Open,,20120822,Asphalt,20170606,,
311,Open,,20131121,,20161123,,
312,,,20140121,,20121102,,
313,Open,,20121219,,20130710,,
314,,,20151125,,20151125,Other,
315,Open,,20121219,,20140716,,
316,Open,,20120822,Asphalt,20170822,Ramp,
317,Open,,20170821,Asphalt,20170822,Ramp,
318,Open,,20170821,Asphalt,20170822,Ramp,
319,,,20151125,,20171018,,
320,Closed to Traffic,,20130822,,20130822,,
321,Open,,20121019,Asphalt,20131203,Highway,
322,Open,,20170605,Asphalt,20121019,Other,
323,,,20130118,,,,
324,,,20121220,,20121102,,
325,,,20121220,,20171016,,
326,Open,,20120822,Gravel,20160209,Local,
327,,,20121219,,20121102,,
328,Open,,20131203,,20130710,,
329,,,20150327,,20150327,,
330,,,20151016,,20160205,Local,
331,Open,,20121219,,20130710,,
332,Open,,20120822,Asphalt,,,
333,Open,,20120822,Asphalt,,,
334,,,20140430,,,,
335,Open,,20140221,,20151203,,
336,Open,,20150622,,20180725,,
337,Open,,20121220,,20170822,,
338,Open,,20170821,,20170822,Ramp,
339,Open,,20131121,,20131121,,
340,Open,,20131219,Asphalt,20170126,Highway,
341,Open,,20130320,Asphalt,20170131,,
342,Open,,20121019,Asphalt,20121019,Local,
343,,Parking Lot,20130125,Asphalt,20151208,Unknown,
344,Open,Parking Lot,20151208,Asphalt,20151208,Unknown,
345,,,20131121,,20161031,,
346,Open,,20120822,Asphalt,20161031,Collector,
347,,Parking Lot,,,20170605,Other,
348,,,20160202,,,Other,
349,,Parking Lot,20160202,,20170605,Other,
350,,,20131203,,20171016,,
351,,Parking Lot,20160202,,20170605,Other,
352,Open,Parking Lot,20151201,,20160202,Unknown,
353,,,,,,,
354,,Parking Lot,,,20170605,,
355,,,,,,,
356,,,20160202,,,Other,
357,Open,,20120822,Asphalt,,,
358,,,20130115,Asphalt,,,
359,Open,,20121221,,20130710,,
360,Open,,20121219,,20130710,,
361,Open,,20121219,Asphalt,20150727,Local,
362,Open,,20121219,,20180417,,
363,Open,,20120822,Asphalt,,,
364,,,20170518,,20170518,,
365,Open,,20121219,,20130710,,
366,Open,,20120822,Asphalt,,Lane,
367,Open,,20131203,,20131011,,
368,,,20130722,,20130722,,
369,Open,,20121219,Asphalt,20150622,,
