,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MATERIAL,INVERT,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,YTD_COST,LIFECYCLE_COST,CONDITION,CONDITIONDATE,FLOW_WEIR,LAST_INSP_DATE,INSTALL_DATE,MAKE,MODEL,MANUFACTURER,VENDOR,I_I_SOURCE,I_I_QUANTITY,CONDITION_NOTATION,CRE_DATE,MOD_DATE,ENABLED,Latitude,Longitude
141,0,Ball,1000141318,27904,1237411509,75,Ductile Iron,0.5,Abandoned,4515,1977,Surrey,,LINE BW-C,Final AB,,,,,,,,,,,,,,,,20051115,20160708,0,49.211313,-122.878685
142,0,Ball,1000141319,27906,1237411438,75,PVC Plastic,0.49,Abandoned,4515,1977,Surrey,,LINE BW-C,Final AB,,,,,,,,,,,,,,,,20051115,20160708,0,49.210031,-122.878705
143,0,Ball,1000141320,27907,1238411322,75,Ductile Iron,0.56,Abandoned,4515,1977,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051115,20160708,0,49.207931,-122.878433
144,0,Ball,1000141321,27912,1238411331,75,Ductile Iron,0.74,Abandoned,4515,1977,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051115,20160708,0,49.208098,-122.878433
145,0,Ball,1000141322,27926,1238611372,75,Ductile Iron,0.82,Abandoned,4515,1977,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051116,20160708,0,49.208835,-122.878380
146,0,Ball,1000141323,27930,1238511381,100,Ductile Iron,0.24,Abandoned,4515,1977,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051116,20160708,0,49.209002,-122.878381
147,0,Ball,1000141324,27935,1252111382,100,Ductile Iron,0.69,Abandoned,4515,1977,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051116,20160708,0,49.209015,-122.874642
148,0,Ball,1000141329,27986,1252111374,100,PVC Plastic,0.6,Abandoned,7885-002,1977,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051117,20160708,0,49.208859,-122.874629
149,0,Ball,1000141330,27987,1252511370,100,PVC Plastic,0.36,Abandoned,7885-0500-00,1987,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051117,20160708,0,49.208791,-122.874522
150,0,Ball,1000141331,27988,1252011332,100,Ductile Iron,0.53,Abandoned,7885-0500-00,1987,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051117,20160708,0,49.208113,-122.874668
151,0,Ball,1000141332,27989,1252011323,100,Ductile Iron,0.55,Abandoned,7885-0500-00,1987,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051117,20160708,0,49.207942,-122.874677
152,0,Ball,1000141333,27990,1252511318,100,Ductile Iron,0.57,Abandoned,7885-0500-00,1987,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051117,20160708,0,49.207856,-122.874527
153,0,Ball,1000141334,27993,1245811273,75,PVC Plastic,0.78,Abandoned,4515,1977,Surrey,,LINE BW-G,Final AB,,,,,,,,,,,,,,,,20051117,20160708,0,49.207034,-122.876388
154,0,Ball,1000141339,28023,1252411385,100,Ductile Iron,0.65,Abandoned,4515,1998,Surrey,,LINE BW-F,Final AB,,,,,,,,,,,,,,,,20051121,20160708,0,49.209060,-122.874558
