,AREA_SUBTYPE,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LENGTH_M,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NO_OF_HANDICAPPED_UNITS,NO_OF_SPACES,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_AREA_TYPE,PARK_AREA_TYPE2,PARK_FACILITY_TYPE,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SECURE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,STRUCTURES_INSPECTION_ROUTE,SURFACE_TYPE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH_M,WORK_ASSIGNMENT,YEAR_ADDED,YRS_LIFE_EXPECTANCY
54,Unimproved Land,,,,,20140808,Mountain View Park,1001781256,15929,,,,,,,,114,,20180320,,,"114L - Neighbourhood Park, 15929 Mountain View Dr",,,0,General Area,,,,02960,,,,OPERATING,,,,,,,,,,2014,
55,Unimproved Land,,,,,20170601,14L - Greenbelt,1001933321,,,,,,,,,,,20170601,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
56,Unimproved Land,,,,,20140620,Wills Brook Park,1001754047,03009,,,,,,,,114,,20180320,,,"114J - Greenbelt, 3009 160 St",,,0,General Area,,,,16000,,,,OPERATING,,,,,,,,,,2014,
57,Unimproved Land,,,,,20130315,"Walnut Park,16246 82 Ave",1001580816,,,,,,,,,045,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2007,
58,Unimproved Land,,,,,20161214,JR Douglas Park,1001899853,,,,,,"North Point Park, 10902 162 St",,,15,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
59,Unimproved Land,,,,,20130315,"116G - Greenbelt,2770 168 St",1001580752,,,,,,,,,116,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
60,Unimproved Land,,,,,20151120,"The Glades,590 171 St",1001847437,,,,,,,,,146,,20160823,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
61,Unimproved Land,,,,,20130315,"116H - Community Park,17037 24 Ave",1001580823,,,,,,,,,116,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2011,
62,Unimproved Land,,,,,20130315,"36A - Neighbourhood Park,9370 173A",1001580850,,,,,,,,,036,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
63,Unimproved Land,,,,,20130315,"77A - Greenbelt,17958 64 Ave",1001580796,,,,,,,,,077,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2006,
64,Unimproved Land,,,,,20150914,108A - Greenbelt,1001838612,,,,,,,,,,,20150914,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
