,ANCILLARYROLE,ENABLED,CHAMBER_TYPE,CHAMBER_TYPE2,FACILITYID,LEGACYID,NODE_NO,CHAMBER_DISCHARGE,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
249,,1,0,Pressure Reducing,1000275564,17097,1440502663,,In Service,W-337,,Surrey,2735 144 ST,,Final AB,,,,,,20020502,20170413,49.051168,-122.823164
250,,1,3,Zone Meter,1001901513,1000268510,1918005428,,Proposed,1299-5020-00,2004,Surrey,54 Ave & 192 St,,Final AB,,,,0,0,20170106,20170502,49.100921,-122.691404
251,,1,0,Pressure Reducing,1001420288,,1212409058,,In Service,1211-5060-00,2014,Surrey,12171 90TH AVE  (IN FIELD TO WEST OF KENNEDY PS),Secondary - New PRVs for Kennedy PS,Initial AB,,NEW,20130517,,,20171220,20171220,49.166980,-122.885695
252,,1,3,Zone Meter,1001972323,,1212409053,,In Service,1211-5010-00,2014,Surrey,,,Initial AB,,,,,,20171220,20171220,49.166890,-122.885702
253,,1,0,Pressure Reducing,1000265987,21437,1368308024,,In Service,1200-2030-00,2001,Surrey,13715 80 AVE,(13660 - 80th Ave.) SEE ALSO W-042-065,Final AB,,,,,,20021024,20170816,49.148202,-122.842738
254,,1,0,Pressure Reducing,1000275816,20347,1806106804,,In Service,7893-0222-00,1998,Surrey,18068 68 AVE,,Final AB,,,,,,20020712,20170413,49.125907,-122.722109
255,,1,0,Pressure Reducing,1000276044,20353,1495805814,,In Service,7892-0609-00,1997,Surrey,14959 58 AVE,,Final AB,,,,,,20020712,20170413,49.108116,-122.807561
256,,1,0,Pressure Reducing,1000276800,3444,1196110140,,In Service,1296-506,1996,Surrey,10109 120 ST,Secondary,Final AB,,,,,,20020425,20170413,49.186558,-122.890156
257,,1,0,Pressure Reducing,1000277247,21339,1357409141,,In Service,1299-5000-00,2001,Surrey,91 AVE & KING GEORGE BLVD,"SEE ALSO W-031-097,099",Final AB,,,,,,20021008,20170413,49.168432,-122.845681
258,,1,0,Pressure Reducing,1000272396,23378,1478807215,,In Service,12026020-00,2004,Surrey,14796 72 AVE,On 148 ST,Final AB,,,,,,20041103,20170413,49.133521,-122.812308
259,,1,0,Pressure Reducing,1000277486,8758,1317708425,,In Service,W882,1992,Surrey,13229 84 AVE,,Final AB,,,,,,20020430,20170413,49.155492,-122.856678
260,,1,0,Pressure Reducing,1000277770,10094,1647008657,,In Service,7888-0323-00,1991,Surrey,16490 86A AVE,,Final AB,,,,,,20020430,20170413,49.159526,-122.765799
261,,1,0,Pressure Reducing,1000278346,13301,1905907198,,In Service,WF-1456,2003,Metro Vancouver,19080 72 AVE,Clayton Station,Final AB,,,,,,20020502,20170413,49.132975,-122.694538
262,,1,0,Pressure Reducing,1000278417,20489,1920006453,,In Service,1200-5030-04,2002,Surrey,6415 192 ST,,Final AB,,,,,,20020723,20170413,49.119466,-122.690733
263,,1,0,Pressure Reducing,1000279569,21290,1513502767,,In Service,1298-502,1999,Surrey,15073 27B AVE,On KING GEORGE HWY,Final AB,,,,,,20020930,20170413,49.053025,-122.803076
264,,1,0,Pressure Reducing,1000279772,20265,1572002363,,In Service,1297-5090-00,2000,Surrey,15677 24 AVE,SEE ALSO WD-114-033,Final AB,,,,,,20020709,20170413,49.045681,-122.786984
265,,1,0,Pressure Reducing,1000279776,20269,1556202363,,In Service,1297-511,1999,Surrey,15553 24 AVE,SEE ALSO WD-114-030,Final AB,,,,,,20020709,20170413,49.045695,-122.791350
266,,1,0,Pressure Reducing,1000280196,8121,1640209537,,In Service,4639,,Surrey,95 & 164 ST,,Final AB,,,,,,20020429,20170413,49.175454,-122.767621
267,,1,0,Pressure Reducing,1000280311,8243,1639308835,,In Service,,2002,Surrey,16388 88 AVE,,,,,,,,20020429,20170413,49.162785,-122.767913
268,,1,0,Pressure Reducing,1000280317,21403,1628909431,,In Service,,1998,Surrey,16289 94 AVE,SEE TIE IN SEPT 24/98,,,,,,,20021016,20170413,49.173553,-122.770743
269,,1,0,Pressure Reducing,1000280533,17547,1680702778,,In Service,W-360,1983,Surrey,2815 168 ST,,Final AB,,,,,,20020503,20170413,49.053134,-122.757043
270,,1,0,Pressure Reducing,1000280558,17572,1680703001,,In Service,W-360,1983,Surrey,3047 168 ST,,Final AB,,,,,,20020503,20170413,49.057166,-122.757000
