,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
163,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
164,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
165,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
166,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
167,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
168,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
169,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
170,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
171,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
172,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
173,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
174,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
175,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
176,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
177,,,,,,,,,Marina,,Crescent Beach,Approved,Local Area Plan,1999
178,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
179,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
180,,,,,,,,,Beach,,Crescent Beach,Approved,Local Area Plan,1999
181,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
182,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
183,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
184,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
185,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
186,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
187,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
