,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
459,, , ,20130315,15,,UPA, ,Townhouses (15 u.p.a. max),,South Newton,Approved,Neighbourhood Concept Plan,1999
460,, , ,,6,,UPA, ,Single Family Residential,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
461,20120528,AMENDMENT Creeks & Riparian Set Backs to Single Family Residential Flex 6-14.5 u.p.a.7908-0091-00 Taryn Hayes,RES.R12-1165,20120606,14.5,6,UPA,7908-0091-00,Single Family Residential Flex 6-14.5 u.p.a.,20121218,South Newton,Approved,Neighbourhood Concept Plan,1999
462,,,,,10,8,UPA,,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
463,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
464,, , ,,2,,UPA, ,Suburban Residential 1/2 Acre,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
465,, , ,,,,, ,Industrial,,South Newton,Approved,Neighbourhood Concept Plan,1999
466,,,,,10,8,UPA,,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
467,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
468,20021021,Rezone from RH to RF (B/L-12000); NCP (Road Pattern Change),R03-1925,,6,,UPA,02-0192-00,Single Family Residential,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
469,,,,,10,8,UPA,,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
470,,,,,10,8,UPA,,Single Family Small Lots,20110928,South Newton,Approved,Neighbourhood Concept Plan,1999
471,20120507,Amend ownhouses (15 u.p.a. max) to Townhouses (25 u.p.a. max)   7910-0293-00   Mike Newall,RES.R12-1021,,25,25,UPA,7910-0293-00,Townhouses (25 u.p.a. max),20121218,South Newton,Approved,Neighbourhood Concept Plan,1999
472,, , ,,,,, ,Creeks & Riparian Set Backs,20120518,South Newton,Approved,Neighbourhood Concept Plan,1999
473,, , ,,14.5,6,UPA, ,Single Family Residential Flex 6-14.5 u.p.a.,,South Newton,Approved,Neighbourhood Concept Plan,1999
474,, , ,,15,,UPA, ,Townhouses (15 u.p.a. max),,South Newton,Approved,Neighbourhood Concept Plan,1999
475,20030526,"Rezone from RA & IL to CD (B/L-12000); NCP from Detention Pond, Single Family Residential & Townhouses (25 upa maximum) to Townhouses (15 upa maximum)",R03-2769,,15,,UPA,02-0392-00,Townhouses (15 u.p.a. max),,South Newton,Approved,Neighbourhood Concept Plan,1999
476,, , ,20170208,,,, ,Buffers,20170208,South Newton,Approved,Neighbourhood Concept Plan,1999
477,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
478,, , ,,,,, ,Proposed Parks & Walkways,,South Newton,Approved,Neighbourhood Concept Plan,1999
479,, , ,,,,, ,Buffers,,South Newton,Approved,Neighbourhood Concept Plan,1999
