,CATCHMENT_TYPE,CATCHMENT_TYPE_2,COMMENTS,CRE_DATE,MOD_DATE,NAME
388,1,Sub Catchments,,,,243
389,1,Sub Catchments,,,,508
390,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111202,20111202,LCR9 North
391,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111202,20111202,LCR9 South
392,1,Sub Catchments,,,,224
393,1,Sub Catchments,,,,220
394,1,Sub Catchments,,,,215
395,1,Sub Catchments,,,,214
396,1,Sub Catchments,,,,99
397,1,Sub Catchments,,,,242
398,1,Sub Catchments,,,,207
399,1,Sub Catchments,,,,181
400,1,Sub Catchments,,,,69
401,1,Sub Catchments,,,,180
402,1,Sub Catchments,,,,182
403,1,Sub Catchments,,,,74
404,1,Sub Catchments,,,,84
405,1,Sub Catchments,,,,73
406,1,Sub Catchments,,,,77
407,1,Sub Catchments,,,,190
408,1,Sub Catchments,,,,309
409,1,Sub Catchments,,,,299
410,1,Sub Catchments,,,,302
411,1,Sub Catchments,,,,536
412,1,Sub Catchments,,,,347
413,1,Sub Catchments,,,,341
414,1,Sub Catchments,,,,433
415,1,Sub Catchments,,,,432
416,1,Sub Catchments,,,,365
417,1,Sub Catchments,,,,370
418,1,Sub Catchments,,,,359
419,1,Sub Catchments,,,,336
420,1,Sub Catchments,,,,108
421,1,Sub Catchments,,,,482
422,1,Sub Catchments,,,,520
423,1,Sub Catchments,,,,194
424,1,Sub Catchments,,,,97
425,1,Sub Catchments,,,,196
426,1,Sub Catchments,,,,95
427,1,Sub Catchments,,,,158
428,1,Sub Catchments,,,,157
429,1,Sub Catchments,,,,530
430,1,Sub Catchments,,,,538
431,1,Sub Catchments,,,,541
432,1,Sub Catchments,,,,446
433,1,Sub Catchments,,,,428
434,1,Sub Catchments,,,,441
435,1,Sub Catchments,,,,438
436,1,Sub Catchments,,,,464
437,1,Sub Catchments,,,,465
438,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111201,20111202,LCR12 South
439,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,166
440,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,204
441,1,Sub Catchments,,,,401
442,1,Sub Catchments,,,,392
443,1,Sub Catchments,,,,388
444,1,Sub Catchments,,,,514
445,1,Sub Catchments,,,,510
446,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111202,20111202,LCR8 South
447,1,Sub Catchments,,,,221
448,1,Sub Catchments,,,,236
449,1,Sub Catchments,,,,232
450,1,Sub Catchments,,,,212
451,1,Sub Catchments,,,,211
452,1,Sub Catchments,,,,259
453,1,Sub Catchments,,,,255
454,1,Sub Catchments,,,,70
455,1,Sub Catchments,,,,72
456,1,Sub Catchments,,,,85
457,1,Sub Catchments,,,,322
458,1,Sub Catchments,,,,308
459,1,Sub Catchments,,,,307
460,1,Sub Catchments,,,,316
461,1,Sub Catchments,,,,310
462,1,Sub Catchments,,,,318
463,1,Sub Catchments,,,,296
464,1,Sub Catchments,,,,327
465,1,Sub Catchments,,,,357
466,1,Sub Catchments,,,,354
467,1,Sub Catchments,,,,337
468,1,Sub Catchments,,,,454
469,1,Sub Catchments,,,,367
470,1,Sub Catchments,,,,118
471,1,Sub Catchments,,,,488
472,1,Sub Catchments,,,,96
473,1,Sub Catchments,,,,160
474,1,Sub Catchments,,,,202
475,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,198
476,1,Sub Catchments,,,,540
477,1,Sub Catchments,,,,527
478,1,Sub Catchments,,,,285
