,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,CURB_TYPE,CURB_TYPE2,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROFILE,PROJECT_NO,STATUS,WARRANTYDATE,YR,YTD_COST
4018,Digitized Via 2014 Air Photo,,,20150415,3,Pavement Edge,1001818135,,1001818107,0,,Asphalt,20150415,Surrey,,,In Service,,,0
4019,Digitized from 2015 Ortho photos,,,20160111,0,Barrier,1001853126,Final AB,,,,Concrete,,Surrey,,,In Service,,,
4020,,,,20120914,0,Barrier,1001433664,Final AB,,,,Concrete,20151008,Surrey,,1711-7090-00,Proposed,,,
4021,Digitized Via 2016 Air Photo,,,20160906,0,Barrier,1001890930,,,,,Concrete,20180413,Surrey,,,In Service,,,
4022,Digitized from 2015 Ortho photos,,,20160108,3,Pavement Edge,1001852664,Initial AB,,,,Asphalt,20160108,Surrey,,,In Service,,,
4023,Digitized Via 2014 Air Photo,,,20150327,1,Extruded,1001814356,,,,,Asphalt,20150327,Surrey,,,,,,
4024,Digitized Via 2014 Air Photo,,,20150327,1,Extruded,1001814353,,,,,Asphalt,20150327,Surrey,,,In Service,,,
4025,Digitized Via 2012 Air Photo,,,20121204,2,Rollover,1001560645,,,,,Concrete,20130808,Surrey,,,In Service,,,
4026,,,,20140721,2,Rollover,1001756835,,,,,Concrete,,Surrey,,,In Service,,,
4027,,,,20170117,2,Rollover,1001902516,,1001902478,0,,Concrete,20170117,Surrey,,,In Service,,,0
4028,,,,20170117,2,Rollover,1001902510,,1001902478,0,,Concrete,20170117,Surrey,,,In Service,,,0
4029,,,,20170117,0,Barrier,1001902487,,1001902477,0,,Concrete,20170117,Surrey,,,In Service,,,0
4030,,,,20160112,3,Pavement Edge,1001853422,,,,,Asphalt,20160112,Surrey,,,In Service,,,
4031,,,,20120413,3,Pavement Edge,1001408015,,,,,Asphalt,20151102,Surrey,,,In Service,,,
4032,Digitized Via 2013 Air Photo,,,20140604,0,Barrier,1001752335,,1001752334,0,,Asphalt,20140704,Surrey,,,In Service,,,0
4033,Digitized Via 2013 Air Photo,,,20140603,3,Pavement Edge,1001752173,,,,,Asphalt,20140704,Surrey,,,In Service,,,
4034,Digitized Via 2013 Air Photo,,,20140516,3,Pavement Edge,1001749279,,,,,Asphalt,20180516,Surrey,,,In Service,,,
4035,,,,20110216,2,Rollover,1001189516,Final AB,,,,Concrete,20110216,Surrey,,,In Service,,,
4036,,,,20100310,3,Pavement Edge,1001152414,Final AB,,,,Asphalt,20110217,Provincial,,MOTH 71101-1004,In Service,,2009,
4037,Digitized from 2015 Ortho photos,,,20160111,2,Rollover,1001853172,Initial AB,,,,Concrete,20160111,Surrey,,,In Service,,,
4038,Digitized from 2015 Ortho photos,,,20160112,2,Rollover,1001853343,Initial AB,,,,Concrete,20160112,Surrey,,,In Service,,,
4039,Digitized from 2015 Ortho photos,,,20160112,2,Rollover,1001853342,Initial AB,,,,Concrete,20160112,Surrey,,,In Service,,,
4040,Digitized from 2015 Ortho photos,,,20160112,2,Rollover,1001853340,Initial AB,,,,Concrete,20160112,Surrey,,,In Service,,,
4041,,,,20180809,0,Barrier,1002127258,Final AB,1001841792,0,,Concrete,20151008,Surrey,,1711-7090-00,In Service,,2015,0
4042,,,,20170810,0,Barrier,1001942870,,,,,Concrete,20170810,Surrey,,,In Service,,,
4043,,,,20151008,2,Rollover,1001841806,,,,,Concrete,,Surrey,,,In Service,,,
4044,,,,20180416,0,Barrier,1001995597,,,,,Concrete,20180416,Surrey,,,In Service,,,
4045,,,,20160906,0,Barrier,1001890966,Initial AB,,,,Concrete,20160920,Surrey,,3814-6050-00,In Service,,2015,
4046,,,,20180801,3,Pavement Edge,1002123160,,,,,Asphalt,20180801,Surrey,,,In Service,,,
4047,,,,20120726,0,Barrier,1001419462,EC,,,,Concrete,20130808,Surrey,,7806-0490-00,Proposed,,,
4048,,,,20151119,0,Barrier,1001847270,Final AB,,,,Concrete,20151119,Surrey,,3811-6280-00,In Service,,2015,
4049,Digitized Via 2015 Air Photo,,,20160411,0,Barrier,1001869016,,,,,Concrete,20160411,Surrey,,,In Service,,,
4050,,,,20120920,3,Pavement Edge,1001210818,Final AB,1001210817,,,Asphalt,20130808,Surrey,,3810-6050-00,In Service,,2012,
4051,,,,20140416,2,Rollover,1001741852,Final AB,,,,Concrete,20150327,Surrey,,7812-0007-00,In Service,,2014,
4052,Digitized Via 2016 Air Photo,,,20161021,1,Extruded,1001894894,,,,,Asphalt,20161021,Surrey,,,In Service,,,
4053,,,,20130114,3,Pavement Edge,1001563056,Final AB,,,,Asphalt,20130114,Surrey,,1709-7010-00,In Service,,2012,
4054,,,,20130114,0,Barrier,1001563055,Final AB,,,,Concrete,20130228,Surrey,,1709-7010-00,In Service,,2012,
4055,,,,20130114,0,Barrier,1001563051,Final AB,,,,Concrete,20130228,Surrey,,1709-7010-00,In Service,,2012,
4056,,,,20170117,0,Barrier,1001902493,,1001902477,0,,Concrete,20170117,Surrey,,,In Service,,,0
4057,,,,20151102,3,Pavement Edge,1001846081,Final AB,,,,Asphalt,20160112,Surrey,,SFPR Seg. 6,In Service,,2014,
4058,,,,20160119,3,Pavement Edge,1001854561,,,,,Asphalt,20170802,Surrey,,,In Service,,,
4059,Digitized Via 2013 Air Photo,,,20140604,3,Pavement Edge,1001752341,,,,,Asphalt,20140704,Surrey,,,In Service,,,
4060,Digitized Via 2013 Air Photo,,,20140704,3,Pavement Edge,1001755443,,1001752342,0,,Asphalt,20140704,Surrey,,,In Service,,,0
4061,Digitized Via 2013 Air Photo,,,20140704,3,Pavement Edge,1001755444,,1001755398,0,,Asphalt,20140704,Surrey,,,In Service,,,0
4062,Digitized Via 2013 Air Photo,,,20140704,0,Barrier,1001755411,,,,,Concrete,20140707,Surrey,,,In Service,,,
4063,Digitized Via 2013 Air Photo,,,20140704,3,Pavement Edge,1001755446,,,,,Asphalt,20160629,Surrey,,,In Service,,,
4064,Digitized Via 2013 Air Photo,,,20140604,3,Pavement Edge,1001752331,,1001752314,0,,Asphalt,20160629,Surrey,,,In Service,,,0
4065,Digitized Via 2013 Air Photo,,,20140528,3,Pavement Edge,1001751193,,1001751191,0,,Asphalt,20180516,Surrey,,,In Service,,,0
4066,Digitized Via 2013 Air Photo,,,20140528,3,Pavement Edge,1001751174,,1001751169,0,,Asphalt,20180516,Surrey,,,In Service,,,0
4067,,,,20160629,1,Extruded,1001882102,EC,,,,Asphalt,20160629,Surrey,,4811-3200-00,Proposed,,,
4068,,,,20100310,3,Pavement Edge,1001152415,Final AB,,,,Asphalt,20110216,Provincial,,MOTH 71101-1004,In Service,,2009,
4069,,,,20180328,2,Rollover,1001993292,EC,,,,Concrete,20180328,Surrey,,1716-6670-00,Proposed,,,
4070,,,,20170804,0,Barrier,1001942650,EC,,,,Concrete,20170810,Surrey,,7814-0359-00,Proposed,,,
4071,,,,20110722,0,Barrier,1001204910,,,,,Concrete,20110722,Surrey,,,In Service,,,
4072,,,,20151119,0,Barrier,1001847275,Final AB,,,,Concrete,20160107,Surrey,,3811-6280-00,In Service,,2015,
4073,Digitized Via 2016 Air Photo,,,20161021,1,Extruded,1001894899,,,,,Asphalt,20161021,Surrey,,,In Service,,,
4074,,,,20121203,3,Pavement Edge,1001211223,Final AB,,,,Asphalt,20130808,Surrey,,3811-6030-00,In Service,,2012,
4075,Digitized Via 2012 Air Photo,,,20121204,3,Pavement Edge,1001560648,,,,,Asphalt,20161108,Surrey,,,In Service,,,
4076,,,,20140721,3,Pavement Edge,1001756836,,,,,Asphalt,20161108,Surrey,,,In Service,,,
4077,Digitized Via 2014 Air Photo,,,20150619,1,Extruded,1001828430,,,,,Asphalt,20150619,Surrey,,,In Service,,,
4078,,,,20160927,3,Pavement Edge,1001893141,,,,,Asphalt,20160928,Surrey,,,In Service,,,
4079,,,,20150602,2,Rollover,1001826429,,,,,Concrete,,Surrey,,,In Service,,,
4080,Digitized Via 2015 Air Photo,,,20151126,2,Rollover,1001848493,,,,,Concrete,20151126,Surrey,,,In Service,,,
4081,,,,20150727,0,Barrier,1001832436,Final AB,,,,Concrete,20150910,Surrey,,1714-8050-00,In Service,,2015,
4082,Digitized via 2014 image,,,20150727,0,Barrier,1001832439,,,,,Concrete,20150727,Surrey,,,In Service,,,
4083,Digitized from 2015 Ortho photos,,,20160112,2,Rollover,1001853217,Initial AB,,,,Concrete,20160112,Surrey,,,In Service,,,
4084,,,,20180328,0,Barrier,1001993303,,,,,Concrete,20180328,Surrey,,,In Service,,,
4085,,,,20180416,2,Rollover,1001995631,,,,,Concrete,,Surrey,,,In Service,,,
4086,,,,20110908,0,Barrier,1001212369,EC,,,,Concrete,20110908,Surrey,,7809-0139-00,Proposed,,2011,
4087,,,,20161026,0,Barrier,1001844335,Initial AB,1001844334,0,,Concrete,20161026,Surrey,,7814-0043-00,In Service,,2016,0
4088,Digitized Via 2016 Air Photo,,,20161020,0,Barrier,1001894768,,,,,Concrete,20161020,Surrey,,,In Service,,,
4089,Digitized Via 2015 Air Photo,,,20151119,2,Rollover,1001847299,,,,,Concrete,20151223,Surrey,,,In Service,,,
4090,Digitized Via 2016 Air Photo,,,20161021,1,Extruded,1001894900,,,,,Asphalt,20161021,Surrey,,,In Service,,,
4091,,,,20160907,0,Barrier,1001891133,Initial AB,,,,Concrete,20180619,Surrey,,3814-6060-00,In Service,,2015,
4092,Digitized Via 2012 Air Photo,,,20121204,0,Barrier,1001560620,,,,,Concrete,20130808,Surrey,,,In Service,,,
4093,,,,20120224,3,Pavement Edge,1001404216,Final AB,,,,Asphalt,20130808,Surrey,,7809-0124-00,In Service,,2012,
4094,,,,20120224,0,Barrier,1001404213,Final AB,,,,Concrete,20130808,Surrey,,7809-0124-00,In Service,,2012,
4095,Digitized Via 2014 Air Photo,,,20150619,3,Pavement Edge,1001828435,,1001828431,0,,Asphalt,20150619,Surrey,,,In Service,,,0
4096,,,,20110610,0,Barrier,1001200656,Final AB,,,,Concrete,20111212,Surrey,,7806-0035-00,In Service,,2010,
4097,,,,20170123,0,Barrier,1001903428,,,,,Concrete,,Surrey,,,In Service,,,
4098,,,,20120503,0,Barrier,1001411454,,,,,Concrete,20120503,Surrey,,,In Service,,,
4099,,,,20120412,3,Pavement Edge,1001407964,,,,,Asphalt,20150626,Surrey,,,In Service,,,
4100,Digitized Via 2013 Air Photo,,,20140704,3,Pavement Edge,1001755436,,,,,Asphalt,20170802,Surrey,,,In Service,,,
4101,,,,20180329,2,Rollover,1001993402,EC,,,,Concrete,20180329,Surrey,,1716-6670-00,Proposed,,,
4102,,,,20140303,0,Barrier,1001567429,Final AB,,,,Concrete,20140303,Surrey,,7811-0297-00,In Service,,2013,
4103,Digitized Via 2015 Air Photo,,,20160211,2,Rollover,1001858407,,,,,Concrete,20170803,Surrey,,,In Service,,,
4104,,,,20170626,2,Rollover,1001937471,EC,,,,Concrete,20170705,Surrey,,7813-0210-00,Proposed,,,
4105,,,,20170626,3,Pavement Edge,1001937476,EC,,,,Asphalt,20170626,Surrey,,7813-0210-00,Proposed,,,
4106,,,,20100830,0,Barrier,1001171373,Final AB,,,,Concrete,20100830,Surrey,,1707-7070-00,In Service,,2009,
4107,,,,20111013,2,Rollover,1001215721,Final AB,,,,Concrete,20131211,Surrey,,1707-3030-00,In Service,,2009,
4108,Digitized Via 2016 Air Photo,,,20161021,2,Rollover,1001894897,,,,,Concrete,20161021,Surrey,,,In Service,,,
4109,Digitized Via 2016 Air Photo,,,20161021,1,Extruded,1001894901,,,,,Asphalt,20161021,Surrey,,,In Service,,,
4110,Digitized Via 2012 Air Photo,,,20121204,3,Pavement Edge,1001560630,,,,,Asphalt,20130808,Surrey,,,In Service,,,
4111,,,,20130514,0,Barrier,1001595138,Final AB,,,,Concrete,20131009,Surrey,,7810-0172-00,In Service,,2013,
4112,,,,20160128,1,Extruded,1001856278,Final AB,,,,Concrete,20160128,Surrey,,1713-3180-00,In Service,,2015,
4113,,,,20160927,3,Pavement Edge,1001893125,,,,,Asphalt,,Surrey,,,In Service,,,
4114,,,,20150629,3,Pavement Edge,1001829661,,,,,Asphalt,,Surrey,,,In Service,,,
4115,,,,20160927,3,Pavement Edge,1001893096,,,,,Asphalt,20160927,Surrey,,,In Service,,,
4116,,,,20140319,0,Barrier,1001221775,Final AB,,,,Concrete,20140319,Surrey,,7809-0261-00,In Service,,2014,
4117,,,,20120413,0,Barrier,1001211429,Final AB,,,,Concrete,20130808,Surrey,,7806-0400-00,In Service,,2012,
4118,,,,20130703,0,Barrier,1001165638,Final AB,,,,Concrete,20130808,Surrey,,7809-0044-00,In Service,,2013,
4119,,,,20100512,3,Pavement Edge,1001159350,Final AB,,,,Asphalt,20151130,Surrey,,7803-0187-00,In Service,,2008,
4120,,,,20170803,2,Rollover,1001942549,,,,,Concrete,,Surrey,,,In Service,,,
4121,Digitized Via 2014 Air Photo,,,20160205,0,Barrier,1001857679,,1001828628,0,,Concrete,20150622,Surrey,,,In Service,,,0
4122,,,,20100203,0,Barrier,1001148837,Final AB,,,,Concrete,20130920,Surrey,,7808-0255-00,In Service,,2009,
4123,,,,20110725,0,Barrier,1001204940,Final AB,,,,Concrete,20110725,Surrey,,1704-3030-00,In Service,,2007,
4124,,,,20161216,1,Extruded,1001900078,Final AB,,,,Concrete,20171023,Surrey,,7808-0308-00,In Service,,,
4125,,,,20150629,3,Pavement Edge,1001829662,,,,,Asphalt,,Surrey,,,In Service,,,
4126,,,,20161205,0,Barrier,1001899087,Initial AB,,,,Concrete,20161206,Surrey,,7807-0101-00,In Service,,2016,
4127,,,,20100310,1,Extruded,1001152416,Final AB,,,,Asphalt,20150605,Surrey,,MOTH 71101-1004,In Service,,2009,
4128,,,,20121126,3,Pavement Edge,1001560055,Final AB,,,,Asphalt,20130808,Surrey,,7803-0477-00,In Service,,2012,
4129,Digitized Via 2015 Air Photo,,,20160205,2,Rollover,1001857695,,1001857694,0,,Concrete,20160205,Surrey,,,In Service,,,0
4130,,,,20100512,0,Barrier,1001159367,Final AB,,,,Concrete,20100512,Surrey,,7803-0187-00,In Service,,2008,
4131,,,,20100512,0,Barrier,1001159362,Final AB,,,,Concrete,20100512,Surrey,,7803-0187-00,In Service,,2008,
4132,,,,20140212,0,Barrier,1001729097,,,,,Concrete,,Surrey,,,In Service,,,
4133,Digitized Via 2014 Air Photo,,,20150622,0,Barrier,1001828628,,,,,Concrete,20160205,Surrey,,,In Service,,,
4134,,,,20110726,0,Barrier,1001205034,Final AB,,,,Concrete,20110726,Surrey,,1704-7000-00,In Service,,2007,
4135,,,,20111013,3,Pavement Edge,1001215670,,,,,Asphalt,20111013,Surrey,,,In Service,,,
4136,,,,20111012,1,Extruded,1001215535,Final AB,,,,Asphalt,20111012,Surrey,,1707-3030-00,In Service,,2009,
4137,,,,20171116,1,Extruded,1001955321,EC,,,,Asphalt,20171116,Surrey,,7815-0441-00,Proposed,,,
4138,Digitized Via 2014 Air Photo,,,20150619,3,Pavement Edge,1001828447,,,,,Asphalt,20150619,Surrey,,,In Service,,,
4139,,,,20160927,3,Pavement Edge,1001893107,,,,,Asphalt,,Surrey,,,In Service,,,
4140,,,,20170802,1,Extruded,1001942397,,,,,Asphalt,20170802,Surrey,,,In Service,,,
4141,,,,20170802,1,Extruded,1001942422,Initial AB,,,,Asphalt,20170802,Surrey,,1715-2090-00,In Service,,2016,
4142,,,,20170802,3,Pavement Edge,1001942425,,,,,Asphalt,,Surrey,,,In Service,,,
4143,,,,20170802,1,Extruded,1001942405,,,,,Asphalt,20170802,Surrey,,,In Service,,,
4144,,,,20131101,3,Pavement Edge,1001717458,Final AB,,,,Gravel,20131101,Surrey,,4810-3020-00,In Service,,2013,
4145,,,,20170531,3,Pavement Edge,1001933267,Final AB,,,,Asphalt,20170531,Surrey,,7814-0364-00,In Service,,2016,
4146,,,,20120502,0,Barrier,1001411293,Final AB,1001205404,,,Concrete,20130808,Surrey,,7808-0050-00,In Service,,2011,
4147,Digitized Via 2015 Air Photo,,,20160613,3,Pavement Edge,1001880445,,,,,Asphalt,20160613,Surrey,,,In Service,,,
4148,Digitized Via 2012 Air Photo,,,20121126,2,Rollover,1001560049,,,,,Concrete,20140106,Surrey,,,In Service,,,
4149,Digitized Via 2012 Air Photo,,,20121126,0,Barrier,1001560047,,,,,Concrete,20160613,Surrey,,7803-0477-00,In Service,,2012,
4150,Digitized Via 2015 Air Photo,,,20160204,2,Rollover,1001857592,,,,,Concrete,20160204,Surrey,,,In Service,,,
4151,,,,20140211,0,Barrier,1001728858,,,,,Concrete,,Surrey,,,In Service,,,
4152,,,,20140211,2,Rollover,1001728935,Final AB,,,,Concrete,20140211,Surrey,,1708-6030-00,In Service,,2013,
4153,,,,20180416,2,Rollover,1001995648,,1001995647,0,,Concrete,20180416,Surrey,,,In Service,,,0
4154,,,,20110725,0,Barrier,1001204949,Final AB,,,,Concrete,20110725,Surrey,,1704-3030-00,In Service,,2007,
4155,,,,20110726,0,Barrier,1001205062,Final AB,,,,Concrete,20110726,Surrey,,3804-5500-01,In Service,,2007,
4156,Digitized Via 2012 Air Photo,,,20121206,0,Barrier,1001560885,,,,,Concrete,20130808,Surrey,,,In Service,,,
4157,Digitized Via 2013 Air Photo,,,20131204,3,Pavement Edge,1001720744,,1001720742,,,Asphalt,20131204,Surrey,,,In Service,,,
4158,,,,20121206,0,Barrier,1001211623,Final AB,,,,Concrete,20130808,Surrey,,3811-6080-00,In Service,,2012,
4159,,,,20150629,2,Rollover,1001829774,,,,,Concrete,20150629,Surrey,,,In Service,,,
4160,,,,20111012,3,Pavement Edge,1001215583,Final AB,,,,Asphalt,20111012,Surrey,,1707-3030-00,In Service,,2009,
4161,,,,20160215,1,Extruded,1001859380,,,,,Asphalt,20160215,Surrey,,,In Service,,,
4162,,,,20160215,3,Pavement Edge,1001859383,Final AB,,,,Asphalt,20160215,Provincial,,SFPR Seg. F1,In Service,,2013,
4163,,,,20160215,0,Barrier,1001859381,,,,,Concrete,20160215,Surrey,,,In Service,,,
4164,,,,20120412,3,Pavement Edge,1001407947,,,,,Asphalt,20150626,Surrey,,,In Service,,,
4165,,,,20180419,0,Barrier,1001996291,EC,,,,Concrete,20180419,Surrey,,7812-0180-00,Proposed,,,
4166,Digitized Via 2015 Air Photo,,,20160127,0,Barrier,1001856118,,,,,Concrete,20160127,Surrey,,,In Service,,,
4167,,,,20180416,0,Barrier,1001995651,,,,,Concrete,20180416,Surrey,,,In Service,,,
4168,,,,20160111,3,Pavement Edge,1001853163,,,,,Asphalt,20160111,Surrey,,,In Service,,,
4169,,,,20160111,3,Pavement Edge,1001853162,Final AB,,,,Asphalt,20160111,Surrey,,1711-3040-00,In Service,,2012,
4170,,,,20110725,0,Barrier,1001204955,Final AB,,,,Concrete,20110725,Surrey,,1704-3030-00,In Service,,2007,
4171,,,,20110725,0,Barrier,1001204961,,1001204960,,,Concrete,20110725,Surrey,,,In Service,,,
4172,,,,20150629,0,Barrier,1001829776,,,,,Concrete,,Surrey,,,In Service,,,
4173,,,,20111013,3,Pavement Edge,1001215642,,,,,Asphalt,20131211,Surrey,,,In Service,,,
4174,,,,20111013,0,Barrier,1001215640,Final AB,,,,Concrete,20131211,Surrey,,1707-3030-00,In Service,,2009,
4175,,,,20160929,1,Extruded,1001893437,EC,,,,Asphalt,20160929,Surrey,,1716-6290-00,Proposed,,,
4176,,,,20100305,3,Pavement Edge,1001151954,Final AB,,,,Asphalt,20140708,Surrey,,7806-0503-00,In Service,,2009,
4177,,,,20171117,0,Barrier,1001955441,Final AB,,,,Concrete,,Surrey,,7812-0192-00,In Service,,2017,
4178,,,,20160929,3,Pavement Edge,1001893395,,,,,Asphalt,,Surrey,,,In Service,,,
4179,,,,20160929,3,Pavement Edge,1001893470,,,,,Asphalt,,Surrey,,,In Service,,,
4180,,,,20161005,1,Extruded,1001893881,,,,,Asphalt,20161005,Surrey,,,In Service,,,
4181,,,,20120516,3,Pavement Edge,1001413042,,,,,Asphalt,20160928,Surrey,,,In Service,,,
4182,,,,20120503,3,Pavement Edge,1001411530,,1001411499,,,Asphalt,20120503,Surrey,,,In Service,,,
4183,,,,20160114,3,Pavement Edge,1001853814,Final AB,1001830243,0,,Asphalt,20160114,Provincial,,SFPR Seg. 6,In Service,,2014,0
4184,,,,20120725,2,Rollover,1001419312,,,,,Concrete,20130320,Surrey,,,In Service,,,
4185,,,,20180123,2,Rollover,1001928688,Final AB,,,,Concrete,20180123,Surrey,,7815-0360-00,In Service,,2017,
4186,,,,20160202,3,Pavement Edge,1001857059,,,,,Asphalt,,Surrey,,,In Service,,,
4187,,,,20160201,0,Barrier,1001796282,Final AB,,,,Concrete,20160201,Surrey,,3813-4140-00,In Service,,2015,
4188,Digitized Via 2015 Air Photo,,,20160128,2,Rollover,1001856130,,1001856129,0,,Concrete,20160128,Surrey,,,In Service,,,0
4189,,,,20160128,2,Rollover,1001856147,Initial AB,1001856135,0,,Concrete,20160128,Surrey,,7812-0134-00,In Service,,2015,0
4190,Digitized Via 2015 Air Photo,,,20160128,2,Rollover,1001856135,,1001856134,0,,Concrete,20160128,Surrey,,,In Service,,,0
4191,,,,20150622,0,Barrier,1001828657,,,,,,20150622,Surrey,,,,,,
4192,Parks Responsibility,,,20180327,3,Pavement Edge,1001993069,Initial AB,1001993065,0,Newton Athletic Park,Concrete,20180327,Surrey,,,In Service,,,0
4193,Parks Responsibilty,,,20180327,0,Barrier,1001993073,Final AB,1001993072,0,Newton Athletic Park,Concrete,20180327,Surrey,,,In Service,,,0
4194,Parks Responsibility,,,20180326,0,Barrier,1001992792,Final AB,,,Newton Athletic Park,Concrete,20180327,Surrey,,,In Service,,,
4195,Digitized Via 2014 Air Photo,,,20150609,0,Barrier,1001827505,,,,,Concrete,20150609,Surrey,,,In Service,,,
4196,Digitized Via  2014 Airphoto,,,20150618,3,Pavement Edge,1001828222,,,,,Concrete,20150619,Surrey,,,In Service,,,
4197,Digitized Via  2014 Airphoto,,,20150618,0,Barrier,1001828195,,,,,Concrete,20150619,Surrey,,,In Service,,,
4198,,,,20171117,1,Extruded,1001844341,Final AB,,,,Asphalt,20171117,Surrey,,7812-0192-00,In Service,,2017,
4199,,,,20140711,3,Pavement Edge,1001755950,Initial AB,1001755949,0,,Asphalt,20140711,Surrey,,7807-0167-00,In Service,,2014,0
4200,,,,20150603,0,Barrier,1001826668,,1001826665,0,,Concrete,20150603,Surrey,,,In Service,,,0
4201,,,,20121114,0,Barrier,1001559425,Final AB,,,,Concrete,20160929,Surrey,,7804-0284-00,In Service,,2012,
4202,,,,20120503,3,Pavement Edge,1001411505,,,,,Asphalt,20120504,Surrey,,,In Service,,,
4203,,,,20160111,1,Extruded,1001852995,Final AB,1001852988,0,,Concrete,20160111,Surrey,,3811-6350-00,In Service,,2012,0
4204,,,,20160111,3,Pavement Edge,1001853030,Final AB,1001853027,0,,Asphalt,20160111,Surrey,,3811-6350-00,In Service,,2012,0
4205,,,,20160111,1,Extruded,1001853035,Final AB,1001853028,0,,Concrete,20160111,Surrey,,3811-6350-00,In Service,,2012,0
4206,,,,20160111,3,Pavement Edge,1001853032,Final AB,1001853031,0,,Asphalt,20160111,Surrey,,3811-6350-00,In Service,,2012,0
4207,Digitized Via 2016 Air Photo,,,20161028,3,Pavement Edge,1001895590,,,,,Asphalt,20161028,Surrey,,,In Service,,,
4208,,,,20160405,0,Barrier,1001803368,Final AB,,,,Concrete,20160726,Surrey,,7814-0091-00,In Service,,2015,
4209,Digitized Via  2015 Air Photo,,,20151126,2,Rollover,1001848509,,,,,,20160129,Surrey,,,In Service,,,
4210,,,,20120726,0,Barrier,1001419353,Final AB,,,,Concrete,20140409,Surrey,,1708-3040-00,In Service,,2012,
4211,,,,20120725,0,Barrier,1001419165,,,,,Concrete,20120726,Surrey,,,In Service,,,
4212,,,,20180810,2,Rollover,1002127263,EC,,,,Concrete,20180810,Surrey,,7817-0117-00,Proposed,,,
4213,Digitized Via 2015 Air Photo,,,20160511,2,Rollover,1001876519,,,,,Concrete,20160511,Surrey,,,In Service,,,
4214,,,,20120725,1,Extruded,1001419124,,,,,Concrete,20120725,Surrey,,,In Service,,,
4215,,,,20140526,1,Extruded,1001750560,Final AB,1001595107,0,,Asphalt,20140526,Surrey,,7811-0304-00,In Service,,2014,0
4216,,,,20140721,3,Pavement Edge,1001756849,,,,,Asphalt,,Surrey,,,In Service,,,
4217,,,,20110217,1,Extruded,1001189559,Final AB,,,,Asphalt,20110217,Provincial,,MOTH 71101-1004,In Service,,2009,
4218,,,,20110217,2,Rollover,1001189565,Final AB,,,,Concrete,20110217,Provincial,,MOTH 71101-1004,In Service,,2009,
4219,,,,20100311,0,Barrier,1001152476,Final AB,,,,Concrete,20141106,Surrey,,1703-2000-00,In Service,,2006,
4220,,,,20100311,3,Pavement Edge,1001152482,Final AB,,,,Asphalt,20100311,Surrey,,,In Service,,,
4221,,,,20110525,2,Rollover,1001198776,,,,,Concrete,20110525,Surrey,,,In Service,,,
4222,,,,20100311,0,Barrier,1001152493,Final AB,,,,Concrete,20100311,Surrey,,1703-2000-00,In Service,,2006,
4223,,,,20180307,2,Rollover,1001988776,,,,,Concrete,20180307,Surrey,,7816-0369-00,Proposed,,,
4224,,,,20180307,0,Barrier,1001988782,EC,,,,Concrete,20180307,Surrey,,7816-0369-00,Proposed,,,
4225,Digitized Via 2014 Air Photo,,,20140822,2,Rollover,1001776963,,,,,Concrete,20140822,Surrey,,,In Service,,,
4226,,,,20140820,2,Rollover,1001699274,Final AB,,,,Concrete,20140820,Surrey,,7811-0166-00,In Service,,2014,
4227,,,,20100311,0,Barrier,1001152492,Final AB,,,,Concrete,20100311,Surrey,,1703-2000-00,In Service,,2006,
4228,,,,20180727,0,Barrier,1002120128,EC,,,,Concrete,,Surrey,,1716-3090-00,Proposed,,,
4229,Digitized Via 2015 Air Photo,,,20161124,2,Rollover,1001897851,,,,,Concrete,20180727,Surrey,,,In Service,,,
4230,,,,20180727,0,Barrier,1002120272,EC,,,,Concrete,,Surrey,,1716-3090-00,Proposed,,,
4231,,,,20150525,2,Rollover,1001825763,,,,,Concrete,20150525,Surrey,,,In Service,,,
4232,,,,20150224,0,Barrier,1001809542,,,,,Concrete,,Surrey,,,In Service,,,
4233,,,,20150224,0,Barrier,1001809572,Final AB,,,,Concrete,20150224,Surrey,,3814-4010-00,In Service,,2014,
4234,Digitized Via  2014 Airphoto,,,20150609,0,Barrier,1001827477,Initial AB,,,,Concrete,20150619,Surrey,,,In Service,,,
4235,,,,20150623,0,Barrier,1001828938,,,,,,,Surrey,,,,,,
4236,Digitized Via  2014 Airphoto,,,20150609,0,Barrier,1001827480,Initial AB,,,,Concrete,20180327,Surrey,,,In Service,,,
4237,Digitized Via  2014 Airphoto,,,20150609,0,Barrier,1001827478,Initial AB,,,,Concrete,20180327,Surrey,,,In Service,,,
4238,,,,20130731,2,Rollover,1001607696,Final AB,,,,,20130808,Surrey,,7802-0377-00,In Service,,2013,
4239,,,,20120726,0,Barrier,1001419393,Final AB,,,,Concrete,20140410,Surrey,,3809-4110-00,In Service,,2012,
4240,Digitized Via 2015 Air Photo,,,20160308,0,Barrier,1001863816,,,,,Concrete,20160308,Surrey,,,In Service,,,
4241,Digitized Via 2015 Air Photo,,,20160308,2,Rollover,1001863806,,1001863805,0,,Concrete,20160308,Surrey,,,In Service,,,0
4242,,,,20160111,2,Rollover,1001853053,Final AB,1001853051,0,,Concrete,20160111,Surrey,,3810-4070-00,In Service,,2012,0
4243,,,,20150604,0,Barrier,1001826748,Final AB,,,,Concrete,20150604,Surrey,,1708-3110-00,In Service,,2008,
