,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,CURB_TYPE,CURB_TYPE2,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROFILE,PROJECT_NO,STATUS,WARRANTYDATE,YR,YTD_COST
8546,Digitized Via 2013 Air Photo,,,20140401,0,Barrier,1001738836,,1001738818,0,,Concrete,20140401,Surrey,,,In Service,,,0
8547,,,,20170117,0,Barrier,1001902530,,,,,Concrete,,Surrey,,,In Service,,,
8548,,,,20150828,1,Extruded,1001836148,Final AB,,,,Concrete,20150828,Surrey,,3811-6330-00,In Service,,2015,
8549,Digitized Via 2013 Air Photo,,,20130812,2,Rollover,1001608551,,,,,Concrete,20131004,Surrey,,,In Service,,,
8550,,,,20140904,2,Rollover,1001779239,Final AB,,,,Concrete,20150722,Surrey,,7812-0324-00,In Service,,2015,
8551,,,,20140904,0,Barrier,1001779237,Final AB,,,,Concrete,20150722,Surrey,,7812-0324-00,In Service,,2015,
8552,,,,20180329,3,Pavement Edge,1001993416,,1001829805,0,,Asphalt,20180329,Surrey,,,In Service,,,0
8553,,,,20131002,1,Extruded,1001712903,Final AB,1001415508,,,Concrete,20130910,Surrey,,7806-0294-00,In Service,,2013,
8554,Digitized Via 2013 Air Photo,,,20130904,3,Pavement Edge,1001700974,,,,,Asphalt,20131004,Surrey,,,In Service,,,
8555,,,,20130910,2,Rollover,1001706458,Final AB,,,,Concrete,20130911,Surrey,,7806-0294-00,In Service,,2012,
8556,,,,20101124,3,Pavement Edge,1001183101,Final AB,,,,Asphalt,20120320,Surrey,,1705-3220-00,In Service,,2011,
8557,,,,20101124,3,Pavement Edge,1001183100,Final AB,,,,Asphalt,20120320,Surrey,,1705-3220-00,In Service,,2011,
8558,,,,20150715,3,Pavement Edge,1001830891,,,,,Asphalt,,Surrey,,,In Service,,,
8559,,,,20131210,0,Barrier,1001721370,Initial AB,,,,Concrete,20150805,Surrey,,7812-0125-00,In Service,,2015,
8560,,,,20131210,0,Barrier,1001721364,Initial AB,,,,Concrete,20150805,Surrey,,7812-0125-00,In Service,,2015,
8561,Digitized Via 2013 Air Photo,,,20140320,0,Barrier,1001735927,,,,,Concrete,20140320,Surrey,,,In Service,,,
8562,Digitized Via 2013 Air Photo,,,20140320,3,Pavement Edge,1001735926,,,,,Asphalt,20140320,Surrey,,,In Service,,,
8563,,,,20180326,0,Barrier,1001887478,Final AB,,,,Concrete,20180326,Surrey,,7807-0152-00,In Service,,2017,
8564,,,,20140328,2,Rollover,1001737855,Final AB,,,,Concrete,20140328,Surrey,,7805-0395-00,In Service,,2010,
8565,Digitized Via 2013 Air Photo,,,20140401,3,Pavement Edge,1001738640,,,,,Gravel,20140401,Surrey,,,In Service,,,
8566,Digitized Via 2013 Air Photo,,,20140401,3,Pavement Edge,1001738639,,1001738634,0,,Asphalt,20140401,Surrey,,,In Service,,,0
8567,Digitized Via 2013 Air Photo,,,20140401,0,Barrier,1001738839,,,,,Concrete,20140401,Surrey,,,In Service,,,
8568,,,,20170117,0,Barrier,1001902536,,,,,Concrete,,Surrey,,,In Service,,,
8569,,,,20150924,2,Rollover,1001840246,Final AB,,,,Concrete,20150924,Surrey,,3811-6450-00,In Service,,2015,
8570,,,,20150924,2,Rollover,1001840245,Final AB,,,,Concrete,20150924,Surrey,,3811-6450-00,In Service,,2015,
8571,,,,20150924,2,Rollover,1001840243,Final AB,,,,Concrete,20150924,Surrey,,3811-6450-00,In Service,,2015,
8572,,,,20150924,2,Rollover,1001840241,Final AB,,,,Concrete,20150924,Surrey,,3811-6450-00,In Service,,2015,
8573,Digitized Via 2015 Air Photo,,,20160720,2,Rollover,1001884052,,,,,Concrete,20160720,Surrey,,,In Service,,,
8574,,,,20180725,0,Barrier,1002118622,,,,South Surrey Athletic Park,Concrete,20180726,Surrey,,,In Service,,,
8575,,,,20180724,0,Barrier,1002118330,,,,South Surrey Park - Parking Lot,Concrete,20180724,Surrey,,,In Service,,,
8576,,,,20180724,0,Barrier,1002118335,,,,South Surrey Park - Parking Lot,Concrete,20180724,Surrey,,,In Service,,,
8577,,,,20180725,0,Barrier,1002119064,,,,South Surrey Athletic Park,Concrete,20180725,Surrey,,,In Service,,,
8578,Digitized Via 2014 Air Photo,,,20150721,2,Rollover,1001831698,,,,,Concrete,,Surrey,,,In Service,,,
8579,,,,20170525,0,Barrier,1001932485,Initial AB,,,,Concrete,20170525,Surrey,,1714-3080-00,In Service,,2016,
8580,,,,20170525,0,Barrier,1001932476,,,,,Concrete,,Surrey,,,In Service,,,
8581,,,,20170801,3,Pavement Edge,1001942343,,,,,Asphalt,,Surrey,,,In Service,,,
8582,Digitized via 2015 image,,,20151005,1,Extruded,1001841176,,,,,Asphalt,20151005,Surrey,,,In Service,,,
8583,Digitized Via 2013 Air Photo,,,20130719,3,Pavement Edge,1001606819,,,,,Asphalt,20130808,Surrey,,,In Service,,,
8584,Digitized Via 2013 Air Photo,,,20140203,0,Barrier,1001727387,,,,,Concrete,20140321,Surrey,,,In Service,,,
8585,Digitized Via 2013 Air Photo,,,20140321,0,Barrier,1001736306,Final AB,,,,Concrete,20180704,Surrey,,7804-0094-00,In Service,,2005,
8586,,,,20140203,0,Barrier,1001727402,Final AB,1001727401,,,Concrete,20140203,Surrey,,1705-7120-00,In Service,,2007,
8587,,,,20140203,0,Barrier,1001727407,Final AB,1001727406,,,Concrete,20180315,Surrey,,1705-7120-00,In Service,,2007,
8588,Digitized Via 2013 Air Photo,,,20140320,0,Barrier,1001735954,,,,,Concrete,20140320,Surrey,,,In Service,,,
8589,Digitized Via 2013 Air Photo,,,20140320,2,Rollover,1001735904,,,,,Concrete,20140320,Surrey,,,In Service,,,
8590,,,,20100215,0,Barrier,1001149613,Final AB,,,,Concrete,20130930,Surrey,,7806-0013-00,In Service,,2009,
8591,,,,20170711,0,Barrier,1001940048,Final AB,,,,Concrete,20170711,Surrey,,1715-7150-00,In Service,,2016,
8592,Digitized Via 2011 Air Photo ,,,20170118,0,Barrier,1001902824,,1001416066,0,,Concrete,20170118,Surrey,,,In Service,,,0
8593,,,,20170118,3,Pavement Edge,1001902820,,,,,Asphalt,,Surrey,,,In Service,,,
8594,,,,20170118,1,Extruded,1001902817,,,,,Concrete,20170118,Surrey,,,In Service,,,
8595,Digitized Via 2013 Air Photo,,,20140331,2,Rollover,1001738353,,1001738349,0,,Concrete,20140331,Surrey,,,In Service,,,0
8596,Digitized Via 2013 Air Photo,,,20140331,2,Rollover,1001738371,,,,,Concrete,20140331,Surrey,,,In Service,,,
8597,,,,20101122,2,Rollover,1001182609,Final AB,1001182608,,,Concrete,20101130,Surrey,,7806-0432-00,In Service,,2010,
8598,,,,20160125,3,Pavement Edge,1001855545,,1001829807,0,,Asphalt,20160121,Surrey,,,In Service,,,0
8599,,,,20150630,3,Pavement Edge,1001829807,,,,,Asphalt,20160125,Surrey,,,In Service,,,
8600,,,,20160121,3,Pavement Edge,1001855108,Final AB,,,,Asphalt,20160121,Provincial,,SFPR Seg. 7,In Service,,2014,
8601,,,,20160121,3,Pavement Edge,1001855324,Final AB,,,,Gravel,20160121,Provincial,,SFPR Seg. 7,In Service,,2014,
8602,,,,20180719,0,Barrier,1002114899,Initial AB,,,,Concrete,20180719,Surrey,,3816-6300-00,In Service,,2018,
8603,,,,20180614,0,Barrier,1002068663,Initial AB,,,South Surrey Athletic Park,Concrete,20180614,Surrey,,,In Service,,,
8604,,,,20180725,1,Extruded,1002119062,,,,South Surrey Athletic Park - Parking lot,Asphalt,20180725,Surrey,,,In Service,,,
8605,,,,20180725,3,Pavement Edge,1002119053,Final AB,,,South Surrey Athletic Park - Parking lot,Asphalt,20180725,Surrey,,,In Service,,,
8606,Digitized via 2014 image,,,20150721,3,Pavement Edge,1001831687,,,,,,,Surrey,,,In Service,,,
8607,,,,20130815,0,Barrier,1001608980,Final AB,,,,Concrete,20130822,Surrey,,7809-0236-00,In Service,,2013,
8608,Digitized Via 2013 Air Photo,,,20140324,0,Barrier,1001736632,,1001736622,0,,Concrete,20140325,Surrey,,,In Service,,,0
8609,,,,20140203,0,Barrier,1001727404,,1001727403,,,Concrete,20140203,Surrey,,,In Service,,,
8610,,,,20120720,2,Rollover,1001360501,Final AB,,,,Concrete,20130808,Surrey,,7810-0156-00,In Service,,2012,
8611,,,,20140717,1,Extruded,1001756519,EC,,,,Asphalt,20140717,Surrey,,7813-0076-00,Proposed,,2014,
8612,Digitized Via 2013 Air Photo,,,20140320,3,Pavement Edge,1001736074,,,,,Asphalt,20140320,Surrey,,,In Service,,,
8613,,,,20110602,0,Barrier,1001199508,,,,,Concrete,20110602,Surrey,,,In Service,,,
8614,,,,20121128,0,Barrier,1001560363,EC,,,,Concrete,20130808,Surrey,,7810-0120-00,Proposed,,,
8615,,,,20121128,0,Barrier,1001560362,EC,,,,Concrete,20180319,Surrey,,7810-0120-00,Proposed,,,
8616,,,,20170118,1,Extruded,1001902818,Final AB,1001137171,0,,Concrete,20170118,Surrey,,1704-3380-00,In Service,,2009,0
8617,Digitized Via 2011 Air Photo,,,20120705,2,Rollover,1001417510,,,,,Concrete,20130808,Surrey,,,In Service,,,
8618,,,,20150521,2,Rollover,1001823436,,,,,Concrete,,Surrey,,,In Service,,,
8619,Digitized Via 2013 Air Photo,,,20140331,2,Rollover,1001738356,,1001738289,0,,Concrete,20140331,Surrey,,,In Service,,,0
8620,,,,20100217,3,Pavement Edge,1001150042,Final AB,,,,,20100217,Surrey,,1706-3090-00,In Service,,2009,
8621,,,,20100217,3,Pavement Edge,1001150041,Final AB,,,,Asphalt,20100217,Surrey,,1706-3090-00,In Service,,2009,
8622,,,,20101104,0,Barrier,1001180301,Final AB,1001142034,,,Concrete,20101104,Surrey,,3808-6110-00,In Service,,2009,
8623,,,,20170210,0,Barrier,1001906084,Initial AB,,,,Concrete,20170210,Surrey,,7814-0284-00,In Service,,2016,
8624,,,,20110117,2,Rollover,1001187068,Final AB,,,,Concrete,20110117,Surrey,,7807-0073-00,In Service,,2010,
8625,,,,20140320,0,Barrier,1001736114,Final AB,,,,Concrete,20170525,Surrey,,1711-3080-00,In Service,,2012,
8626,Digitized Via 2013 Air Photo,,,20130905,0,Barrier,1001701202,,1001701120,,,Concrete,20130905,Surrey,,,In Service,,,
8627,,,,20140321,1,Extruded,1001736362,,,,,,20140321,Surrey,,,,,,
8628,Digitized Via 2013 Air Photo,,,20140321,2,Rollover,1001736415,,1001736378,0,,Concrete,20140321,Surrey,,,In Service,,,0
