,SIGN_TYPE,SIGN_TYPE2,FACILITYID,DESCRIPTION,LEGACYID,SIGN_MESSAGE,SIGN_POST_TYPE,PARK_ENTRANCE,SIGN_SIZE,ROAD_NAME,ADDRESS,SIGN_INVENTORY_NO,PLATE_NO,ROAD_TYPE,DIRECTION_FACING,SIDE_OF_ROAD,PLATE_TYPE_CODE,POST_TYPE_CODE,INSTALLED_BY,DATE_INSTALLED,TAB1_CODE,TAB2_CODE,WORK_ORDER,PLATE_DESCRIPTION,POST_TYPE_DESCRIPTION,TAB1_DESCRIPTION,TAB2_DESCRIPTION,PASS_REFLECTIVITY,DISPLACEMENT_ROADCODE,DISPLACEMENT_DISTANCE,DISPLACEMENT_DIRECTION,DISPLACEMENT_ADDRESS,PSEUDO_ADDRESS,ADDRESS_OVERRIDE,DATE_TESTED,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS_PARKS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_COST,YRS_LIFE_EXPECTANCY,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,PARK_LEGACY_ID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,STRUCTURES_INSPECTION_ROUTE,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
796,0,,1001154816,,,,,,,,,,,,,,RA1,,,,,,,,,,,,,,,,,,,In Service,1709-2020-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100407,20100407,49.100416,-122.712883
797,0,,1001154817,,,,,,,,,,,,,,RA1,,,,,,,,,,,,,,,,,,,In Service,1709-2020-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100407,20100407,49.100564,-122.712597
798,0,,1001154818,,,,,,,,,,,,,,WA1022,,,,,,,,,,,,,,,,,,,In Service,1709-2020-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100407,20100407,49.100531,-122.712868
799,0,,1001154819,,,,,,,,,,,,,,WC807,,,,,,,,,,,,,,,,,,,In Service,1709-2020-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100407,20100407,49.100119,-122.712811
800,0,,1001154821,,,,,,,,,,,,,,RA1,,,,,,,,,,,,,,,,,,,In Service,1709-2020-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100407,20100407,49.099142,-122.712622
801,0,,1001154822,,,,,,,,,,,,,,WC18,,,,,,,,,,,,,,,,,,,In Service,1709-2020-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100407,20100407,49.097604,-122.712883
802,0,,1001154825,,,,,,,,,,,,,,RB1*30,,,,,,,,,,,,,,,,,,,In Service,1709-2020-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100407,20100407,49.097389,-122.712884
803,0,,1001154826,,,,,,,,,,,,,,WA22,,,,,,,,,,,,,,,,,,,In Service,1709-2020-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100407,20100407,49.095980,-122.712769
804,0,,1001154824,,,,,,,,,,,,,,WA22,,,,,,,,,,,,,,,,,,,In Service,1709-2020-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100407,20100407,49.097389,-122.712884
805,0,,1001154827,,,,,,,,,,,,,,RB1*30,,,,,,,,,,,,,,,,,,,In Service,1709-2020-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100407,20100407,49.095980,-122.712769
