,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
1366,PTN LT 2 PL BCP4864,BCP4866,7800-0164-00,3rd Party Agreement,E102-0005,Municipal Right of Way,Registered,3,2003
1367,"PTN LTS 17,18,23 & 24 PL LMP43364",LMP43365,7891-0324,3rd Party Agreement,E082-0001,Municipal Right of Way,Registered,4,1999
1368,PTN LTS 14 & 26 PL LMP43364,LMP43365,7891-0324,3rd Party Agreement,E082-0001,Municipal Right of Way,Registered,0,1999
1369,PTN LTS 2 - 9 PL 3035,BCP3036,7801-0056,3rd Party Agreement,E072-0019,Municipal Right of Way,Registered,VAR,2002
1370,PTN LT 3 PL LMP40969,LMP40970,7893-0479,3rd Party Agreement,E072-0009,Municipal Right of Way,Partial Release,0,1999
1371,PTN L 3 & 4 SEC 8 TP 2 PLLMP26041,LMP26042,91-0492,3rd Party Agreement,E071-0030,Municipal Right of Way,Registered,3.00,1996
1372,PTN LTS 10 & 14-16 PL LMP14669,LMP14670,7887-5530,3rd Party Agreement,E072-0003,Municipal Right of Way,Registered,0,1994
1373,"PTN LTS 22, 23 PL 52545",LMP52547,7801-0052,3rd Party Agreement,E072-0014,Municipal Right of Way,Registered,5,2002
1374,PTN LT 3 PL 3416,LMP3768,7889-0364,3rd Party Agreement,E072-0016,Municipal Right of Way,Registered,0,1992
1375,"PTN LTS 25,26,28 & 29 PL BCP38886",BCP38889,7806-0042-00,3rd Party Agreement,E062-0061,Municipal Right of Way,Registered,3.0,2008
1376,LT 1 PL 78067(LT A EP88060),,7886-5890,Restrictive Covenant,E052-0013,Municipal Right of Way,Registered,0,1988
1377,PTN LT 1 PL BCP24641 & LT E PL 6210,BCP24642,7805-0042,3rd Party Agreement,E052-0034,Municipal Right of Way,Registered,,2006
1378,"OVER LT 45 PL66311(NW2969,LMS247,LMS305)",,2054-002,Restrictive Covenant,E052-0003,Municipal Right of Way,Registered,0,1983
1379,PTN LTS 1 & 2 PL LMP12016,LMP12017,7892-0199,3rd Party Agreement,E052-0025,Municipal Right of Way,Registered,3,1993
1380,PTN LTS 2 & 3 PL LMP14130,LMP14131,7892-0308,3rd Party Agreement,E052-0027,Municipal Right of Way,Registered,12,1993
1381,PTN LTS 4-9 PL LMP41580,LMP41582,7897-0329,3rd Party Agreement,E032-0035,Municipal Right of Way,Registered,4,1999
1382,PTN LT 10 PL LMP2373,LMP2374,7889-0667,3rd Party Agreement,E032-0022,Municipal Right of Way,Registered,1.8,1991
1383,PTN LTS 1-5 PL LMP2373,LMP2375,7889-0667,Restrictive Covenant,E032-0024,Municipal Right of Way,Registered,7.1,1991
1384,PTN PCL A PL 78416,78417,7887-3840,Restrictive Covenant,E032-0016,Municipal Right of Way,Registered,0,1988
1385,PTNS PLS 55249 & 57352,55251,2054-002,Restrictive Covenant,E022-0001,Municipal Right of Way,Registered,4.572,1978
1386,PTN LT 4 PL 86935,86937,7889-0296,Restrictive Covenant,E022-0018,Municipal Right of Way,Registered,15,1990
1387,PTN LT 1 PL BCP35159,BCP35160,7806-0225-00,3rd Party Agreement,E022-0035,Municipal Right of Way,Registered,VAR,2008
1388,PTN LT A PL LMP20138,LMP20139,5693-0340,Restrictive Covenant,E022-0024,Municipal Right of Way,Registered,0,1994
1389,PTN LT 1 PL 79125,LMP18564,6593-0232,3rd Party Agreement,E022-0026,Municipal Right of Way,Registered,0,1994
1390,PTN LT 1 PL 78255 (LT 2 PL 20477),78256,7887-3830,3rd Party Agreement,E012-0013,Municipal Right of Way,Registered,2,1988
1391,PTN LT 2 PL BCP43499,BCP43501,7809-0022-00,3rd Party Agreement,E022-0036,Municipal Right of Way,Registered,VAR,2010
1392,PTN LT 2 PL LMP18227,LMP18228,7891-0374,3rd Party Agreement,E002-0020,Municipal Right of Way,Registered,3,1994
1393,PTN LT 139 PL 67522,67524,7881-121,3rd Party Agreement,E002-0001,Municipal Right of Way,Registered,0,1984
1394,S 3m LT 3 & E 3m LT 9 PL 72554,72555,7885-5470,3rd Party Agreement,E122-0001,Municipal Right of Way,Registered,3,1986
1395,PTN LT 499 PL 66017,66021,2054-002,3rd Party Agreement,E122-0002,Municipal Right of Way,Registered,3,1983
1396,"PTNS LTS 193,194,201 & 202 PL 58754",58755,2054-002,3rd Party Agreement,E122-0004,Municipal Right of Way,Registered,1,1980
1397,PTN LTS 16 & 17 PL LMP22039,LMP22040,7894-0306,3rd Party Agreement,E122-0025,Municipal Right of Way,Registered,0,1995
1398,PTN LT 38 PL LMP6048,LMP6049,6091-0329,Restrictive Covenant,E122-0020,Municipal Right of Way,Registered,2,1992
1399,PTN LTS 1 & 2 PL BCP14698,BCP14700,7803-0200-00,3rd Party Agreement,E112-0043,Municipal Right of Way,Registered,6.0,2004
1400,PTN LT 1 PL LMP12137,LMP12138,7892-0128,3rd Party Agreement,E112-0014,Municipal Right of Way,Registered,1.8,1993
1401,"PTN LTS 1,3,4 & 5 PL BCP32033",BCP32035,7805-0211-00,3rd Party Agreement,E102-0012,Municipal Right of Way,Registered,VAR,2007
1402,PTN LT A PL EPP26001,EPP27900,7810-0309-00,3rd Party Agreement,E072-0039,Municipal Right of Way,Registered,3.0,2013
1403,"PTN LTS 1,2,5,6 & 7 PL BCP37892",BCP37893,7806-0045-00,3rd Party Agreement,E072-0025,Municipal Right of Way,Registered,3.0,2008
1404,"PTN LTS 2,4,6,7,8,11,12&14 PL BCP12422",BCP12423,7802-0403,3rd Party Agreement,E062-0055,Municipal Right of Way,Registered,0,2004
1405,PTN LT 10 PL 83084,83085,7888-0379,3rd Party Agreement,E062-0044,Municipal Right of Way,Registered,3,1989
1406,"PTN LTS 2, 3 LMP 2404",LMP2405,7890-0019,3rd Party Agreement,E062-0049,Municipal Right of Way,Registered,1.8,1991
1407,PTN LT 4 PL 85894,85895,7887-2820,3rd Party Agreement,E062-0036,Municipal Right of Way,Registered,1.5,1990
1408,PTN LT 4 PL 74904 (PLS 87040 & LMP7374),74905,7886-410,3rd Party Agreement,E062-0021,Municipal Right of Way,Registered,1.8,1987
1409,PTN LT 10 PL LMP7374,LMP7376,7891-0237,3rd Party Agreement,E062-0040,Municipal Right of Way,Registered,6,1992
1410,PTN LT 14 PL LMP19607,LMP20678,7893-0163,3rd Party Agreement,E052-0023,Municipal Right of Way,Registered,1.8,1994
1411,PTN LTS 1-10 PL LMP11361,LMP11365,7891-0602,3rd Party Agreement,E052-0024,Municipal Right of Way,Registered,1.8,1993
1412,PTN LT 1 PL LMP11361,LMP13362,7891-0602,Restrictive Covenant,E052-0028,Municipal Right of Way,Registered,4.91,1997
1413,PTN LTS 15-17 PL 67237,67238,2054-002,3rd Party Agreement,E042-0001,Municipal Right of Way,Registered,3,1983
1414,"PTN LT 3, 6-8, 10-12, 15-16 & 26 PL81046",81047,7887-6340,Restrictive Covenant,E042-0010,Municipal Right of Way,Registered,0,1989
1415,PTN LT 71 PL 86387,86388,7889-0336,3rd Party Agreement,E042-0030,Municipal Right of Way,Registered,1.8,1990
1416,OVER LT 16 PL 84758,,7888-0580,Restrictive Covenant,E042-0014,Municipal Right of Way,Registered,0,1990
1417,PTN LTS 39-41 PL 86387,86388,7889-0336,3rd Party Agreement,E042-0030,Municipal Right of Way,Registered,1.8,1990
1418,"PTN LTS 30,34 & 35 PL 86387",86388,7889-0336,3rd Party Agreement,E042-0030,Municipal Right of Way,Registered,1.8,1990
1419,PTN LT 47 PL 84729,84730,7888-0136,3rd Party Agreement,E042-0019,Municipal Right of Way,Registered,3,1990
1420,PTN LT 30 PL 84729,84730,7888-0136,3rd Party Agreement,E042-0016,Municipal Right of Way,Registered,3,1990
1421,PTN LTS 26-28 & 30-33 PL 84729,84731,7888-0136,Restrictive Covenant,E042-0025,Municipal Right of Way,Registered,0,1990
1422,"PTN LTS 3, 4 & 9 PL 84729",84731,7888-0136,Restrictive Covenant,E042-0025,Municipal Right of Way,Registered,0,1990
1423,OVER LT 15 PL 84729,,7888-0136,Restrictive Covenant,E042-0023,Municipal Right of Way,Registered,0,1990
1424,PTN LT 28 PL 67061,67162,2054-002,3rd Party Agreement,E042-0003,Municipal Right of Way,Registered,0,1983
1425,"PTN LTS 25-28,31-38 PLLMP5588",LMP5589,7891-0103,3rd Party Agreement,E032-0029,Municipal Right of Way,Registered,1.8,1992
1426,PTN LTS 34 & 49-51 PL 76071,76072,7886-2250,3rd Party Agreement,E032-0010,Municipal Right of Way,Registered,3,1987
1427,PTN LT 2 PL 86380,86381,7888-0311,3rd Party Agreement,E032-0019,Municipal Right of Way,Registered,3,1990
1428,OVER LT 2 PL 86380,,7888-0311,Restrictive Covenant,E032-0018,Municipal Right of Way,Registered,0,1990
1429,LT 1 PL 75806(LTS 4 - 9 PL 86676),,7886-5100,Restrictive Covenant,E032-0013,Municipal Right of Way,Registered,0,1987
1430,PTN LTS 98-103 PL 76071,76072,7886-2250,3rd Party Agreement,E032-0010,Municipal Right of Way,Registered,3,1987
1431,LTS 38 & 39 PL 70605 (PL 76071),70606,7883-523,Restrictive Covenant,E032-0005,Municipal Right of Way,Registered,0,1985
1432,OVER LT 1 PL 85461,,7888-0530,Restrictive Covenant,E022-0012,Municipal Right of Way,Registered,0,1990
1433,OVER LT 129 PL 57036,,2054-002,Restrictive Covenant,E012-0001,Municipal Right of Way,Registered,53.95,1980
1434,OVER LOT A PL 77176,,7886-6320,Restrictive Covenant,E012-0021,Municipal Right of Way,Registered,0,1989
1435,PTN PL LMS1774,LMP11388,7890-0026,3rd Party Agreement,E012-0028,Municipal Right of Way,Registered,1.8,1993
1436,PTN LT B PL 73611 (LMS978,73800,7886-454,3rd Party Agreement,E012-0011,Municipal Right of Way,Registered,4.5,1987
1437,PTN LT 10 PL 2546 ( LTS 1 & 2 PL 85106 ),85107,5686-6230,3rd Party Agreement,E002-0024,Municipal Right of Way,Registered,3,1990
1438,PTN LT 4 PL 80559 & PTN LT 7 PL 82708,82883,7887-3082,3rd Party Agreement,E113-0005,Municipal Right of Way,Registered,0,1989
1439,PTN LTS 6 - 8 PL LMP2573,LMP2573,7890-0174,3rd Party Agreement,E113-0028,Municipal Right of Way,Registered,0,1991
1440,PTN LT 35 PL 32421 (LT 8 BCP17911),BCP17913,7804-0234,3rd Party Agreement,E103-0027,Municipal Right of Way,Registered,1.0,2005
1441,PTN LT 1 PL 82708,82883,7887-3082,3rd Party Agreement,E113-0005,Municipal Right of Way,Registered,0,1989
1442,PTN LTS 3 & 4 PL BCP50828,BCP50832,7806-0294-00,3rd Party Agreement,E103-0031,Municipal Right of Way,Registered,6.0,2012
1443,PTN LTS 4 & 5 PL LMP36741,LMP36743,7896-0185,Restrictive Covenant,E113-0026,Municipal Right of Way,Registered,7.5,1998
1444,PTN LT 6 PL LMP43334 (LMS4530),LMP43336,7895-0095,Restrictive Covenant,E103-0009,Municipal Right of Way,Registered,15,1999
1445,PTN LT REM 1 PL 3839,LMP44652,7994-0017,Restrictive Covenant,E083-0007,Municipal Right of Way,Registered,0,2000
1446,PTN LT 3 PL EPP30196,EPP32149,7810-0009-00,3rd Party Agreement,E083-0020,Municipal Right of Way,Registered,6.0,2014
1447,"PTN LTS 9,12,14-16 & 19 PL EPP29422",EPP29427,7812-0125-00,3rd Party Agreement,E083-0022,Municipal Right of Way,Registered,VAR,2013
1448,PTN LTS 15 - 23 PL BCP6473,BCP6474,7802-0144,3rd Party Agreement,E073-0005,Municipal Right of Way,Registered,3,2003
1449,PTN LT 1 PL BCP42422,BCP42423,7807-0234-00,3rd Party Agreement,E073-0042,Municipal Right of Way,Registered,4.5,2009
1450,PTN LTS 1-4 & 7 PL BCP34199,BCP34200,7806-0133-00,3rd Party Agreement,E073-0025,Municipal Right of Way,Registered,VAR,2008
1451,PTN LT 26 PL BCP15637,BCP15638,7804-0008,3rd Party Agreement,E073-0010,Municipal Right of Way,Registered,1.8,2005
1452,PTN LTS 44 & 45 PL BCP15637,BCP15638,7804-0008,3rd Party Agreement,E073-0010,Municipal Right of Way,Registered,VAR,2005
1453,PTN LTS 5-12 PL BCP32191,BCP32192,7804-0013-00,3rd Party Agreement,E073-0020,Municipal Right of Way,Registered,3.0,2007
1454,"PTN LTS 1,2 & 34 PL BCP23422",BCP23424,7802-0011-00,3rd Party Agreement,E063-0065,Municipal Right of Way,Registered,VAR,2006
1455,"PTN LT 33 PL 26238 ,NW3082",BCP22045,7805-0201,3rd Party Agreement,E073-0013,Municipal Right of Way,Registered,VAR,2006
1456,OVER LT 3 PL 86525,,7887-0800,Restrictive Covenant,E063-0003,Municipal Right of Way,Registered,0,1990
1457,PTN LT 32 PL BCP450,BCP451,7801-0135,3rd Party Agreement,E063-0018,Municipal Right of Way,Registered,3,2002
1458,PTN LT 45 PL BCP6652,BCP6654,7802-0172,3rd Party Agreement,E063-0027,Municipal Right of Way,Registered,1.8,2004
1459,PTN LT 27 PL BCP6652,BCP6654,7802-0172,3rd Party Agreement,E063-0027,Municipal Right of Way,Registered,1.8,2004
1460,PTN LTS 7-12 PL BCP14108,BCP14110,7803-0135,3rd Party Agreement,E063-0040,Municipal Right of Way,Registered,1.2,2004
1461,PTN LTS 7-12 PL BCP14108,BCP14110,7803-0135,3rd Party Agreement,E063-0040,Municipal Right of Way,Registered,2.4,2004
1462,PTN LTS 2-4 PL BCP51759,BCP51760,7810-0056-00,3rd Party Agreement,E063-0069,Municipal Right of Way,Initiated,VAR,2013
1463,PTN LTS 2 & 10,PL BCP13994,7803-0125,3rd Party Agreement,E063-0039,Municipal Right of Way,Registered,3.00,2004
1464,PTN LTS 2 & 10 PL BCP13994,BCP13995,7803-0125,3rd Party Agreement,E063-0039,Municipal Right of Way,Registered,3.0,2004
1465,PTN LTS 9 & 10 PL BCP9611,9613,7897-0135,3rd Party Agreement,E063-0026,Municipal Right of Way,Registered,3,2004
1466,PTN LT A PL BCP46972,LMP40496,7808-0167-00,3rd Party Agreement,E053-0062,Municipal Right of Way,Registered,VAR,2010
1467,PTN LTS 2 & 3 PL LMP54093,LMP54095,7801-0076,3rd Party Agreement,E053-0038,Municipal Right of Way,Registered,3.6,2002
1468,PTN LT 2 PL LMP54077,LMP54078,7896-0337,3rd Party Agreement,E053-0040,Municipal Right of Way,Registered,0,2002
1469,PTN LTS 1-6 PL BCP9093,BCP9094,7802-0261,3rd Party Agreement,E053-0051,Municipal Right of Way,Registered,3.0,2004
1470,PTN LTS 19-21 PL LMP33602,LMP33603,7896-0283,3rd Party Agreement,E053-0023,Municipal Right of Way,Registered,0,1997
1471,"PTN LTS 3, 27, 28 PL LMP51462",LMP51463,7896-0097,3rd Party Agreement,E043-0071,Municipal Right of Way,Registered,0,2001
1472,PTN LTS 2-11 PL LMP53759,LMP53760,7801-0011,3rd Party Agreement,E043-0079,Municipal Right of Way,Registered,0,2002
1473,"PTN LTS 68 - 70, 73 - 75, 95 PL LMP49293",LMP79296,7896-0094,3rd Party Agreement,E043-0069,Municipal Right of Way,Registered,0,2001
1474,PTN LTS 46 - 49 PL LMP49296,LMP49296,7896-0094,3rd Party Agreement,E043-0069,Municipal Right of Way,Registered,4,2001
1475,PTN LTS 57-61 PL LMP44754,LMP44755,7896-0095,3rd Party Agreement,E043-0057,Municipal Right of Way,Registered,3,2000
1476,"PTN LTS 31, 32 PL LMP49296",LMP49296,7896-0094,3rd Party Agreement,E043-0069,Municipal Right of Way,Registered,0,2001
1477,PTN LT A PL LMP29654,LMP36241,6094-0358,Restrictive Covenant,E043-0058,Municipal Right of Way,Registered,38.7,1997
1478,PTN LT 1 PL 80501,80503,7887-5990,Restrictive Covenant,E043-0014,Municipal Right of Way,Registered,11,1989
1479,PTN LT K PL 82203,82206,7888-0129,3rd Party Agreement,E043-0053,Municipal Right of Way,Registered,0,1989
1480,PTN LT 1 PL 81912,81913,7888-0010,3rd Party Agreement,E043-0042,Municipal Right of Way,Registered,1.8,1989
1481,PTN LTS 9-16 & 18 PL 79629,79630,7888-0002,3rd Party Agreement,E043-0012,Municipal Right of Way,Registered,1.8,1988
1482,PTN LT B PL LMP31229,LMP31230,8350-001,Restrictive Covenant,E096-0169,Municipal Right of Way,Registered,0,1996
1483,PTN LT 130 PL 60027 (NW2542),72966,7886-249,Restrictive Covenant,E023-0025,Municipal Right of Way,Registered,0,1986
1484,PTN LT 1 PL BCP23433,BCP23434,7804-0012-00,3rd Party Agreement,E013-0002,Municipal Right of Way,Registered,VAR,2006
1485,PTN LTS 2 & 3 PL 78660,78661,7887-4210,3rd Party Agreement,E002-0006,Municipal Right of Way,Registered,3,1988
1486,PTN LTS 6 & 7 PL 72884,72886,7885-352,3rd Party Agreement,E003-0001,Municipal Right of Way,Registered,6.562,1986
1487,PTN REM LT 9 PL 9623,N/A,7887-5220,Restrictive Covenant,E123-0010,Municipal Right of Way,Registered,VAR,1989
1488,PTN LT 1 PL 75561,75562,7886-5370,Restrictive Covenant,E124-0011,Municipal Right of Way,Registered,0,1987
1489,PTN LT 41 PL 82280,86011,7888-0020,3rd Party Agreement,E113-0008,Municipal Right of Way,Registered,1.8,1990
1490,PTN PL NW3272 & PL LMS1159,LMP8644,7890-0382,3rd Party Agreement,E123-0017,Municipal Right of Way,Registered,0,1993
1491,PTN LT 2 PL LMP11720,LMP11722,6093-0006,Restrictive Covenant,E113-0011,Municipal Right of Way,Registered,5.4,1993
1492,PTN LT 5 PL LMP11730,LMP11731,6092-0144,Restrictive Covenant,E113-0012,Municipal Right of Way,Registered,2,1993
1493,PTN LT 2 PL LMP11730,LMP11731,6092-0144,Restrictive Covenant,E113-0012,Municipal Right of Way,Registered,2,1993
1494,PTN LTS 3 & 4 PL LMP11720,LMP11722,6093-0006,Restrictive Covenant,E113-0011,Municipal Right of Way,Registered,3.6,1993
1495,OVER LT 16 PL 1642 (NW3268),,7888-0215,Restrictive Covenant,E113-0007,Municipal Right of Way,Registered,0,1990
1496,PTN PL LMS2040,LMP20735,7893-0215,Restrictive Covenant,E113-0020,Municipal Right of Way,Registered,0,1994
1497,PTN LT 1 PL LMP23866 (LMS2978),LMP25750,7892-0294,3rd Party Agreement,E103-0005,Municipal Right of Way,Registered,3,1995
1498,PTN LT 2 PL 10503,LMP33543,7996-0036,Restrictive Covenant,E113-0025,Municipal Right of Way,Registered,0,1997
1499,PTN LT 3 PL BCP1777 (PL BCP5151),BCP1779,7900-0342,3rd Party Agreement,E083-0004,Municipal Right of Way,Registered,2,2002
1500,PTN LT 1 PL LMP38645 (PL BCP8751),LMP38646,7995-0221,3rd Party Agreement,E074-0012,Municipal Right of Way,Registered,0,1998
1501,PTN LTS 1-3 PL BCP50886,BCP50888,7810-0293-00,3rd Party Agreement,E073-0054,Municipal Right of Way,Registered,3.0,2012
1502,PTN LTS 53-57 PL BCP16874,BCP16876,7803-0054,3rd Party Agreement,E073-0014,Municipal Right of Way,Registered,VAR,2005
1503,PTN LTS 1-3 PL LMP43408,LMP43409,7896-0234,3rd Party Agreement,E063-0008,Municipal Right of Way,Registered,0,1999
1504,PTN LT 1 PL LMP43488,LMP43489,7898-0141,3rd Party Agreement,E063-0015,Municipal Right of Way,Registered,3,1999
1505,PTN LT A PL 57014,LMP43490,7898-0141,3rd Party Agreement,E063-0010,Municipal Right of Way,Acquired,0,1999
1506,PTN LTS 2 & 3 PL BCP20090,BCP20091,7804-0443,3rd Party Agreement,E063-0053,Municipal Right of Way,Registered,VAR,2005
1507,PTN LTS A & B PL 86799,86799,7889-0245,3rd Party Agreement,E063-0005,Municipal Right of Way,Registered,6.5,1990
1508,PTN LTS 2-5 PL BCP13156,BCP13157,7803-0389,3rd Party Agreement,E063-0031,Municipal Right of Way,Registered,3.0,2004
1509,"PTN LTS 1-8, 18-20, 22-24 PL BCP12083",BCP12086,7803-0065,3rd Party Agreement,E063-0033,Municipal Right of Way,Registered,0,2004
1510,"PTN LTS 1-8, 18-20, 22-24 PL BCP12083",BCP12086,7803-0065,3rd Party Agreement,E063-0033,Municipal Right of Way,Registered,3.0,2004
1511,PTN N1/2 LT 28 PL 1360,BCP12086,7803-0065,3rd Party Agreement,E063-0034,Municipal Right of Way,Registered,0,2004
1512,"PTN LTS 13, 14, 15, 16, 17, 18, 19, 20,",LMP52539,7892-0639,3rd Party Agreement,E063-0021,Municipal Right of Way,Registered,0,2002
1513,PTN LTS 25-28 PL BCP17974,BCP17975,7896-0091,3rd Party Agreement,E063-0049,Municipal Right of Way,Registered,3.0,2005
1514,PTN LTS 13-15 PL BCP24354,BCP24356,7896-0076-03,3rd Party Agreement,E063-0054,Municipal Right of Way,Registered,VAR,2006
1515,PTN LTS 11-14 PL 74915,74916,7886-4990,3rd Party Agreement,E053-0014,Municipal Right of Way,Registered,18,1987
1516,PTN LTS 2 & 3 PL NWP88342,NWP88384,7887-2730,3rd Party Agreement,E053-0035,Municipal Right of Way,Registered,1.8,1991
1517,PTN LTS 1-5 PL BCP26604,BCP26605,7805-0222-00,3rd Party Agreement,E053-0061,Municipal Right of Way,Registered,VAR,2006
1518,OVER LTS 20-23 PL 86962,,7887-5460,Restrictive Covenant,E053-0020,Municipal Right of Way,Registered,0,1990
1519,"OVER LTS 1, 2 & 4-7 PL 86962",,7887-5460,Restrictive Covenant,E053-0020,Municipal Right of Way,Registered,0,1990
1520,PTN LTS 15-17 PL 81342,81345,7887-0550,3rd Party Agreement,E043-0017,Municipal Right of Way,Registered,3,1989
1521,PTN LTS 45-47 PL 81342,81345,7887-0550,3rd Party Agreement,E043-0017,Municipal Right of Way,Registered,3,1989
1522,"PTN LTS 44, 46 & 47 PL 75652",75653,7886-558,Restrictive Covenant,E043-0009,Municipal Right of Way,Registered,0,1987
1523,PTN LT B PL BCP02858,BCP02859,7802-0135-00,3rd Party Agreement,E043-0084,Municipal Right of Way,Registered,3.0,2002
1524,PTN LTS 11 & 14-16 PL LMP8488,LMP8489,7891-0352,3rd Party Agreement,E043-0041,Municipal Right of Way,Registered,1.8,1993
1525,OVER LT 9 PL 83381,,7887-0880,Restrictive Covenant,E043-0024,Municipal Right of Way,Registered,0,1989
1526,PTN LT 6 PL LMP12859,LMP12861,7892-0040,3rd Party Agreement,E043-0043,Municipal Right of Way,Registered,1.8,1993
1527,"PTN LTS 3-5, BCP3892",BCP03893,7802-0080,3rd Party Agreement,E044-0070,Municipal Right of Way,Registered,0,2004
1528,PTN LT 52 PL 74917 (LT 14 PL LMP2498),75153,7886-291,Restrictive Covenant,E043-0008,Municipal Right of Way,Registered,0,1987
1529,PTN LTS 3 & 4 PL 75536,75537,7885-0130,3rd Party Agreement,E023-0015,Municipal Right of Way,Registered,3,1987
1530,PTN LTS 42 PL 75536 & REM M PL 68548,75537,7885-0130,3rd Party Agreement,E023-0015,Municipal Right of Way,Registered,3,1987
1531,PTN LT 39 PL 75536,75539,7885-0130,3rd Party Agreement,E023-0017,Municipal Right of Way,Registered,1.2,1987
1532,PTN LTS 6-8 PL 86633,86634,7889-0239,3rd Party Agreement,E034-0059,Municipal Right of Way,Registered,0,1990
1533,PTN LT 120 PL 60067,,A215,3rd Party Agreement,E023-0022,Municipal Right of Way,Registered,0,1980
1534,OVER LT 1 PL 83878 (LMS31),,7888-0565,Restrictive Covenant,E023-0040,Municipal Right of Way,Registered,0,1989
1535,PTNS LTS 29 & 30 PL 75536,75537,7885-0130,3rd Party Agreement,E023-0015,Municipal Right of Way,Registered,0,1987
1536,PTN LTS A to K & O PL 68548,68549,2054-002,3rd Party Agreement,E023-0001,Municipal Right of Way,Registered,0,1984
1537,PTN LT 37 PL 75536,75539,7885-0130,3rd Party Agreement,E023-0017,Municipal Right of Way,Registered,1.2,1987
1538,PTN LT 21 PL 69850,69851,7883-127,Restrictive Covenant,E023-0006,Municipal Right of Way,Registered,0,1985
1539,PTNS LTS 14-20 PL 69850,69851,7883-127,Restrictive Covenant,E023-0006,Municipal Right of Way,Registered,0,1985
1540,LT 1 PL 79239 (NW3040),,7887-3590,Restrictive Covenant,E024-0022,Municipal Right of Way,Registered,0,1988
1541,"LT 12 PL60058, LT 363 PL60718 & PLNW1676",,A065,Restrictive Covenant,E024-0014,Municipal Right of Way,Registered,0,1981
1542,S 3.0m LT 16 PL 77397,,7887-2630,3rd Party Agreement,E004-0003,Municipal Right of Way,Registered,3,1988
1543,PTN LTS 3-5 PL 76505,76506,7886-4340,3rd Party Agreement,E014-0005,Municipal Right of Way,Registered,3,1987
1544,"PTN LTS A & B PL 67391 (NW2305, NW2730)",67393,2054-002,3rd Party Agreement,E124-0004,Municipal Right of Way,Registered,0,1984
1545,"LT 91 PL44674,LT 93 PL43144,LT 1 PL23343",,7885-531,Restrictive Covenant,E124-0005,Municipal Right of Way,Registered,0,1987
1546,PTN N 3m LTS 293 & 294 PL 66129,,2054-002,3rd Party Agreement,E124-0003,Municipal Right of Way,Registered,3,1983
1547,PTN LT 1 PL LMP19960,LMP19961,7893-0339,3rd Party Agreement,E124-0017,Municipal Right of Way,Registered,4.5,1994
1548,PTN LT 1 LMP51621,LMP51623,7800-0269,Restrictive Covenant,E124-0027,Municipal Right of Way,Registered,0,2001
1549,PTN LT 55 PL 81410,81411,7888-0203,3rd Party Agreement,E114-0003,Municipal Right of Way,Registered,0,1989
1550,PTN LTS 59 & 60 PL 81820,81821,7888-0203,3rd Party Agreement,E114-0010,Municipal Right of Way,Registered,3,1989
1551,PTN LT 11 PL 81408,81409,7888-0203,3rd Party Agreement,E114-0004,Municipal Right of Way,Registered,1.8,1989
1552,PTN LTS 1-5 PL LMP50713,LMP50714,7800-0357,3rd Party Agreement,E104-0023,Municipal Right of Way,Registered,3,2001
1553,PTN LT 6 PL BCP10928,BCP47075,7809-0258-00,3rd Party Agreement,E104-0069,Municipal Right of Way,Registered,1.5,2010
1554,PTN LTS 19 - 24 PL LMP54427,BCP54427,7801-0104,3rd Party Agreement,E104-0049,Municipal Right of Way,Registered,3,2003
1555,PTN LTS 15 - 17 PL LMP54426,BCP54427,7801-0104,3rd Party Agreement,E104-0049,Municipal Right of Way,Registered,0,2003
1556,PTN LTS 1-5 PL LMP44646,LMP44647,7899-0023,3rd Party Agreement,E104-0015,Municipal Right of Way,Registered,3,2000
1557,PTN LT 10 PL BCP6082,BCP6087,7800-0297,3rd Party Agreement,E074-0014,Municipal Right of Way,Registered,0,2003
1558,PTN LT 1 PL LMP41497,LMP41496,7897-0172,Restrictive Covenant,E084-0002,Municipal Right of Way,Registered,0,1999
1559,PTN LT 82 PL 61926,61927,A359,3rd Party Agreement,E074-0002,Municipal Right of Way,Registered,3,1981
1560,PTN LTS 17-19 PL LMP14744,LMP14745,7892-0536,3rd Party Agreement,E074-0009,Municipal Right of Way,Registered,3,1994
1561,PTN LT 7 PL LMP14429,LMP14430,7891-0534,3rd Party Agreement,E054-0003,Municipal Right of Way,Registered,0,1994
1562,PTN LTS 1-3 & 6 PL LMP27372,LMP27373,7894-0314,3rd Party Agreement,E054-0015,Municipal Right of Way,Registered,0,1996
1563,"PTN LTS 22,23 & 29 PL LMP5931",LMP5932,7891-0213,3rd Party Agreement,E054-0005,Municipal Right of Way,Registered,0,1992
1564,OVER LT 102 PL 85238,,7888-0442,Restrictive Covenant,E044-0021,Municipal Right of Way,Registered,0,1990
1565,PTN LT 11 PL LMP11289,LMP11290,7892-0242,3rd Party Agreement,E044-0045,Municipal Right of Way,Registered,3,1993
1566,"PTN LTS 1-4,6,7,11 & 12 PL LMP11289",LMP11290,7892-0242,3rd Party Agreement,E044-0029,Municipal Right of Way,Registered,0,1993
1567,PTN LTS 1 & 4 PL LMP3974 (PL LMP24577),LMP3975,7890-0217,Restrictive Covenant,E044-0064,Municipal Right of Way,Registered,0,1992
1568,LT 1 PL 70410,,7885-153,Restrictive Covenant,E044-0003,Municipal Right of Way,Registered,0,1985
