,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
3298,PTN LT 2 PL 20826,EPP30273,7812-0336-00,3rd Party Agreement,E103-0033,Municipal Right of Way,Registered,9.0,2014
3299,PTN LT 2 PL LMP26775,LMP26776,7894-0214,3rd Party Agreement,E073-0002,Municipal Right of Way,Registered,3,1996
3300,PTN LTS 39 & 40 PL BCP29809,EPP41674,7804-0046-00,3rd Party Agreement,E073-0060,Municipal Right of Way,Registered,VAR,2014
3301,"PTN LTS 7, 8, 10 - 12 PL BCP6473",BCP6474,7802-0144,3rd Party Agreement,E073-0005,Municipal Right of Way,Registered,3,2003
3302,PTN LTS 1 - 6 PL BCP11113,BCP37500,7804-0008-01,3rd Party Agreement,E073-0023,Municipal Right of Way,Registered,VAR,2008
3303,PTN LT 29 PL 21478,BCP49434,7809-0114-00,3rd Party Agreement,E063-0068,Municipal Right of Way,Registered,3.0,2011
3304,PTN LTS 33 & 34 PL BCP450,BCP451,7801-0135,3rd Party Agreement,E063-0018,Municipal Right of Way,Registered,3,2002
3305,PTN LT ,BCP25588,,3rd Party Agreement,E063-0043,Municipal Right of Way,Registered,,2006
3306,PTN LT 4 PL BCP18674,BCP18675,7803-0433,3rd Party Agreement,E063-0051,Municipal Right of Way,Registered,1.8,2005
3307,PTN LTS 19-23 PL LMP34139,LMP34140,7895-0162,3rd Party Agreement,E053-0024,Municipal Right of Way,Registered,3,1997
3308,PTN LT 3 PL LMP54093,LMP54095,7801-0076,3rd Party Agreement,E053-0038,Municipal Right of Way,Registered,1.8,2002
3309,L 9 PLBCP19539,BCP19540,7804-0164,3rd Party Agreement,E053-0056,Municipal Right of Way,Registered,VAR,2005
3310,PTN LTS 37-52 PL BCP9093,BCP9094,7802-0261,3rd Party Agreement,E053-0051,Municipal Right of Way,Registered,3.0,2004
3311,PTN LTS 16-18 PL LMP33602,LMP33603,7896-0283,3rd Party Agreement,E053-0023,Municipal Right of Way,Registered,0,1997
3312,"PTN LTS 23, 24 PL LMP42576",LMP42577,7896-0094,3rd Party Agreement,E043-0073,Municipal Right of Way,Registered,3,1999
3313,PTN LTS 40 TO 44 PL LMP49293,LMP49296,7896-0094,3rd Party Agreement,E043-0069,Municipal Right of Way,Registered,5,2001
3314,PTN LT 37 PL 80501,80503,7887-5990,Restrictive Covenant,E043-0014,Municipal Right of Way,Registered,11,1989
3315,PTN LTS 16 & 17 PL 80501,80503,7887-5990,Restrictive Covenant,E043-0015,Municipal Right of Way,Registered,0,1989
3316,PTN LTS 18 & 19 PL 80501 (& PL 82203),80503,7887-5990,Restrictive Covenant,E043-0015,Municipal Right of Way,Registered,VAR,1989
3317,PTN LT 3 PL 86339,86524,7889-0329,3rd Party Agreement,E043-0033,Municipal Right of Way,Registered,1.8,1990
3318,PTN E 71.684m LT 10 PL 7317 (PL 78235),78234,2054-002,Restrictive Covenant,E043-0007,Municipal Right of Way,Registered,0,1988
3319,OVER LTS C & D PL 74360 (NW3087),,7886-2820,Restrictive Covenant,E023-0014,Municipal Right of Way,Registered,0,1987
3320,PTN LTS 3 & 4 PL 85750,85751,7888-0634,3rd Party Agreement,E023-0042,Municipal Right of Way,Registered,1.8,1990
3321,PTN LTS 5 & 7 PL LMP18323,LMP18325,7892-0285,3rd Party Agreement,E003-0026,Municipal Right of Way,Registered,0,1994
3322,PTN LTS 1-5 PL 72600,72601,7885-563,Restrictive Covenant,E003-0005,Municipal Right of Way,Registered,2.134,1986
3323,PTN LT 22 PL BCP22433,BCP22434,7804-0125,3rd Party Agreement,E003-0034,Municipal Right of Way,Registered,3.5,2008
3324,PTN LTS 1-5 PL LMP12102,LMP12103,7891-0519,3rd Party Agreement,E003-0028,Municipal Right of Way,Registered,0,1993
3325,PTN COMMON PROPERTY STRATA PL LMS3438,LMP43767,7898-0320,3rd Party Agreement,E123-0020,Municipal Right of Way,Partial Release,0,1999
3326,PTN LTS 9 & 10 PL LMP31524 (LMS3438),LMP31525,7895-0049,3rd Party Agreement,E123-0014,Municipal Right of Way,Registered,0,1997
3327,PTN LT 348-349 PL 70191,64236,9570,3rd Party Agreement,E123-0003,Municipal Right of Way,Registered,3,1985
