,ANCILLARYROLE,ENABLED,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MAKE,MODEL,CORROSION_PROTECTED,DISASTER_CONTROL,GEARED,PRESSURE_ZONE_VALVE,RESTRAINED,NO_TURNS,STATUS,OPERATING_STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ROTATION,Latitude,Longitude
7812,,1,2,Gate,1000272467,13410,1234906075,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020502,,,49.112987,-122.879629
7813,,1,2,Gate,1000273636,21571,1699208107,200,,,,,,,,,In Service,Open,7800-0353-00,2002,Surrey,,,Final AB,,,,,,20030121,20071221,,49.149553,-122.751468
7814,,1,2,Gate,1000273637,21572,1702108036,200,,,,,,,,,In Service,Open,7800-0353-00,2002,Surrey,,,Final AB,,,,,,20030121,20071221,,49.148269,-122.750649
7815,,1,2,Gate,1000273657,22111,1685208385,200,,,,,,,,,In Service,Open,7897-0188-0,1999,Surrey,,,Final AB,,,,,,20030526,,,49.154598,-122.755295
7816,,1,2,Gate,1000273658,23126,1701808732,200,,,,,,,,,In Service,Open,7802-0034-00,2003,Surrey,,,Final AB,,,,,,20040510,,,49.160851,-122.750691
7817,,1,2,Gate,1000273659,23127,1701108725,200,,,,,,,,,In Service,Open,7802-0034-00,2003,Surrey,,,Final AB,,,,,,20040510,,,49.160738,-122.750879
7818,,1,2,Gate,1000273665,23141,1682808738,100,,,,,,,,,In Service,Open,7896-0294-00,2002,Surrey,,,Final AB,,,,,,20040514,,,49.160987,-122.755919
7819,,1,2,Gate,1000273667,23143,1681008739,200,,,,,,,,,In Service,Open,7896-0294-00,2002,Surrey,,,Final AB,,,,,,20040514,,,49.160990,-122.756421
7820,,1,2,Gate,1000273668,23144,1682708740,200,,,,,,,,,In Service,Open,7896-0294-00,2002,Surrey,,,Final AB,,,,,,20040514,,,49.161006,-122.755961
7821,,1,2,Gate,1000273670,23146,1686108764,200,,,,,,,,,In Service,Open,7896-0294-00,2002,Surrey,,,Final AB,,,,,,20040514,,,49.161450,-122.755017
7822,,1,2,Gate,1000273476,7650,1498009128,150,,,,,,,,,In Service,Open,3647,1977,Surrey,,,Final AB,,,,,,20021009,,,49.168125,-122.806889
7823,,1,2,Gate,1001184736,,1277706264,300,,,,,,,,,In Service,Open,1203-5030-00,2010,Surrey,,,Final AB,,,,,,20101215,20101215,,49.116386,-122.867812
7824,,1,2,Gate,1001184778,,1277806239,750,,,,,,,,,In Service,Open,1203-5030-00,2010,Surrey,,,Final AB,,,,,,20101215,20101215,,49.115940,-122.867799
7825,,0,2,Gate,1000270041,22908,1919506404,450,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20031124,20101216,,49.118590,-122.690889
7826,,0,2,Gate,1000278263,13214,1915806441,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020502,20101216,,49.119267,-122.691898
7827,,0,2,Gate,1000278268,13219,1916206445,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020502,20101216,,49.119327,-122.691788
7828,,0,2,Gate,1000278269,13220,1916006442,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020502,20101216,,49.119274,-122.691844
7829,,0,2,Gate,1000278273,13224,1916006436,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020502,20101216,,49.119165,-122.691831
7830,,0,2,Gate,1000278296,13249,1915906435,,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020502,20101216,,49.119149,-122.691875
7831,,1,2,Gate,1001184883,,1906406497,300,,,,,,,,,In Service,Open,1203-6130-00,2010,Surrey,,,Final AB,,,,,,20101216,20101216,,49.120276,-122.694476
7832,,1,2,Gate,1001184885,,1914706437,300,,,,,,,,,In Service,Open,1203-6130-00,2010,Surrey,,,Final AB,,,,,,20101216,20101216,,49.119192,-122.692190
7833,,1,2,Gate,1000274585,12129,1237007073,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.131053,-122.879004
7834,,1,2,Gate,1000274372,11900,1244207165,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.132702,-122.877000
7835,,1,2,Gate,1000274373,11901,1226807181,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.133010,-122.881821
7836,,1,2,Gate,1000274378,11906,1229007125,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020501,,,49.131993,-122.881194
7837,,1,2,Gate,1000271611,6147,1196609385,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020429,,,49.172900,-122.890053
