,ANCILLARYROLE,ENABLED,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,LOCATION,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CONDITION_NOTATION,LAST_INSP_DATE,ROTATION,STRUCTURE_TYPE,SPAN_SUPPORTS,CRE_DATE,MOD_DATE,STATUS,YR,OWNER,PROJECT_NO,GIS_ENTRY_STAGE,COMMENTS,Latitude,Longitude
75,0,1,5,Odour Control Device,1001410890,,Liverpool L.S. Biobed,,,,,,,,,,,20120426,20120426,In Service,2012,Surrey,4706-4520-00,Final AB,Biobed,49.209468,-122.874658
76,0,1,0,Air Valve Assembly,1001936980,1000071034,,,,,0,0,,,,,,20170622,20170622,In Service,2000,Surrey,1794-3080-00,Final AB,,49.208866,-122.864542
77,0,1,0,Air Valve Assembly,1000849493,,,,,,,,,,,,,20080429,,In Service,,,,,,49.145873,-122.823249
78,0,1,5,Odour Control Device,1001154901,,Rosemary Heights Odour Control Bio-Bed,,,,,,,,,,,20100408,20100430,In Service,2009,Surrey,4705-4580-00,Final AB,,49.059026,-122.800347
79,0,1,0,Air Valve Assembly,1000838569,,,,,,,,,,,,,20071207,,In Service,,,,,,49.067356,-122.792158
80,0,1,7,P Trap,1001951720,,,,,,,,,,,,,20171017,20171017,In Service,2017,Surrey,7815-0183-00,Final AB,,49.054956,-122.767335
81,0,1,7,P Trap,1001943887,,,,,,,,,,,,,20170823,20171220,In Service,2017,Private,7814-0168-00,Initial AB,,49.167562,-122.767905
82,0,1,0,Air Valve Assembly,1001892759,,,,,,,,,,,,,20170620,20170620,In Service,2016,Surrey,4706-4530-00,Final AB,1350 MH,49.031066,-122.761250
83,0,1,0,Air Valve Assembly,1001757795,,,,,,,,,,,,,20140725,20140725,In Service,1997,Surrey,4795-5010-00,Final AB,50mm,49.121408,-122.734745
84,0,1,7,P Trap,1001885438,,,,,,,,,,90,,,20160729,20160729,In Service,2010,Surrey,7807-0159-00,Final AB,,49.133306,-122.726826
85,0,1,0,Air Valve Assembly,1000838862,,,,,,,,,,,,,20071211,,In Service,,,,,,49.189135,-122.906680
86,0,1,0,Air Valve Assembly,1001192114,,,,,,,,,,,,,20110318,20110318,In Service,1995,Surrey,7893-0309-00,Final AB,,49.199513,-122.873091
87,0,0,7,P Trap,1001885400,,,,,,,,,,90,,,20160729,20160729,Proposed,,Metro Vancouver,S-3077,EC,,49.101582,-122.853763
88,0,1,7,P Trap,1001885373,,,,,,,,,,90,,,20160729,,In Service,,Surrey,,Final AB,,49.044653,-122.834422
89,0,0,7,P Trap,1001885402,,,,,,,,,,90,,,20160729,20160729,Proposed,,Metro Vancouver,S-3077,EC,,49.102476,-122.845864
90,0,1,0,Air Valve Assembly,1001811871,,,,,,,,,,,,,20150309,20150309,In Service,2013,Surrey,SFPR Seg. 7,Final AB,In 1200 MH,49.213422,-122.841865
91,0,1,0,Air Valve Assembly,1001079999,,,,,,,,,,,,,20090204,,In Service,,,,,,49.058624,-122.833798
92,0,1,6,Pipe Bridge,1001174258,,,,,,,,,,,,,20100929,20100929,In Service,1996,Surrey,7807-0276-00,Final AB,,49.067341,-122.803846
93,0,1,5,Odour Control Device,1001788150,,Bose P.S.,,,,,,,,,,,20141118,20141118,In Service,2014,Surrey,4710-5100-00,Final AB,,49.118364,-122.799712
94,0,1,7,P Trap,1001885361,,,,,,,,,,90,,,20160729,20160729,In Service,2011,Surrey,7805-0085-00,Final AB,,49.130049,-122.803667
95,0,1,6,Pipe Bridge,1001411421,,Serpentine Creek,,,,,,,,105,,,20120503,20120503,In Service,1980,Surrey,4827,Final AB,,49.188166,-122.779334
96,0,1,5,Odour Control Device,1001802248,,Semiahmoo P.S.,,,,,,,,,,,20150116,20150116,In Service,2014,Surrey,4712-5030-00,Final AB,Centrifugal Blower,49.016846,-122.778384
97,0,1,7,P Trap,1001943892,,,,,,,,,,,,,20170823,20171220,In Service,2017,Private,7814-0168-00,Initial AB,,49.167707,-122.767904
98,0,1,0,Air Valve Assembly,1000838531,,East side Hwy 99 220 meters North of Beach Road,,,,,,,,,,,20071207,20130128,In Service,,,,,,49.009420,-122.757204
99,0,1,0,Air Valve Assembly,1001199709,,17180 4th Ave,,,,,,,,,,,20110603,20130128,In Service,2011,Surrey,7807-0041-00,Final AB,,49.009376,-122.748618
100,0,1,0,Air Valve Assembly,1001157940,,,,,,,,,,,,,20100430,20140509,In Service,2010,Metro Vancouver,SF-1784,Final AB,,49.195576,-122.744171
101,0,1,0,Air Valve Assembly,1001161157,,,,,,,,,,,,,20100520,20100520,In Service,2009,Surrey,4707-2040-00,Final AB,Enclosed in 2100 Steel Kiosk,49.084832,-122.713370
102,0,1,6,Pipe Bridge,1001161170,,Nikomekl River @ 184 St,,,,,,,,,,,20100520,20100520,In Service,2009,Surrey,4707-2040-00,Final AB,,49.085098,-122.713363
103,0,1,0,Air Valve Assembly,1001198155,,,,,,,,,,,,,20110518,20140509,In Service,2007,Metro Vancouver,S-3069,Final AB,1650,49.093897,-122.679664
104,0,1,0,Air Valve Assembly,1000838865,,,,,,,,,,,,,20071211,,In Service,,,,,,49.187765,-122.907153
