,ACCESSIBILITY,ACCESSIBILITY_DETAILS,ARCHITECT,BARCODE,BCH_METER_NUMBER,BC_HYDRO_ACCOUNT_NO,BUILDING_ADDITION,BUILDING_APPRAISAL,BUILDING_INSERVICE_COST,CARETAKER_NAME,CIVIC_FACILITY,COMMENTS,CONTACT_PERSON,CONTACT_PERSON_PHONE_NO,DESCRIPTION,ELECTRICAL_CONTRACTOR,FACILITYID,FACILITY_SERVICE_CLASS,FACILITY_SUBTYPE,FACILITY_TYPE,FLOOR_LEVELS,GAS_MAIN_SHUT_OFF_LOCATIONS,GENERAL_CONTRACTOR,HANDICAPPED_ACCESSIBLE,HOUSE_NO,INSERVICE_DATE,LEGAL_LOT_DESCRIPTION,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MECHANICAL_CONTRACTOR,MODEL,NAME,NATURAL_GAS_ACCOUNT_NO,NO_OF_PARKING_SPACES,OPERATING_HOURS,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OTHER_MAIN_SHUT_OFF_LOCATIONS,PARKING_LEVELS,PARK_LEGACY_ID,PARK_OWNERSHIP,POWER_MAIN_SHUT_OFF_LOCATIONS,PSAB_APPRAISAL_COST,PSAB_APPRAISAL_DATE,ROAD_CODE,SERIAL_NO,SQ_FOOTAGE,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,USE,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WATER_MAIN_SHUT_OFF_LOCATIONS,WEBLINK,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
60,,,,,,,,,,,No,,,,,,1001308697,,Private,School,,,,,14724,,,14724 84 AVE,,,043,,,Cornerstone Kindergarten,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.cornerstone-montessori.ca,,
61,,,,,,,,,,,No,,,,,,1001236300,,Elementary,School,,,,,12150,,,12150 92 AVE,,,030,,,Kirkbride Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/kirkbride/Pages/default.aspx,,
62,,,,,,,,,,,No,,,,,,1001229476,,Elementary,School,,,,,12236,,,12236 70A AVE,,,060,,,Cougar Creek Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/cougarcreek/Pages/default.aspx,,
63,,,,,,,,,,,No,,,,,,1001345781,,Elementary,School,,,,,12332,,,12332 BOUNDARY DR N,,,070,,,Boundary Park Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/boundarypark/Pages/default.aspx,,
64,,,,,,,,,,,No,,,,,,1001253510,,Elementary,School,,,,,5404,,,5404 125A ST,,,080,,,Colebrook Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/colebrook/Pages/default.aspx,,
65,,,,,,,,,,,No,,,,,,1001323894,,Elementary,School,,,,,12530,,,12530 60 AVE,,,070,,,J.T. Brown Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/jtbrown/Pages/default.aspx,,
66,,,,,,,,,,,No,,,,,,1001346347,,Elementary,School,,,,,9341,,,9341 126 ST,,,030,,,Senator Reid Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/senatorreid/Pages/default.aspx,,
67,,,,,,,,,,,No,,,,,,1001344913,,Elementary,School,,,,,2440,,,2440 128 ST,,,111,,,Crescent Park Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/crescentpark/Pages/default.aspx,,
68,,,,,,,,,,,No,,,,,,1001235824,,Elementary,School,,,,,7480,,,7480 128 ST,,,051,,,Dr. F.D. Sinclair Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/drfdsinclair/Pages/default.aspx,,
69,,,,,,,,,,,No,,,,,,1001274245,,Secondary,School,,,,,10441,,,10441 132 ST,,,011,,,Kwantlen Park Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/kwantlenpark/Pages/default.aspx,,
70,,,,,,,,,,,No,,,,,,1001264219,,Elementary,School,,,,,8226,,,8226 146 ST,,,043,,,Janice Churchill Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/janicechurchill/Pages/default.aspx,,
71,,,,,,,,,,,No,,,,,,1001242741,,Elementary,School,,,,,1739,,,1739 148 ST,,,123,,,H.T. Thrift Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/htthrift/Pages/default.aspx,,
72,,,,,,,,,,,No,,,,,,1001842970,,Elementary,School,,,,,5900,,,5900 150 ST,,,,,,Cambridge Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/cambridge/Pages/default.aspx,,
