,DEVICE_TYPE,DEVICE_TYPE2,FACILITYID,LEGACYID,MATERIAL,YEAR_BUILT,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
588,7,Speed Hump,1001947374,,Asphalt,,,Proposed,7816-0301-00,,Surrey,,,EC,,,,,,20170920,,49.041640,-122.761962
589,3,Raised Crosswalk,1001226394,,Asphalt,2012,,In Service,1712-8020-00,2012,Surrey,,,Final AB,,,,,,20160111,20160111,49.038793,-122.876348
590,7,Speed Hump,1001948039,,Asphalt,2017,,In Service,7815-0111-00,2017,Surrey,,,Initial AB,,,,,,20170926,20170926,49.119232,-122.713657
591,7,Speed Hump,1001948038,,Asphalt,2017,,In Service,7815-0111-00,2017,Surrey,,,Initial AB,,,,,,20170926,20170926,49.119200,-122.714140
592,7,Speed Hump,1001948037,,Asphalt,2017,,In Service,7815-0111-00,2017,Surrey,,,Initial AB,,,,,,20170926,20170926,49.119060,-122.714010
593,7,Speed Hump,1001075223,13,Asphalt,2008,45,In Service,1708-8040-00,2008,Surrey,13, ,Final AB,,,,,,,20170926,49.035216,-122.803615
594,8,Speed Table,1001075132,258,Asphalt,2008,45,In Service, ,2008,Surrey,258, ,Final AB,,,,,,,20170926,49.062192,-122.779550
595,7,Speed Hump,1001075380,80,Asphalt,2007,0,In Service, ,2007,Surrey,80, ,Final AB,,,,,,,20081212,49.122904,-122.875703
596,9,Traffic Circle,1001075204,34,Concrete,2005,0,In Service, ,2005,Surrey,34, ,Final AB,,,,,,,20090317,49.063728,-122.792966
597,9,Traffic Circle,1001075199,111,Concrete,2007,0,In Service, ,2007,Surrey,111, ,Final AB,,,,,,,20090317,49.150298,-122.804159
598,9,Traffic Circle,1001721932,,Concrete,,,In Service,7812-0125-00,2015,Surrey,,,Initial AB,,,,,,20131220,20150805,49.102384,-122.817816
599,7,Speed Hump,1001201669,,Asphalt,,,In Service,7804-0193-00,2005,Surrey,,,EC,,,,,,20110617,20110617,49.125946,-122.693518
600,7,Speed Hump,1001134467,,Asphalt,2008,,In Service,7805-0325-00,2008,Surrey,,,Final AB,,,,,,20091014,20091014,49.160933,-122.780066
601,5,Roundabout,1000963711,,,,,In Service,,,Surrey,,,Final AB,,,,,,,20090303,49.198849,-122.784221
602,7,Speed Hump,1001134403,,Asphalt,2009,,In Service,7806-0350-00,2009,Surrey,,,Final AB,,,,,,20091014,20091014,49.155751,-122.823998
603,7,Speed Hump,1001134469,,Asphalt,2008,,In Service,7805-0325-00,2008,Surrey,,,Final AB,,,,,,20091014,20091014,49.160931,-122.779535
604,7,Speed Hump,1001134568,,Asphalt,2009,,In Service,7803-0066-00,2009,Surrey,,,Final AB,,,,,,20091014,20091014,49.162041,-122.780456
605,7,Speed Hump,1001134570,,Asphalt,2008,,In Service,7803-0066-00,2009,Surrey,,,Initial AB,,,,,,20091014,20091014,49.161699,-122.780454
606,7,Speed Hump,1001136719,,Asphalt,2009,,In Service,7806-0216-00,2009,Surrey,,,Final AB,,,,,,20091029,20091029,49.111313,-122.811794
607,7,Speed Hump,1001135558,,Asphalt,2009,,In Service,7807-0059-00,2009,Surrey,,,Final AB,,,,,,20091026,20091026,49.199394,-122.862039
608,5,Roundabout,1001200647,,Grass,2010,,In Service,7806-0035-00,2010,Surrey,,,Final AB,,,,,,20110610,20110610,49.193157,-122.879769
609,7,Speed Hump,1001748897,,Asphalt,2015,,In Service,7812-0209-00,2015,Surrey,,,Final AB,,,,,,20140515,20151022,49.191963,-122.766834
610,7,Speed Hump,1001201825,,Asphalt,,,In Service,7804-0193-00,2005,Surrey,,,EC,,,,,,20110620,20110620,49.125016,-122.692307
611,5,Roundabout,1001201798,,Asphalt,,,In Service,7804-0193-00,2005,Surrey,,,EC,,,,,,20110620,20110620,49.125506,-122.692552
612,7,Speed Hump,1001758093,,Asphalt,,,In Service,7811-0269-00,2015,Surrey,,,Final AB,,,,,,20151116,20151116,49.054574,-122.784185
613,7,Speed Hump,1001758094,,Asphalt,,,In Service,7811-0269-00,2015,Surrey,,,Final AB,,,,,,20151116,20151116,49.054489,-122.783413
614,7,Speed Hump,1001758090,,Asphalt,,,In Service,7811-0269-00,2015,Surrey,,,Final AB,,,,,,20151116,20151116,49.055299,-122.784179
615,7,Speed Hump,1001758103,,Asphalt,,,In Service,7811-0269-00,2015,Surrey,,,Final AB,,,,,,20151116,20151116,49.053279,-122.784285
616,7,Speed Hump,1001758102,,Asphalt,,,In Service,7811-0269-00,2015,Surrey,,,Final AB,,,,,,20151116,20151116,49.053278,-122.783660
617,7,Speed Hump,1001758101,,Asphalt,,,In Service,7811-0269-00,2015,Surrey,,,Final AB,,,,,,20151116,20151116,49.053276,-122.782707
618,7,Speed Hump,1001758091,,Asphalt,,,In Service,7811-0269-00,2015,Surrey,,,Final AB,,,,,,20151116,20151116,49.055328,-122.783409
619,7,Speed Hump,1001758095,,Asphalt,,,In Service,7811-0269-00,2015,Surrey,,,Final AB,,,,,,20151116,20151116,49.054397,-122.782675
620,9,Traffic Circle,1001877316,,Concrete,,,Proposed,1710-7040-00,,Surrey,,,EC,,,,,,20160513,20160513,49.151863,-122.790081
621,7,Speed Hump,1001883853,,Asphalt,,,In Service,,,Surrey,,Digitized via 2015 image,,,,,,,20160719,20160719,49.153231,-122.755185
622,7,Speed Hump,1001885347,,Asphalt,,,In Service,,,Surrey,,,,,,,,,20160729,20160729,49.119262,-122.742803
