,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_UNITS
223,12165-75 Ave,Tuesday,Strawberry Hill Estates,,,50
224,12173-12219-82 Ave,Wednesday,Waldon Place,,20130912,40
225,1770-128 St,Monday,The Pallasade Of Ocean Park,,,45
226,1661-130 St,Monday,Ocean Park Townhomes,,,8
227,14388 103 Ave,Thursday,The Virtue,20161229,20161229,
228,3500-144 St,Monday,The Crescent,,,102
229,14433 60 Ave,Tuesday,Brixton,20161229,20161229,
230,2400-150 St,Monday,Semiahmoo Wynd,,,48
231,9958-149 St,Thursday,Tall Timbers Townhouses,,20131023,42
232,15121-19 Ave,Monday,Orchard Park,,,26
233,15055-20 Ave,Monday,High Grove  & High Grove II,,,160
234,15151-34 Ave,Monday,Sereno,,,80
235,5839-Panorama Drive,Tuesday,Forest gate,20100823,20130912,70
236,8888-151 St,Wednesday,Carlingwood Townhomes,,,97
237,15288-36 Ave,Monday,Cambria Detached Strata Homes,,,84
238,5688-152 St,Tuesday,Sullivan Gate,,20130912,45
239,15442-16A Ave,Monday,Carlton Court,,,9
240,15350-Sequoia Dr.,Wednesday,Village at Sequoia Ridge,,,24
241,15541 - 87A Ave,Wednesday,Evergreen Estates,20121012,20131023,23
242,10250-155A St,Thursday,Creekside Estates,,,18
243,3300-157A St,Monday,Carriage Green,,,39
244,15871-85 Ave,Wednesday,Huckleberry,,,82
245,8737-161 St,Wednesday,The Boardwalk,,,100
246,2450 - 161A St.,Monday,Glenmore,20081014,20131017,223
247,8560-162 St,Wednesday,Lakewood Green Complex,,,78
248,16488 64 Ave,Friday,Harvest at Bose Farms,20161229,20161229,
249,16888-80 ave,Friday,Stonecroft,,,38
250,17917-68 Ave,Friday,Weybridge,,,56
251,18707-65 Ave,Friday,Legends At Clayton Hollow,,,67
252,18868-69 Ave,Friday,Claytonbury,,,25
253,6575 - 192 St.,Friday,Ixia,20081014,20081014,102
254,7121 - 192 St,Friday,Allegro,20130912,20130912,81
255,6140-192 St,Friday,The Estates,,,80
256,19219-67 Ave,Friday,Balmoral,,,28
257,6852-193 St,Friday,Indigo,,,74
258,6956-163 St,Friday,Edge,20100823,20131023,75
259,19527/39/51/63/75-8 Ave,Friday,Puesta De Sol,,20131023,65
260,6568-193B St,Friday,Belmont At Southlands,,,50
261,,Tuesday,Panaroma Ridge - Lakewood Estate,20131022,20131022,24
262,6478 121 St,Tuesday,Sunwood Gardens,20121012,20161229,44
263,6950-120 St,Tuesday,Cougar Creek,,,57
264,8289-121 A St,Wednesday,Kennedy Woods,,20130912,30
265,8257-121A St,Wednesday,Lakewood Grove,,20130912,20
266,9266-122 St,Wednesday,Whispering Cedars,,20131023,52
267,12711-64 Ave,Tuesday,Palette on the Park,,,132
268,9533 130A St,Wednesday,Blossom Court,20121008,20131023,51
269,7140-132 St,Tuesday,Newbury Place,,,41
270,13499-92 Ave,Wednesday,Chatham Lane,20100823,20130912,74
271,13670 62 Ave,Tuesday,Panorama South 62,20161229,20161229,
