,CRE_DATE,HALL_NUMBER,MOD_DATE,RESPONSE_ZONE
366,,Hall13,,135B
367,,Hall14,,125AC
368,,Hall14,,115AC
369,,Hall17,,115B
370,,Hall08,,75D
371,,Hall18,,55B
372,,Hall05,,15D
373,,Hall13,,145A
374,,Hall14,,115AD
375,,Hall05,,36B
376,,Hall05,,26C
377,,Hall05,,16A
378,,Hall14,,117D
379,,Hall15,,67AC
380,,Hall18,,57A
381,,Hall05,,37C
382,,Hall05,,17B
383,,Hall14,,137A
384,,Hall14,,108B
385,,Hall08,,97A
386,,Hall08,,87D
387,,Hall08,,88B
388,,Hall08,,87AA
389,,Hall08,,77AD
390,,Hall15,,68B
391,,Hall15,,57BD
392,,Hall15,,58A
393,,Hall15,,48A
394,,Hall14,,149C
395,,Hall14,,139B
396,,Hall15,,99A
397,,Hall15,,59C
398,,Hall15,,59B
399,,Hall05,,39A
400,,Hall02,,19AC
401,,Hall11,,60AB
402,,Hall01,,30C
403,,Hall02,,19A
404,,Hall02,,20AB
405,,Hall12,,110D
406,,Hall11,,80AC
407,,Hall11,,80AA
408,,Hall11,,70D
409,,Hall01,,30AB
410,,Hall02,20180209,20AD
411,,Hall02,20180209,20AA
412,,Hall02,,10D
413,,Hall02,,0D
414,,Hall02,,0B
415,,Hall11,,81B
416,,Hall01,,41B
417,,Hall12,,131D
418,,Hall12,,101D
419,,Hall17,,91D
420,,Hall17,,92A
421,,Hall11,,81A
422,,Hall11,,82AB
423,,Hall11,,71C
424,,Hall02,,1D
425,,Hall12,,112A
426,,Hall12,,101AA
427,,Hall12,,102C
428,,Hall17,,92C
429,,Hall09,,82BB
430,,Hall11,,82A
431,,Hall11,,82AA
432,,Hall09,,62A
433,,Hall10,,52C
434,,Hall01,,42AC
435,,Hall01,,42A
436,,Hall06,,22A
437,,Hall02,20180209,12AC
438,,Hall04,20180209,12B
439,,Hall04,,2C
440,,Hall04,,2A
441,,Hall17,,92AA
442,,Hall06,,32AD
443,,Hall06,,23AC
444,,Hall04,,23B
445,,Hall04,,3B
446,,Hall17,,103AB
447,,Hall17,,103AA
448,,Hall17,,93D
449,,Hall09,,83BB
450,,Hall09,,73D
451,,Hall09,,63A
452,,Hall09,,53B
453,,Hall06,,33AD
454,,Hall06,,33A
455,,Hall04,,3A
456,,Hall17,,104B
457,,Hall06,,34C
458,,Hall06,,24C
459,,Hall04,,14A
460,,Hall04,,4D
461,,Hall13,,124D
462,,Hall17,,114AD
463,,Hall09,,74A
464,,Hall18,,54AD
465,,Hall18,,44D
466,,Hall05,,4AD
467,,Hall13,,125C
468,,Hall13,,125BC
469,,Hall14,,115C
470,,Hall17,,105D
471,,Hall17,,105A
472,,Hall08,,95D
473,,Hall08,,95A
474,,Hall08,,85B
475,,Hall09,,65B
476,,Hall18,,55C
477,,Hall18,,35AD
478,,Hall06,,35B
479,,Hall06,,25C
480,,Hall13,,135D
481,,Hall08,,76B
482,,Hall18,,56C
483,,Hall18,,56B
484,,Hall18,,46C
485,,Hall18,,46B
486,,Hall05,,16B
487,,Hall14,,106AC
488,,Hall08,,76AC
489,,Hall18,,56AC
490,,Hall18,,46AB
491,,Hall18,,46AC
492,,Hall14,,147B
493,,Hall08,,77B
494,,Hall08,,77D
495,,Hall05,,17C
496,,Hall14,,127A
497,,Hall14,,108C
498,,Hall08,,98C
499,,Hall08,,87AC
500,,Hall05,,37AB
501,,Hall05,,28B
502,,Hall14,,138D
503,,Hall14,,128A
504,,Hall14,,108D
505,,Hall15,,68D
506,,Hall14,,139C
507,,Hall14,,139A
508,,Hall14,,109B
509,,Hall15,,79D
510,,Hall15,,69D
511,,Hall15,,49D
512,,Hall05,,39AB
513,,Hall15,,99AC
514,,Hall02,,18C
515,,Hall10,,50B
516,,Hall01,,30B
517,,Hall02,,20B
518,,Hall02,,20C
519,,Hall02,,10B
520,,Hall11,,70A
521,,Hall11,,60AA
522,,Hall01,,30AD
523,,Hall01,,30A
524,,Hall12,,130C
525,,Hall12,,131C
526,,Hall11,,61AD
527,,Hall10,,61B
528,,Hall10,,61C
529,,Hall02,20180209,21B
530,,Hall02,,1B
531,,Hall12,,111A
532,,Hall12,,101AB
533,,Hall12,,101AC
534,,Hall12,,112C
535,,Hall12,,122B
536,,Hall12,,112AB
537,,Hall17,,102A
538,,Hall17,,92B
539,,Hall09,,82C
540,,Hall10,,62B
541,,Hall10,,52A
542,,Hall01,,42B
543,,Hall01,,SMH
544,,Hall04,,22AB
545,,Hall02,20180209,22CB
546,,Hall02,20180209,12AD
547,,Hall02,20180209,22BC
548,,Hall04,20180209,12D
549,,Hall04,20180209,22BD
550,,Hall12,,122AA
551,,Hall17,,112AA
552,,Hall17,,102D
553,,Hall17,,83AC
554,,Hall06,,42AD
555,,Hall06,,33C
556,,Hall06,,32AA
557,,Hall13,,113D
558,,Hall09,,53BA
559,,Hall17,,114AB
560,,Hall17,,113AB
561,,Hall09,,64B
562,,Hall06,,44B
563,,Hall06,,44C
564,,Hall06,,34AC
565,,Hall06,,34AB
566,,Hall04,,4C
567,,Hall13,,124AD
568,,Hall17,,114AA
569,,Hall17,,104D
570,,Hall17,,104A
571,,Hall17,,94D
572,,Hall08,,94A
573,,Hall18,,44AB
574,,Hall18,,44AD
575,,Hall06,,34A
576,,Hall06,,34D
577,,Hall04,,4AC
578,,Hall14,,115AB
579,,Hall17,,115A
580,,Hall08,,85C
581,,Hall08,,75A
582,,Hall08,,65D
583,,Hall18,,45D
584,,Hall18,,35AC
585,,Hall18,,35D
586,,Hall05,,35A
587,,Hall05,,25A
588,,Hall14,,146C
589,,Hall14,,146B
590,,Hall14,,125AA
591,,Hall14,,116C
592,,Hall14,,106C
593,,Hall14,,106B
594,,Hall08,,75AB
595,,Hall08,,76C
596,,Hall08,,66C
597,,Hall14,,116A
598,,Hall08,,76A
599,,Hall08,,66D
600,,Hall18,,36AD
601,,Hall05,,36AA
602,,Hall05,,26A
603,,Hall05,,16D
604,,Hall14,,117C
605,,Hall08,,87C
606,,Hall08,,67D
607,,Hall18,,67A
608,,Hall15,,67AB
609,,Hall15,,57C
610,,Hall05,,37A
611,,Hall14,,148B
612,,Hall08,,87AB
613,,Hall08,,87AD
614,,Hall08,,77AC
615,,Hall15,,67AD
616,,Hall15,,58C
617,,Hall15,,57AD
618,,Hall05,,48B
619,,Hall15,,48C
620,,Hall05,,37AA
621,,Hall05,,27C
622,,Hall05,,27A
623,,Hall14,,148A
624,,Hall05,,38AA
625,,Hall05,,38D
626,,Hall05,,28AB
627,,Hall14,,149B
628,,Hall14,,129D
629,,Hall14,,119C
630,,Hall14,,119B
631,,Hall14,,109C
632,,Hall15,,69A
633,,Hall10,,60C
634,,Hall10,,60B
635,,Hall01,,40C
636,,Hall02,,19AD
637,,Hall12,,120A
638,,Hall10,,60A
639,,Hall01,,30D
640,,Hall12,,121C
641,,Hall12,,111C
642,,Hall10,,51C
643,,Hall10,,51B
644,,Hall11,,81AD
645,,Hall01,,31A
646,,Hall02,20180209,21AC
647,,Hall02,20180209,21A
648,,Hall02,20180209,11AD
649,,Hall17,,102B
650,,Hall11,,82B
651,,Hall11,,72BD
652,,Hall11,,72BC
653,,Hall09,,72B
654,,Hall10,,52D
655,,Hall01,,32D
656,,Hall01,,32B
657,,Hall06,,22D
658,,Hall06,,22AC
659,,Hall02,20180209,22CC
660,,Hall02,20180209,22CA
661,,Hall13,,123B
662,,Hall13,,112AD
663,,Hall09,,63C
664,,Hall09,,53AB
665,,Hall06,,32BD
666,,Hall06,,33AC
667,,Hall06,,32AB
668,,Hall04,,22AA
669,,Hall04,,13AC
670,,Hall04,,13C
671,,Hall17,,113A
672,,Hall09,,83A
673,,Hall09,,83BC
674,,Hall09,,83BD
675,,Hall09,,53AA
676,,Hall04,,3C
677,,Hall09,,63AD
678,,Hall06,,54B
679,,Hall06,,34B
680,,Hall08,,74D
681,,Hall06,,44A
682,,Hall06,,24AD
683,,Hall04,,24BA
684,,Hall13,,145D
685,,Hall13,,125BA
686,,Hall17,,95C
687,,Hall18,,55A
688,,Hall05,,15B
689,,Hall14,,136C
690,,Hall18,,66B
691,,Hall05,,36C
692,,Hall05,,6C
693,,Hall14,,126D
694,,Hall14,,116D
695,,Hall14,,106AA
696,,Hall08,,76AB
697,,Hall18,,66AB
698,,Hall05,,36D
699,,Hall05,,36A
700,,Hall05,,6A
701,,Hall14,,137C
702,,Hall18,,57B
703,,Hall15,,57AC
704,,Hall05,,47B
705,,Hall05,,37B
706,,Hall05,,27B
707,,Hall05,,17D
708,,Hall05,,7B
709,,Hall05,,7D
710,,Hall14,,118C
711,,Hall15,,78C
712,,Hall15,,68C
713,,Hall15,,57AA
714,,Hall05,,37AC
715,,Hall05,,38AB
716,,Hall14,,138A
717,,Hall14,,118A
718,,Hall15,,88A
719,,Hall15,,68A
720,,Hall15,,58D
721,,Hall05,,38AD
722,,Hall05,,28A
723,,Hall14,,99D
724,,Hall15,,99B
725,,Hall15,,79B
726,,Hall15,,79C
727,,Hall15,,69B
728,,Hall15,,59D
729,,Hall15,,49C
730,,Hall05,,39AC
731,,Hall05,,39B
732,,Hall05,,39D
733,,Hall05,,29B
734,,Hall05,,29C
735,,Hall02,,19AB
736,,Hall02,,18B
737,,Hall10,,50C
738,,Hall02,,9D
739,,Hall02,,0C
740,,Hall01,,40A
741,,Hall02,20180209,20AC
742,,Hall12,,130D
743,,Hall12,,121B
744,,Hall11,,61AB
745,,Hall01,,31C
746,,Hall01,,31B
747,,Hall12,,131A
748,,Hall17,,101A
749,,Hall11,,81D
750,,Hall11,,71A
751,,Hall01,,41A
752,,Hall01,,31D
753,,Hall02,20180209,21AD
754,,Hall04,,HH1
755,,Hall12,,122C
756,,Hall09,,62D
757,,Hall01,,42D
758,,Hall04,20180209,12C
759,,Hall04,20180209,22BA
760,,Hall04,20180209,12AB
761,,Hall04,20180209,12AA
762,,Hall13,,123C
763,,Hall17,,92AD
764,,Hall17,,92AC
765,,Hall11,,72D
766,,Hall09,,72AC
767,,Hall09,,72AA
768,,Hall06,,43C
769,,Hall04,,23C
770,,Hall09,,83D
771,,Hall09,,83BA
772,,Hall09,,53D
773,,Hall06,,43D
774,,Hall04,,3D
775,,Hall17,,94B
776,,Hall17,,84C
777,,Hall09,,84B
778,,Hall09,,74C
779,,Hall06,,24AB
780,,Hall04,,14B
781,,Hall17,,114AC
782,,Hall08,,95B
783,,Hall18,,44AA
784,,Hall06,,34AD
785,,Hall04,,14AD
786,,Hall06,,24BD
787,,Hall17,,S992
788,,Hall14,,125AB
789,,Hall08,,75AC
790,,Hall04,,25B
791,,Hall05,,15A
792,,Hall05,,5A
793,,Hall13,,145C
794,,Hall13,,135AC
795,,Hall13,,N994
796,,Hall13,,S991
797,,Hall18,,36AC
798,,Hall14,,146D
799,,Hall14,,146A
800,,Hall14,,126A
801,,Hall08,,76AA
802,,Hall08,,66AC
803,,Hall18,,46D
804,,Hall05,,46AA
805,,Hall14,,147C
806,,Hall18,,47C
807,,Hall05,,27D
808,,Hall05,,7A
809,,Hall14,,147D
810,,Hall14,,147A
811,,Hall14,,138C
812,,Hall14,,138B
813,,Hall14,,128B
814,,Hall08,,98B
815,,Hall08,,87A
816,,Hall15,,78B
817,,Hall15,,58B
818,,Hall05,,28C
819,,Hall14,,128D
820,,Hall14,,118D
821,,Hall15,,78D
822,,Hall05,,28D
823,,Hall14,,139D
824,,Hall15,,79A
825,,Hall05,,39C
826,,Hall15,,99AB
