,ADJACENT_TO_SCHOOL,BARCODE,BASE_PATH_LENGTH_FT,COMMENTS,COMMUNITY,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,DRAINAGE_UPGRADE,FACILITYID,GANG_MOWING_ROUTE,HOUSE_NO,INFIELD_TYPE,INSERVICE_COST,INSERVICE_DATE,IRRIGATED,JOINT_USE_AGREEMENT,LAST_SURFACE_REPLACEMENT,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OVERLAP,PARK,PARK_FACILITY_TYPE,PARK_OWNERSHIP,PRIMARY_USE,REFERENCE_NO,ROAD_CODE,RUNOUT_LENGTH_M,RUNOUT_WIDTH_M,SECONDARY_USE,SERIAL_NO,SERVICE_LEVEL,SPORTS_FIELD_TYPE,SPORTS_FIELD_TYPE2,STATUS,STATUS_DATE,SUBSURFACE_DRAINAGE,SURFACE_LENGTH_FT,SURFACE_TYPE,SURFACE_WIDTH_FT,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
120,,,,surveyed in 2006,South Surrey,,,,"8 Micro Soccer Fields; Crescent Park, 2585 132 St",,1001477449,,02585,,0,,Y,,,0729-000000106,north field area,Parks,,111,,,"Crescent Park, 2585 132 St",Park,Parks,,Crescent Park,Field - Soccer - Micro,,Micro Soccer,1,13200,,,,,,0,Grass,OPERATING,20010201153100,,,,,Y,,,,,
121,N,,,,South Surrey,,,20101027,"Cricket Ground; Crescent Park, 2585 132 St",,1001477473,,02585,,0,19920401,Y,,,0729-000000374,,Parks,,111,,20101027,"Crescent Park, 2585 132 St",Park,Parks,Y,Crescent Park,Field - Cricket,,Cricket,1,13200,,,,,,0,Grass,OPERATING,20101027083400,,,Sand,,Y,,,,,
122,,,,,,,,20170131,,,1001904658,,,,,,,,,,Holland Park Great Lawn,,,,,20170131,,,,,,,,,,,,,,,,0,Grass,,,,,,,,,,,,
123,Y,,,,Whalley,,,,"Softball Diamond #1; Royal Kwantlen Park, 13035 - 104 Ave",,1001477367,,13035,,0,,Y,,,0729-000000198,South side of Soccer Field #1 (south),Parks,,011,,,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,,Royal Kwantlen Park,Diamond - Softball,,Softball,1,10400,,,,,,0,Grass,OPERATING,20010201163800,,,,,Y,,,,,
124,Y,,,,Whalley,,,,"Soccer Field #1 - South; Royal Kwantlen Park, 13035 - 104 Ave",,1001477368,,13035,,0,,Y,,,0729-000000071,South side of park,Parks,,011,,,"Royal Kwantlen Park, 13035 104 Ave",Park,Parks,,Royal Kwantlen Park,Field - Soccer - Regulation,,Soccer,1,10400,,,,,,0,Grass,OPERATING,20010201151300,,,,,Y,,,,,
125,,,,,Whalley,,,,"8v8 Soccer Field - Lower; Robson Park, 12576 100 Ave",,1001477369,,12576,,0,20100701,Y,,,0729-000000377,centre area of park,Parks,,020,,20101028,"Robson Park, 12576 100 Ave",Park,Parks,,Robson Park,Field - Soccer - 8v8,,Soccer,2,10000,,,,,,0,Grass,OPERATING,20101028112400,,,,,Y,,,,,
126,,,,,Whalley,,,,"8v8 Soccer Field - Upper; Robson Park, 12576 100 Ave",,1001477370,,12576,,0,,N,,,0729-000000004,east side of Park.,Parks,,020,,20101028,"Robson Park, 12576 100 Ave",Park,Parks,,Robson Park,Field - Soccer - 8v8,,Soccer,1,10000,,,,,,0,Grass,OPERATING,20010201131800,,,,,Y,,,,,
127,,,,,Whalley,,,,"Softball Diamond; A.H.P. Matthew Park, 9762 132 St",,1001477371,,09762,,0,,Y,,,0729-000000136,N.E. Corner of Park,Parks,,021,,,"A.H.P. Matthew Park, 9762 132 St",Park,Parks,,A.H.P. Matthew Park,Diamond - Softball,,Softball,1,13200,,,,,,0,Grass,OPERATING,20010201160300,,,,,Y,,,,,
128,,,,,Whalley,,,,"Mini Soccer Field; A.H.P. Matthew Park, 9762 132 St",,1001477372,,09762,,0,,Y,,,0729-000000095,N.W. Corner of Park,Parks,,021,,,"A.H.P. Matthew Park, 9762 132 St",Park,Parks,,A.H.P. Matthew Park,Field - Soccer - Mini,,Mini Soccer,1,13200,,,,,,0,Grass,OPERATING,20010201152600,,,,,Y,,,,,
129,,,,,Whalley,,,,"Soccer Field; A.H.P. Matthew Park, 9762 132 St",,1001477373,,09762,,0,,Y,,,0729-000000053,S.W. Corner of Park,Parks,,021,,,"A.H.P. Matthew Park, 9762 132 St",Park,Parks,,A.H.P. Matthew Park,Field - Soccer - Regulation,,Soccer,1,13200,,,,,,0,Grass,OPERATING,20010201150100,,,,,Y,,,,,
130,,,,,Guildford,,,,"Softball Diamond #1; Hjorth Road Park, 10275 - 148 St",,1001477374,,10275,,0,,Y,,,0729-000000188,just NW of Pool,Parks,,023,,,"Hjorth Road Park, 10275 148 St",Park,Parks,,Hjorth Road Park,Diamond - Softball,,Softball,1,14800,,,,,,0,Grass,OPERATING,20010201163400,,,,,Y,,,,,
131,,,,,Whalley,,,,"Baseball Diamond #1; Moffat Memorial Park, 9434 - 122 St",,1001477375,,09434,,0,,Y,,,0729-000000133,Center of Park,Parks,,030,,,"Moffat Memorial Park, 9434 122 St",Park,Parks,,Moffat Memorial Park,Diamond - Baseball,,Baseball,1,12200,,,,,,0,Grass,OPERATING,20010201160200,,,,,Y,,,,,
132,Y,,,,Fleetwood,,,,"Soccer Field; Berkshire Park, 9283 154 St",,1001477376,,09283,,0,,Y,,,0729-000000055,W. Of Wooded Area,Parks,,034,,,"Berkshire Park, 9283 154 St",Park,Parks,,Berkshire Park,Field - Soccer - Regulation,,Soccer,1,15400,,,,,,0,Grass,OPERATING,20010201150300,,,,,Y,,,,,
133,Y,,,,Fleetwood,,,,"Softball Diamond; Serpentine Heights Park, 16151 - 92 Ave",,1001477377,,16151,,0,,Y,,,0729-000000183,Near 92 Ave Edge Of Park,Parks,,035,,20100311,"Serpentine Heights Park, 16151 92 Ave",Park,Parks,,Serpentine Heights Park,Diamond - Softball,,Softball,1,09200,,,,,,0,Grass,OPERATING,20010201163200,,,,,Y,,,,,
134,Y,,,,Fleetwood,,,,"Soccer Field; Serpentine Heights Park, 16151 - 92 Ave",,1001477378,,16151,,0,,Y,,,0729-000000045,Central Area Of Site,Parks,,035,,,"Serpentine Heights Park, 16151 92 Ave",Park,Parks,,Serpentine Heights Park,Field - Soccer - Regulation,,Soccer,1,09200,,,,,,0,Grass,OPERATING,20010201145700,,,,,Y,,,,,
135,,,,,Guildford,,,,"Softball Diamond; Bothwell Park, 9435 - 168 St",,1001477379,,09435,Skinned,0,,N,,,0729-000000195,South east corner of park,Parks,,035,,,"Bothwell Park, 9435 168 St",Park,Parks,,Bothwell Park,Diamond - Softball,,Softball,1,16800,,,,,,0,Grass,OPERATING,20010201163700,,,,,Y,,,,,
136,,,,,Guildford,,,,"All Weather Field; Bothwell Elementary School Park, 10148 170A St",,1001477249,,10148,,0,19990927,,,,0725-000000088,South of school,School District #36,,026,,20170123,"Bothwell Elementary School Park, 10148 170A St",Park,School District #36,,Bothwell School Park,Field - All Weather,,,1,17050,,,,,,1,Gravel,OPERATING,20000927145200,,100,,50,,,,,,
137,Y,,,,Newton,,,,"Soccer Field; Frank Hurt Park, 13828 - 77 Ave",,1001477391,,13828,,0,,Y,,,0729-000000040,NW. Corner of Park,School District #36,,052,,20170123,"Frank Hurt Park, 13828 77 Ave",Park,Parks,,Frank Hurt Park,Field - Soccer - Regulation,,Soccer,1,07700,,,,,,0,Grass,OPERATING,20010201145500,,,,,,,,,,
138,,,,,Newton,,,20130605,"Field #11; Newton Athletic Park, 7395 128 St",,1001598923,,07395,,0,20130101,Y,,,1001477311,East of Field #10,Parks,,050,,20130605,"Newton Athletic Park, 7395 128 St",Park,Parks,,Newton Athletic Park,Field - Soccer - Regulation,,Soccer,11,12800,,,,,,0,Grass,OPERATING,20010201145000,,,,,Y,,,,,
139,,,,,Newton,,,20130605,"Field #10; Newton Athletic Park, 7395 128 St",,1001598924,,07395,,0,20130101,Y,,,1001598923,East of Field #9,Parks,,050,,20130605,"Newton Athletic Park, 7395 128 St",Park,Parks,,Newton Athletic Park,Field - Soccer - Regulation,,Soccer,10,12800,,,,,,0,Grass,OPERATING,20010201145000,,,,,Y,,,,,
140,N,,,,Guildford,,,20100922,"Synthetic Field #2; Hjorth Road Park, 10275 148 St",,1001477496,,10275,,0,20100901,Y,,,0729-000000369,"west side of park, west field",Parks,,023,,20120109,"Hjorth Road Park, 10275 148 St",Park,Parks,,Hjorth Road Park,Field - Synthetic,,Soccer,2,14800,,,,,,2,Synthetic,OPERATING,20100922075400,,,,,Y,,,,,
141,N,,,,Guildford,,,20081008,"Synthetic Field #1; Hjorth Road Park, 10275 148 St",,1001477505,,10275,,0,20081001,Y,,,0729-000000359,"west side of park, east field",Parks,,023,,20100122,"Hjorth Road Park, 10275 148 St",Park,Parks,,Hjorth Road Park,Field - Synthetic,,Soccer,1,14800,,,,,,2,Synthetic,OPERATING,20081007083900,,,,,Y,,,,,
142,,,,,Newton,,,,"Soccer Field; Senator Reid Park, 6115 136 St",,1001477408,,06115,,0,,Y,,,0729-000000050,Central Area Of Park,School District #36,,071,,20170123,"Senator Reid Park, 6115 136 St",Park,Parks,,Senator Reid Park,Field - Soccer,,Soccer,1,13600,,,,,,0,Grass,OPERATING,20010201150000,,,,,,,,,,
143,,,,,South Surrey,,,,"Soccer Field; Ocean Cliff Park - 120B, 12572 - 20 Ave",,1001477418,,12572,,0,,Y,,,0729-000000048,East of School,School District #36,,120,,20170123,"Ocean Cliff Park, 12572 20 Ave",Park,Parks,,Ocean Cliff Park,Field - Soccer,,Soccer,1,02000,,,,,,0,Grass,OPERATING,20010201145900,,,,,,,,,,
