,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,FENCING_TYPE,GIS_ENTRY_STAGE,HOUSE_NO,INSERVICE_COST,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MATERIAL,MEDIAN_TYPE,MEDIAN_TYPE2,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PLANTED,PROJECT_NO,ROAD_CODE,SERIAL_NO,STATUS,STATUS_DATE,STATUS_PARKS,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
1786,,,,,20081205,,1000960275,,Initial AB,,,,,,Engineering,,,Concrete,0,Central,,20170731,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1787,,,,,20150211,,1001806153,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20150211,,,Engineering,Surrey,,,No,1713-3070-00,,,In Service,,,,,,,2014,,
1788,,,,,20090129,,1001079414,,Initial AB,,,,,,Engineering,,,Concrete,0,Central,,20170731,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1789,,,,,20150220,,1001809261,,,,,,,,Engineering,,,Concrete,1,Island,,20150220,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1790,,,,,20150224,,1001809544,,,,,,,,Engineering,,,Concrete,0,Central,,20150224,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1791,,,,,20150224,,1001809546,,,,,,,,Engineering,,,Concrete,0,Central,,20150224,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1792,,,,,20150224,,1001809547,,,,,,,,Engineering,,060,Concrete,0,Central,,20150224,,,Engineering,Surrey,,,,,,,In Service,,,,,,,,,
1793,,,,,20150224,,1001809549,,Final AB,,,,,,Engineering,,060,Concrete,0,Central,,20150224,,,Engineering,Surrey,,,Yes,3814-4010-00,,,In Service,,,,,,,2014,,
1794,,,,,20150224,,1001809551,,,,,,,,Engineering,,,Concrete,0,Central,,20150224,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1795,,,,,20180502,,1001884859,,Final AB,,,,,,Engineering,,034,Concrete,0,Central,,20180502,,,Engineering,Surrey,,,No,3815-6350-00,,,In Service,,,,,,,2017,,
1796,,,,,20150616,,1001828049,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20150616,,,Engineering,Surrey,,,Yes,7808-0260-00,,,In Service,,,,,,,2015,,
1797,,Digitized Via 2014 Air Photo,,,20150616,,1001828042,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20150616,,,Engineering,Surrey,,,Yes,7808-0260-00,,,In Service,,,,,,,2015,,
1798,,,,,20150806,,1001833640,,,,,,,,Engineering,,,Concrete,1,Island,,20150806,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1799,,,,,20150806,,1001833641,,,,,,,,Engineering,,,Concrete,0,Central,,,,,Engineering,Surrey,,,,,,,In Service,,,,,,,,,
1800,,,,,20120912,,1001433186,,Initial AB,,,1001078138,,,Engineering,,,Grass,0,Central,,20160627,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1801,,,,,20090116,,1001078138,,Initial AB,,,,,,Engineering,,,Grass,0,Central,,20160627,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1802,,,,,20180410,,1001994830,,EC,,,,,Hawthorne Park Parking Lot,Engineering,,012,Concrete,1,Island,,20180411,,,Engineering,Surrey,,,No,1717-7040-00,,,Proposed,,,,,,,,,
1803,,,,,20150901,,1001836609,,Final AB,,,,,,Engineering,,108,Concrete,0,Central,,20150901,,,Engineering,Surrey,,,No,1713-3100-00,03200,,In Service,,,,,,,2015,,
1804,,,,,20150901,,1001836634,,Final AB,,,,,,Engineering,,108,Concrete,0,Central,,20150901,,,Engineering,Surrey,,,Yes,1713-3100-00,03200,,In Service,,,,,,,2015,,
1805,,,,,20150901,,1001836643,,Final AB,,,,,,Engineering,,108,Concrete,0,Central,,20150901,,,Engineering,Surrey,,,Yes,1713-3100-00,03200,,In Service,,,,,,,2015,,
1806,,,,,20180410,,1001994831,,EC,,,,,Hawthorne Park Parking Lot,Engineering,,012,Concrete,1,Island,,20180411,,,Engineering,Surrey,,,No,1717-7040-00,,,Proposed,,,,,,,,,
1807,,,,,20161205,,1001899097,,Initial AB,,,,,,Engineering,,,Concrete,1,Island,,20161205,,,Engineering,Surrey,,,No,7807-0101-00,,,In Service,,,,,,,2016,,
1808,,,,,20090114,,1001077864,,Initial AB,,,,,,Engineering,,,Pavers,0,Central,,20170118,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1809,,,,,20131218,,1001721845,,,,,,,,,,,,0,Central,,20160701,,,,Surrey,,,,,,,In Service,,,,,,,,,
1810,,,,,20180410,,1001994832,,EC,,,,,Hawthorne Park Parking Lot,Engineering,,012,Concrete,1,Island,,20180411,,,Engineering,Surrey,,,Yes,1717-7040-00,,,Proposed,,,,,,,,,
1811,,,,,20180411,,1001994960,,EC,,,,,,Engineering,,012,Concrete,1,Island,,20180411,,,Engineering,Surrey,,,No,1717-7040-00,,,Proposed,,,,,,,,,
1812,,,,,20170118,,1001902779,,,,,,,,Engineering,,051,Concrete,0,Central,,20170118,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1813,,,,,20180411,,1001994961,,EC,,,,,,Engineering,,012,Concrete,1,Island,,20180411,,,Engineering,Surrey,,,No,1717-7040-00,,,Proposed,,,,,,,,,
1814,,,,,20161206,,1001899156,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20161206,,,Engineering,Surrey,,,No,1713-3150-00,,,In Service,,,,,,,2016,,
1815,,,,,20090129,,1001079554,,Initial AB,,,,,,Engineering,,,Asphalt,0,Central,,20161206,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1816,,,,,20090129,,1001079552,,Initial AB,,,,,,Engineering,,,Grass,0,Central,,20161206,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1817,,,,,20090130,,1001079571,,Initial AB,,,,,,Engineering,,,Grass,0,Central,,20161206,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1818,,,,,20090130,,1001079572,,Initial AB,,,,,,Engineering,,,Grass,0,Central,,20161206,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1819,,,,,20090211,,1001081953,,Initial AB,,,,,,Engineering,,,Asphalt,1,Island,,20170118,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1820,,,,,20161206,,1001899165,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20161206,,,Engineering,Surrey,,,No,1713-3150-00,,,In Service,,,,,,,2016,,
1821,,,,,20161206,,1001899182,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20161206,,,Engineering,Surrey,,,Yes,1713-3150-00,,,In Service,,,,,,,2016,,
1822,,,,,20100120,,1001147252,,Final AB,,,,,,Engineering,,,Asphalt,1,Island,,20170118,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1823,,,,,20081202,,1000959687,,Initial AB,,,,,,Engineering,,,Grass,0,Central,,20150702,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1824,,,,,20081217,,1001075774,,Initial AB,,,,,,Engineering,,,Concrete,0,Central,,20150702,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1825,,,,,20150805,,1001833509,,Initial AB,,,,,,Engineering,,,Concrete,1,Island,,20150805,,,Engineering,Surrey,,,,7812-0125-00,,,In Service,,,,,,,2015,,
1826,,,,,20150805,,1001833510,,Initial AB,,,,,,Engineering,,,Concrete,1,Island,,20150805,,,Engineering,Surrey,,,,7812-0125-00,,,In Service,,,,,,,2015,,
1827,,,,,20131211,,1001079288,,Final AB,,,,,,Engineering,,,Grass,0,Central,,20170110,,,Engineering,Surrey,,,Yes,7811-0022-00,,,In Service,,,,,,,2013,,
1828,,,,,20170110,,1001901726,,Final AB,,,1001079288,0,,Engineering,,,Grass,0,Central,,20170110,,,Engineering,Surrey,,,Yes,7811-0022-00,,,In Service,,,,,,,2013,,0
1829,,,,,20150224,,1001809574,,Final AB,,,,,,Engineering,,061,Concrete,1,Island,,20150224,,,Engineering,Surrey,,,No,3814-4010-00,,,In Service,,,,,,,2014,,
1830,,,,,20150217,,1001808602,,Final AB,,,,,,Engineering,,011,Concrete,1,Island,,20151005,,,Engineering,Surrey,,,No,7807-0226-00,,,In Service,,,,,,,2014,,
1831,,RBRC,,,20150410,,1001557973,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20150413,,,Engineering,Surrey,,,No,1709-3130-00,,,In Service,,,,,,,2014,,
1832,,,,,20150413,,1001817351,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20150413,,,Engineering,Surrey,,,No,1709-3130-00,,,In Service,,,,,,,2014,,
1833,,,,,20150413,,1001817397,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20150413,,,Engineering,Surrey,,,No,1709-3130-00,,,In Service,,,,,,,2014,,
1834,,,,,20150413,,1001817380,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20150413,,,Engineering,Surrey,,,No,1709-3130-00,,,In Service,,,,,,,2014,,
1835,,RBRC,,,20150413,,1001563182,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20150413,,,Engineering,Surrey,,,No,1709-3130-00,,,In Service,,,,,,,2014,,
1836,,,,,20150413,,1001817413,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20150413,,,Engineering,Surrey,,,No,1709-3130-00,,,In Service,,,,,,,2014,,
1837,,RBRC,,,20150413,,1001563190,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20150413,,,Engineering,Surrey,,,No,1709-3130-00,,,In Service,,,,,,,2014,,
1838,,,,,20150413,,1001817520,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20150413,,,Engineering,Surrey,,,No,1709-3130-00,,,In Service,,,,,,,2014,,
1839,,,,,20150413,,1001817515,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20150413,,,Engineering,Surrey,,,No,1709-3130-00,,,In Service,,,,,,,2014,,
1840,,,,,20150413,,1001817533,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20150413,,,Engineering,Surrey,,,No,1709-3130-00,,,In Service,,,,,,,2014,,
1841,,,,,20150217,,1001808605,,Final AB,,,,,,Engineering,,011,Concrete,1,Island,,20151005,,,Engineering,Surrey,,,No,7807-0226-00,,,In Service,,,,,,,2014,,
1842,,,,,20150217,,1001808606,,Final AB,,,,,,Engineering,,011,Concrete,1,Island,,20151005,,,Engineering,Surrey,,,No,7807-0226-00,,,In Service,,,,,,,2014,,
1843,,,,,20160823,,1001845150,,Initial AB,,,,,,Engineering,,,Concrete,0,Central,,20160823,,,Engineering,Surrey,,,No,7812-0312-00,,,In Service,,,,,,,2016,,
1844,,,,,20101206,,1001184120,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20160919,,,Engineering,Surrey,,,No,1705-3030-00,,,In Service,,,,,,,2005,,
1845,,,,,20150604,,1001079294,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20150604,,,Engineering,Surrey,,,No,1706-6140-00,,,In Service,,,,,,,2008,,
1846,,,,,20150217,,1001808604,,Final AB,,,,,,Engineering,,011,Concrete,1,Island,,20151005,,,Engineering,Surrey,,,No,7807-0226-00,,,In Service,,,,,,,2014,,
1847,,,,,20101206,,1001184121,,Final AB,,,,,,Engineering,,,Concrete,1,Island,,20160919,,,Engineering,Surrey,,,No,1705-3030-00,,,In Service,,,,,,,2005,,
1848,,,,,20101206,,1001184122,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20160919,,,Engineering,Surrey,,,No,1705-3030-00,,,In Service,,,,,,,2005,,
1849,,,,,20150625,,1001713747,,Final AB,,,,,,Engineering,,021,Concrete,0,Central,,20150625,,,Engineering,Surrey,,,No,1713-3120-00,,,In Service,,,,,,,2013,,
1850,,,,,20150619,,1001828401,None,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20150619,,,Engineering,Surrey,,,No,1714-2080-00,,,In Service,,,,,,,2015,,
1851,,Digitized Via 2014 Air Photo,,,20150619,,1001828462,,,,,,,,Engineering,,,Concrete,0,Central,,20150619,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1852,,,,,20100901,,1001171604,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20170118,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
1853,,,,,20100120,,1001147253,,Final AB,,,,,,Engineering,,,Asphalt,1,Island,,20170118,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1854,,,,,20170118,,1001902772,,Final AB,,,,,,Engineering,,051,Asphalt,0,Central,,20170118,,,Engineering,Surrey,,,No,1715-3080-00,,,In Service,,,,,,,2016,,
1855,,,,,20160105,,1001852036,,,,,,,,Engineering,,,Concrete,1,Island,,20160105,,,Engineering,Private,,,Yes,,,,In Service,,,,,,,,,
