,STATUS,YR,ELEVATION,X_COORD,Y_COORD,GCM_NO,TABLET_MARKING,MONUMENT_TYPE,WEBLINK,Latitude,Longitude
232,Destroyed,1968,0.346,517763.784,5439062.13,65334,5716, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5716.tif,49.104149,-122.756627
233,Active,1964,62.859,510867.661,5449969.02,65771,5516,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5516.tif,49.202421,-122.850812
234,Destroyed,1964,5.078,509646.274,5449992.277,645499,5346, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5346.tif,49.202650,-122.867579
235,Active,1973,68.048,520742.544,5427736.267,576363,8705,HPN,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8705.tif,49.002175,-122.716397
236,Active,1964,73.44,510433.239,5446754.29,543439,5341,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5341.tif,49.173511,-122.856860
237,Active,1973,99.858,508410.846,5446588.558,543827,8794,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8794.tif,49.172051,-122.884609
238,Active,1964,68.273,508709.04,5447966.186,543934,5306,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5306.tif,49.184439,-122.880489
239,Destroyed,1981,8.088,522151.983,5447592.255,421693,81H4523, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/81H4523.tif,49.180737,-122.696038
240,Active,1980,37.799,512487.263,5441499.579,719047,8747,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8747.tif,49.126204,-122.828842
241,Destroyed,1966,67.47,513259.563,5442338.543,646497,5452, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5452.tif,49.133735,-122.818229
242,Active,1968,22.689,516946.74,5429323.342,577171,5761,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5761.tif,49.016567,-122.768228
243,Active,1980,70.894,510606.338,5446365.067,578278,8793,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8793.tif,49.170007,-122.854495
244,Destroyed,1968,2.188,519114.206,5439473.434,578344,5828, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5828.tif,49.107808,-122.738106
245,Active,1966,88.362,512107.301,5431269.881,545905,5468,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5468.tif,49.034191,-122.834356
246,Destroyed,1984,83.455,516945.566,5433160.285,423236,84H0590, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/84H0590.tif,49.051082,-122.768084
247,Destroyed,1966,81.552,511280.886,5448754.177,423566,5804, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5804.tif,49.191485,-122.845174
248,Active,1964,16.999,520155.618,5430962.843,31393,5105,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5105.tif,49.031219,-122.724261
249,Active,1968,89.08,515302.708,5446388.967,32243,5267,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5267.tif,49.170122,-122.790066
250,Active,1968,20.822,512910.436,5434662.314,317099,5642,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5642.tif,49.064692,-122.823260
251,Active,1968,74.333,512261.154,5439903.329,318279,5603,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5603.tif,49.111850,-122.831990
252,Active,1971,38.068,517753.268,5443694.226,261545,8605,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8605.tif,49.145816,-122.756567
253,Destroyed,1964,55.639,522551.946,5440744.559,262550,5016, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5016.tif,49.119126,-122.690933
