,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
1078,,,Woody - C, ,,,,"Horticulture Bed; Island, 14099 17 Ave",1001436683,Area 9,14099,0,,0708-000000407,On island - maintained by Volunteer,Parks,,122,,20121016,Island - 14099 17 Ave,Island,Parks,,Island - 14099 17 Ave,,122-18,01700,,,OPERATING,,,,,,,
1079,,,Woody - C, ,,,,"Horticulture Bed; Island, 1640 138b St",1001436684,Area 9,01640,0,,0708-000000408,Most of island,Parks,,122,,20121016,Island - 1640 138b St,Island,Parks,,Island - 1640 138b St,,122-19,13870,,,OPERATING,,,,,,,
1080,,,Woody - C, ,,,,"Horticulture Bed; Island, 1690 138b St",1001436685,Area 9,01690,0,,0708-000000409,Entire island,Parks,,122,,20121016,Island - 1690 138b St,Island,Parks,,Island - 1690 138b St,,122-20,13870,,,OPERATING,,,,,,,
1081,,,Woody - C, ,,,,"Horticulture Bed; Island, 2010 137a St",1001436686,Area 9,02010,0,,0708-000000419,Entire island,Parks,,122,,20121016,Island - 2010 137a St,Island,Parks,,Island - 2010 137a St,,122-21,13750,,,OPERATING,,,,,,,
1082,,,Woody - C, ,,,,"Horticulture Bed; Island, 2038 137a St",1001436687,Area 9,02038,0,,0708-000000418,Entire island,Parks,,122,,20121016,Island - 2038 137a St,Island,Parks,,Island - 2038 137a St,,122-22,13750,,,OPERATING,,,,,,,
1083,,,Mixed, ,,,20091126,"Horticulture Bed; Median, Fraser Hwy - 190 St to 192 St",1001437323,Contract,19000,0,20090626,0708-000001274,along median,Parks,,068,,20121016,"Median, Fraser Hwy - 190 St to 192 St",Median,Parks,,Median - Fraser Hwy - 190 to 192,,068-17,00101,,,OPERATING,20091120165800,,,,,,
1084,,,Mixed, ,,,20110718,"Horticulture Bed; Median, 64 Ave - 191 St to 192 St",1001437417,Area 5,19100,0,20100501,0708-000001332,along median,Parks,,078,,20121016,"Median, 64 Ave - 191 St to 192 St",Median,Parks,,Median - 64 Ave - 191 to 192,,078-24,06400,,,OPERATING,20110718111800,,,,,,
1085,,,Mixed, ,,,,"Horticulture Bed; Median, 104 Ave - 157 St to 158 St",1001436880,Contract,15700,0,20031002,0708-000001084,On median,Parks,,014,,20121016,"Median, 104 Ave - 157 St to 158 St",Median,Parks,,Median - 104 Ave - 157 to 158,,014-06,10400,,,OPERATING,20031114094900,,,,,,
1086,,,Mixed, ,,,,"Horticulture Bed; Median, 104 Ave - 158 St to 159 St",1001436881,Contract,15800,0,20031002,0708-000001086,On median,Parks,,014,,20121016,"Median, 104 Ave - 158 St to 159 St",Median,Parks,,Median - 104 Ave - 158 to 159,,014-07,10400,,,OPERATING,20031114095200,,,,,,
1087,,,Woody,additional 125 m2 installed 2006-12-13,,,,"Horticulture Bed; Median, 110 Ave - 154 St to 155 St",1001436882,Contract,15400,0,20060214,0708-000000597,on median,Parks,,014,,20121016,"Median, 110 Ave - 154 St to 155 St",Median,Parks,,Median - 110 Ave - 154 to 155,,014-08,11000,,,OPERATING,20060309124600,,,,,,
