,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
329,,,Mixed,Recoverable Site,,,20170403,Planters; Grandview Heights Aquatic Centre Grounds; 16855 24 Ave,1001925545,Area 9,16855,,20170403,1001925544,entrance of aquatic centre,Parks,,116,,20170406,Grandview Heights Aquatic Centre Grounds; 16855 24 Ave,Land,Parks,,Grandview Heights Aquatic Grounds; 16855 24 Ave,,116-02,02400,,,OPERATING,,,,,,,
330,,,Mixed,Recoverable Site,,,20170403,Horticulture Bed; Grandview Heights Aquatic Centre Grounds; 16855 24 Ave,1001925550,Area 9,16855,,20170403,,throughout parking lot,Parks,,116,,20170406,Grandview Heights Aquatic Centre Grounds; 16855 24 Ave,Land,Parks,,Grandview Heights Aquatic Grounds; 16855 24 Ave,,116-03,02400,,,OPERATING,,,,,,,
331,,,Complex, ,,,20160930,"Horticulture Bed; Bear Creek Park, 13750 - 88 Ave",1001893550,Area 4,13750,0,,1001437249,south and east edges of caretaker compound/workshop,Parks,,042,,20170913,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-16,08800,,,OPERATING,,,,,,,
332,,,Complex,Sensory Garden,,,20170913,"Horticulture Bed; Bear Creek Park, 13750 - 88 Ave",1001946605,Area 4,13750,0,20170912,1001893550,Sensory Garden,Parks,,042,,20170913,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-16,08800,,,OPERATING,,,,,,,
333,,,,,,,20171205,"Horticulture Bed; Elgin Heritage Park, 13723 - Crescent Rd",1001970720,Area 10,13723,,20171205,,next to Farmhouse/Washroom,Parks,,102,,20171205,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,,Elgin Heritage Park,,102-16,80403,,,OPERATING,,,,,,,
334,,,,,,,20171205,"Horticulture Bed; Elgin Heritage Park, 13723 - Crescent Rd",1001970722,Area 10,13723,,20171205,,rose bush adjacent to marina,Parks,,102,,20171205,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,,Elgin Heritage Park,,102-17,80403,,,OPERATING,,,,,,,
335,,,Woody - A/B, ,,,20090407,"Horticulture Bed; Clayton Park, 18513 70 Ave",1001437291,Area 7,18513,0,,0708-000000842,W. Side Of Parking Lot,Parks,,068,,20180122,"Clayton Park, 18513 70 Ave",Park,Parks,,Clayton Park,,068-14,07000,,,OPERATING,,,,,,,
336,,,,,,,20180122,"Swale Horticulture Bed; Blvd, Oak Meadows Dr - 23A  Ave to 23 Ave - E side",1001981150,Bioswale,02350,,,,along Oak Meadows Dr from 23A Ave to 23 Ave,Parks,,125,,20180122,Oak Meadows Dr - 23A  Ave to 23 Ave - E side,Land,Parks,,Oak Meadows Dr - 23A  Ave to 23 Ave - E side,,125-03,16395,,,OPERATING,,,,,,,
337,,,Woody - C, ,,,,"Horticulture Bed; Island, 3800 156b St",1001436528,Area 9,03800,0,20050407,0708-000000040,on island,Parks,,104,,20121016,Island - 3800 156b St,Island,Parks,,Island - 3800 156b St,,104-15,15670,,,OPERATING,20051028131900,,,,,,
338,,,Woody - C, ,,,,"Horticulture Bed; Island, 3600 156a St",1001436529,Area 9,03600,0,20050407,0708-000000041,on island,Parks,,104,,20121016,Island - 3600 156a St,Island,Parks,,Island - 3600 156a St,,104-16,15650,,,OPERATING,20051028132300,,,,,,
339,,,Woody - C, ,,,,"Horticulture Bed; Island, 3650 156a St",1001436530,Area 9,03650,0,20050721,0708-000000046,on island,Parks,,104,,20121016,Island - 3650 156a St,Island,Parks,,Island - 3650 156a St,,104-17,15650,,,OPERATING,20051028132600,,,,,,
340,,,Woody - C, ,,,,"Horticulture Bed; Island, 3400 155 St",1001436531,Area 9,03400,0,20050721,0708-000000069,on island,Parks,,104,,20121016,Island - 3400 155 St,Island,Parks,,Island - 3400 155 St,,104-18,15500,,,OPERATING,20051028133200,,,,,,
341,,,Mixed, ,,,,"Horticulture Bed; Island, 8 Ave & King George Blvd",1001436532,Area 9,16600,0,20041130,0708-000001115,on roundabout,Parks,,145,,20121016,Island - 8 Ave & King George Blvd,Island,Parks,,Island - 8 Ave & King George Blvd,,145-01,00800,,,OPERATING,20051019140800,,,,,,
342,,,Mixed, ,,,,"Horticulture Bed; Island, 8 Ave & 168 St",1001436533,Area 9,16800,0,20050525,0708-000001116,on roundabout,Parks,,145,,20121016,Island - 8 Ave & 168 St,Island,Parks,,Island - 8 Ave & 168 St,,145-02,00800,,,OPERATING,20051019141000,,,,,,
343,,,Woody - A/B, ,,,,"Horticulture Bed; Elgin Community Hall Grounds, 14250 Crescent Rd",1001436538,Area 10,14250,0,20020222,0708-000001016,"Corner of 142A Street and Crescent Road, closest to stop sign,",Parks,,102,,20121016,"Elgin Community Hall Grounds, 14250 Crescent Rd",Land,Parks,,Elgin Community Hall Grounds,,102-01,80403,,,OPERATING,20020813131900,,,,,,
344,,,Woody - A/B, ,,,,"Horticulture Bed; Elgin Community Hall, 14250 - Crescent Rd",1001436539,Area 10,14250,0,,0708-000000011,North Perimeter of Hall,Parks,,102,,20121016,"Elgin Community Hall Grounds, 14250 Crescent Rd",Land,Parks,,Elgin Community Hall Grounds,,102-02,80403,,,OPERATING,,,,,,,
345,,,Woody - A/B, ,,,,"Horticulture Bed; Elgin Heritage Park, 13723 - Crescent Rd",1001436540,Area 10,13723,0,,0708-000000793,West Side of Stewart Farmhouse,Parks,,102,,20121016,"Elgin Heritage Park, 13723 Crescent Rd",Park,Parks,,Elgin Heritage Park,,102-03,80403,,,OPERATING,,,,,,,
346,,,Woody - C, ,,,,"Horticulture Bed; Island, 6072 186a St",1001437068,Area 9,06072,0,,0708-000000168,Entire Island,Parks,,078,,20121016,Island - 6072 186a St,Island,Parks,,Island - 6072 186a St,,078-10,18650,,,OPERATING,,,,,,,
347,,Loam,Woody,,,,,"Horticulture Bed; Median, 192 St Div - 67 Ave to 68 Ave",1001717047,Contract,06700,,20130211,,On the median,,,068,,20130717,"Median, 192 St Div - 67 Ave to 68 Ave",Median,,,Median 192 St Div - 67 to 68,,068-23,19202,,,OPERATING,,,,,,,
348,,,Mixed,,,,20150908,"Horticulture Bed; Chimney Heights Park, 14677 74 Ave",1001837392,Area 5,14677,,,,outfield of softball 1,Parks,,053,,20150908,"Chimney Heights Park, 14677 74 Ave",Park,Parks,,Chimney Heights Park,,053-08,07700,,,OPERATING,,,,,,,
349,,,,,,,20180122,"Swale Horticulture Bed; Blvd, 23 Ave - 164A St to 165 St - S side",1001981172,Bioswale,16450,,,,along 23 Ave from 164 to 165 St - 2 sites,Parks,,125,,20180122,23 Ave - 164A St to 165 St - S side,Land,Parks,,23 Ave - 164A St to 165 St - S side,,125-05,02300,,,OPERATING,,,,,,,
350,,,,,,,20180122,"Swale Horticulture Bed; Blvd, 22A Ave - 167 St to 168 St - N side",1001981170,Bioswale,16700,,,,along 22A Ave from 167 to 168 St - 5 sites,Parks,,125,,20180122,22A Ave - 167 St to 168 St - N side,Land,Parks,,22A Ave - 167 St to 168 St - N side,,125-04,02350,,,OPERATING,,,,,,,
351,,,,,,,20180122,"Swale Horticulture Bed; Blvd, Edgewood Dr - 167 St to 21Ave - N side",1001981177,Bioswale,16700,,,,along Edgewood Dr from 167 St to 21 Ave - N side,Parks,,125,,20180122,Edgewood Dr - 167 St to 21Ave - N side,Land,Parks,,Edgewood Dr - 167 St to 21Ave - N side,,125-06,02175,,,OPERATING,,,,,,,
352,,,Mixed, ,,,20090302,"Horticulture Beds; City Hall North Annex - Formerly BHU, 14255 56 Ave",1001437212,Area 8,14255,0,,0708-000001253,throughout grounds around parking areas and building foundation,Parks,,072,,20180125,"City Hall North Annex - Formerly BHU, 14255 56 Ave",Land,Parks,,City Hall North Annex,,072-12,05600,,,OPERATING,20090302095200,,,,,,
353,,,,,,,,Bed # 16w; Darts Hill Garden Park,1001437448,Area 11,01660,,,0750-000000022,,Parks,,126,,20180206,Bed # 16w; Darts Hill Garden Park,Hort Zone,Parks,,,,16w,16800,,,OPERATING,,,,,,,
354,,,,,,,,Bed # 15s; Darts Hill Garden Park,1001437447,Area 11,01660,,,0750-000000021,,Parks,,126,,20180206,Bed # 15s; Darts Hill Garden Park,Hort Zone,Parks,,,,15s,16800,,,OPERATING,,,,,,,
355,,,,,,,,Bed # 15n; Darts Hill Garden Park,1001437446,Area 11,01660,,,0750-000000020,,Parks,,126,,20180206,Bed # 15n; Darts Hill Garden Park,Hort Zone,Parks,,,,15n,16800,,,OPERATING,,,,,,,
356,,,,,,,20180604,,1002053210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,,,,,,,20180604,,1002053212,,,,,,,,,,,20180604,,,,,,,,,,,,,,,,,,
358,,,,,,,20180604,,1002053213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,,,,,,,20180604,"Planters; South Surrey Operations Centre Grounds, 2336 166 St",1002053231,,02336,,20180101,,south west corner of site,Parks,,125,,20180604,"South Surrey Operations Centre Grounds, 2336 166 St",Land,Parks,,South Surrey Operations Centre Grounds,,125-08,16600,,,OPERATING,,,,,,,
360,,,Complex,,,,20180604,"Horticulture Beds; South Surrey Operations Centre Grounds, 2336 166 St",1002053236,,02336,,20180101,,throughout Operations Yard,Parks,,125,,20180604,"South Surrey Operations Centre Grounds, 2336 166 St",Land,Parks,,South Surrey Operations Centre Grounds,,125-07,16600,,,OPERATING,,,,,,,
361,,,Woody - C, ,,,,"Horticulture Bed; Island, 14149 29 Ave",1001436639,Area 9,14149,0,,0708-000000363,Entire Island,Parks,,112,,20121016,Island - 14149 29 Ave,Island,Parks,,Island - 14149 29 Ave,,112-07,02900,,,OPERATING,,,,,,,
362,,,Woody - C, ,,,,"Horticulture Bed; Island, 14167 28a Ave",1001436640,Area 9,14167,0,,0708-000000364,Entire island,Parks,,112,,20121016,Island - 14167 28a Ave,Island,Parks,,Island - 14167 28a Ave,,112-08,02850,,,OPERATING,,,,,,,
363,,,Woody - C, ,,,,"Horticulture Bed; Island, 3105 142 St",1001436641,Area 9,03105,0,,0708-000000376,Entire island,Parks,,112,,20121016,Island - 3105 142 St,Island,Parks,,Island - 3105 142 St,,112-09,14200,,,OPERATING,,,,,,,
364,,,Woody - C, ,,,,"Horticulture Bed; Island, 14201 31 Ave",1001436642,Area 9,14201,0,,0708-000000365,Entire island,Parks,,112,,20121016,Island - 14201 31 Ave,Island,Parks,,Island - 14201- 31 Ave,,112-10,03100,,,OPERATING,,,,,,,
365,,,Woody - C, ,,,,"Horticulture Bed; Island, 14223 29a Ave",1001436643,Area 9,14223,0,,0708-000000366,Entire Island,Parks,,112,,20121016,Island - 14223 29a Ave,Island,Parks,,Island - 14223 29a Ave,,112-11,02950,,,OPERATING,,,,,,,
366,,,Woody - C, ,,,,"Horticulture Bed; Island, 14339 29a Ave",1001436644,Area 9,14339,0,,0708-000000367,Entire island,Parks,,112,,20121016,Island - 14339 29a Ave,Island,Parks,,Island - 14339 29a ave,,112-12,02950,,,OPERATING,,,,,,,
367,,,Woody - C, ,,,,"Horticulture Bed; Island, 14379 30 Ave",1001436645,Area 9,14379,0,,0708-000000368,Entire island,Parks,,112,,20121016,Island - 14379 30 Ave,Island,Parks,,Island - 14379 30 Ave,,112-13,03000,,,OPERATING,,,,,,,
368,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 127a St & 20 Ave - W corner",1001436649,Area 10,12750,0,,0708-000000257,Entire blvd,Parks,,120,,20121016,"Blvd, 127a St & 20 Ave - W corner",Boulevard,Parks,,Blvd - 127a St & 20 Ave - W corner,,120-01,02000,,,OPERATING,,,,,,,
369,,,Perennial, ,,,,"Horticulture Bed; Island, 16633 79b Ave",1001436826,Area 2,16633,0,,0708-000000083,On island,Parks,,055,,20121016,Island - 16633 79b Ave,Island,Parks,,Island - 16633 79b Ave,,055-03,07970,,,OPERATING,,,,,,,
370,,,Perennial, ,,,,"Horticulture Bed; Island, 7841 160a St",1001436827,Area 2,07841,0,,0708-000000336,Entire island,Parks,,055,,20121016,Island - 7841 160a St,Island,Parks,,Island - 7841 160a St,,055-04,16050,,,OPERATING,,,,,,,
371,,,Woody, ,,,,"Horticulture Bed; Island, 15975 89a Ave",1001436814,Area 2,15975,0,20041101,0708-000000652,entire island,Parks,,034,,20121016,Island - 15975 89a Ave,Island,Parks,,Island - 15975 89a Ave,,034-01,08950,,,OPERATING,20051028150600,,,,,,
372,,,Perennial, ,,,,"Horticulture Bed; Island, 9026 155a St",1001436815,Area 2,09026,0,,0708-000000258,entire island,Parks,,034,,20121016,Island - 9026 155a St,Island,Parks,,Island - 9026 155a St,,034-02,15550,,,OPERATING,,,,,,,
373,,,Perennial, ,,,,"Horticulture Bed; Island, 15665 81 Ave",1001436816,Area 2,15665,0,,0708-000000293,Entire island,Parks,,044,,20121016,Island - 15665 81 Ave,Island,Parks,,Island - 15665 81 Ave,,044-01,08100,,,OPERATING,,,,,,,
374,,,Perennial, ,,,,"Horticulture Bed; Island, 16640 84a Ave",1001436817,Area 2,16640,0,,0708-000000297,Entire island,Parks,,045,,20121016,Island - 16640 84a Ave,Island,Parks,,Island - 16640 84a Ave,,045-02,08450,,,OPERATING,,,,,,,
375,,,Mixed, ,,,20151026,"Horticulture Beds; Cloverdale Seniors Centre Grounds, 6022 176 St",1001844413,Area 7,06022,0,,1001437357,East side of building - front entrance plaza,Parks,,077,,20160411,"Cloverdale Seniors Centre Grounds, 6022 176 St",Land,Parks,,Cloverdale Seniors Centre Grounds,,077-19,17600,,,OPERATING,,,,,,,
376,,,Community Garden,,,,20140605,"Lionel Courchene Community Garden; Lionel Courchene Park, 9900 154 St",1001752530,Area 2,09900,,20140605,,east side of park along 156 St,Parks,,024,,,"Lionel Courchene Park, 9900 154 St",Park,Parks,,Lionel Courchene Park,,024-12,05400,,,OPERATING,,,,,,,
377,,,Woody, ,,,,"Horticulture Beds; Bridgeview Park, 11475 - 126A St",1001436859,Area 2,11475,0,20051001,0708-000000590,at entrance to parking lot and community centre,Parks,,000,,20121016,"Bridgeview Park, 11475 126A St",Park,Parks,,Bridgeview Park,,000-01,12650,,,OPERATING,,,,,,,
378,,,Perennial, ,,,,"Horticulture Bed; Blvd, 132 St - 110 Ave to 111 Ave - W side",1001436866,Area 3,11000,0,,0708-000000236,On blvd,Parks,,011,,20121016,"Blvd, 132 St - 110 Ave to 111 Ave - W side",Boulevard,Parks,,Blvd - 132 St - 110 to 111 - W side,,011-07,13200,,,OPERATING,,,,,,,
379,,,Woody - C, ,,,,"Horticulture Bed; Island, 6469 131a St",1001436976,Area 2,06469,0,,0708-000000094,Entire island,Parks,,061,,20121016,Island - 6469 131a St,Island,Parks,,Island - 6469 131a St,,061-04,13150,,,OPERATING,,,,,,,
380,,,Woody - A/B, ,,,20100108,"Horticulture Bed; Cloverdale Seniors Centre Grounds, 6022 176 St",1001437356,Area 7,06022,0,,0708-000000866,NW corner of 60 Ave parking lot,Parks,,077,,20121016,"Cloverdale Seniors Centre Grounds, 6022 176 St",Land,Parks,,Cloverdale Seniors Centre Grounds,,077-18,17600,,,OPERATING,,,,,,,
381,,,Woody - A/B, ,,,20100108,"Horticulture Bed; Cloverdale Seniors Centre Grounds, 6022 176 St",1001437358,Area 7,06022,0,,0708-000000732,west side of building - north large bed,Parks,,077,,20121016,"Cloverdale Seniors Centre Grounds, 6022 176 St",Land,Parks,,Cloverdale Seniors Centre Grounds,,077-20,17600,,,OPERATING,,,,,,,
382,,,Woody - A/B, ,,,20100108,"Horticulture Beds; Cloverdale Seniors Centre Grounds, 6022 176 St",1001437359,Area 7,06022,0,,0708-000000444,west side of museum - south large bed,Parks,,077,,20121016,"Cloverdale Seniors Centre Grounds, 6022 176 St",Land,Parks,,Cloverdale Seniors Centre Grounds,,077-21,17600,,,OPERATING,,,,,,,
383,,,Woody - A/B, ,,,20100108,"Horticulture Bed; Cloverdale Arena Grounds, 6090 176 St",1001437360,Area 7,06090,0,,0708-000000906,NE corner of Arena,Parks,,077,,20121016,"Cloverdale Arena Grounds, 6090 176 St",Land,Parks,,Cloverdale Arena Grounds,,077-22,17600,,,OPERATING,,,,,,,
384,,,Woody - A/B,"as of May 2012, no plants in this bed... just maintain for weeds",,,20100108,"Horticulture Beds; Cloverdale Arena Grounds, 6090 176 St",1001437361,Area 7,06090,0,,0708-000000869,South Side of Building,Parks,,077,,20121016,"Cloverdale Arena Grounds, 6090 176 St",Land,Parks,,Cloverdale Arena Grounds,,077-23,17600,,,OPERATING,,,,,,,
385,,,Woody - A/B, ,,,20100108,"Horticulture Beds; Cloverdale Curling Rink Grounds, 6150 176 St",1001437362,Area 7,06150,0,,0708-000000868,East Side of Building,Parks,,077,,20121016,"Cloverdale Curling Rink Grounds, 6150 176 St",Land,Parks,,Cloverdale Curling Rink Grounds,,077-24,17600,,,OPERATING,,,,,,,
386,,,Woody - C, ,,,,"Horticulture Beds; Bay Ridge Park, 14284 18a Ave",1001436560,Area 10,14284,0,,0708-000000625,18A Ave Entrance - Either Side Of Path,Parks,,122,,20121016,"Bay Ridge Park, 14284 18a Ave",Park,Parks,,Bay Ridge Park,,122-04,01850,,,OPERATING,,,,,,,
387,,,Woody - C, ,,,,"Horticulture Beds; 123B - Greenbelt, 14923 - 21 Ave",1001436561,Area 10,14923,0,,0708-000000066,scattered throughout site,Parks,,123,,20121016,"123B - Greenbelt, 14923 21 Ave",Park,Parks,,123B - Greenbelt,,123-01,02100,,,OPERATING,,,,,,,
388,,,Woody - C, ,,,,"Horticulture Beds; 123C - Walkway, 14922 20A Ave",1001436562,Area 10,14922,0,,0708-000000070,Between 20A Ave & 149 St Entrances,Parks,,123,,20121016,"123C - Walkway, 14922 20A Ave",Park,Parks,,123C - Walkway,,123-02,02050,,,OPERATING,,,,,,,
389,,,Woody - C, ,,,,"Horticulture Beds; Southmere Village Park, 1701 Martin Dr",1001436563,Area 10,01929,0,,0708-000000726,Southmere Cres. Entrance,Parks,,123,,20130807,"Southmere Village Park, 1701 Martin Dr",Park,Parks,,Southmere Village Park,,123-03,14907,,,OPERATING,,,,,,,
390,,,Mixed, ,,,,"Horticulture Beds; Meridian By The Sea Park, 2040 - 150 St",1001436564,Area 10,02040,0,,0708-000000531,Perimeter of Pavilion,Parks,,123,,20121016,"Meridian By The Sea Park, 2040 150 St",Park,Parks,,Meridian by the Sea Park,,123-04,15000,,,OPERATING,,,,,,,
391,,,Woody - A/B, ,,,,"Horticulture Beds; Meridian By The Sea Park, 2040 - 150 St",1001436565,Area 10,02040,0,,0708-000000051,N. End Of Park,Parks,,123,,20121016,"Meridian By The Sea Park, 2040 150 St",Park,Parks,,Meridian by the Sea Park,,123-04,15000,,,OPERATING,,,,,,,
392,,,Mixed, ,,,,"Horticulture Bed; Semiahmoo Library & RCMP Grounds, 1815 152 St",1001436566,Area 10,01815,0,20030710,0708-000001068,north east corner of building,Parks,,123,,20121016,"Semiahmoo Library & RCMP Grounds, 1815 152 St",Land,Parks,,Semiahmoo Library & RCMP Grounds,,123-05,15200,,,OPERATING,20031114080900,,,,,,
393,,,Woody - C, ,,,,"Horticulture Bed; Island, 2018 131b St",1001436721,Area 9,02018,0,,0708-000001137,bed on island,Parks,,121,,20121016,Island - 2018 131b St,Island,Parks,,Island - 2018 131b St,,121-28,13170,,,OPERATING,20060203130800,,,,,,
394,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 20 Ave & 131b St - NW corner",1001436722,Area 10,02000,0,,0708-000001138,"bed on blvd, NW corner",Parks,,121,,20121016,"Blvd, 20 Ave & 131b St - NW corner",Boulevard,Parks,,Blvd - 20 Ave & 131b St - NW corner,,121-28,13170,,,OPERATING,20060203131100,,,,,,
395,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 20 Ave & 131b St - NE corner",1001436723,Area 10,02000,0,,0708-000001139,"bed on blvd, NE corner",Parks,,121,,20121016,"Blvd, 20 Ave & 131b St - NE corner",Boulevard,Parks,,Blvd - 20 Ave & 131b St - NE corner,,121-28,13170,,,OPERATING,20060203131300,,,,,,
396,,,Woody - C, ,,,,"Horticulture Bed; Island, 2010 132a St",1001436724,Area 9,02010,0,,0708-000001140,bed on island,Parks,,121,,20121016,Island - 2010 132a St,Island,Parks,,Island - 2010 132a St,,121-29,13250,,,OPERATING,20060203132000,,,,,,
397,,,Woody - C, ,,,,"Horticulture Bed; Island, 13555 23a Ave",1001436725,Area 9,13555,0,,0708-000001141,bed on island,Parks,,121,,20121016,Island - 13555 23a Ave,Island,Parks,,Island - 13555 23a Ave,,121-30,02350,,,OPERATING,20060203132300,,,,,,
398,,,Woody, ,,,,"Horticulture Bed; Island, 7319 146a St",1001436757,Area 2,07319,0,20010316,0708-000001076,entire island,Parks,,053,,20121016,Island - 7319 146a St,Island,Parks,,Island - 7319 146a St,,053-03,14650,,,OPERATING,20031114085700,,,,,,
399,,,,median rain garden,,,20160906,"Horticulture Bed; Bear Creek Park, 13750 88 Ave",1001890772,Area 4,13750,,,,within parking lot along 140 st and 83a Ave,Parks,,042,,20160906,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,,042-39,08800,,,OPERATING,,,,,,,
400,,,Pernnial, ,,,,"Horticulture Bed; Island, 10345 146 St",1001436760,Area 2,10345,0,20011011,0708-000001018,On island on 146 St in front of Superstore,Parks,,023,,20121016,Island - 10345 146 St,Island,Parks,,Island - 10345 146 St,,023-01,14600,,,OPERATING,20020815082100,,,,,,
401,,,Woody, ,,,,"Horticulture Bed; Island, 8688 168a St",1001436761,Area 2,08688,0,20031113,0708-000001099,entire island,Parks,,046,,20121016,Island - 8688 168a St,Island,Parks,,Island - 8688 168a St,,046-01,16850,,,OPERATING,20040319095900,,,,,,
402,,,Perennial, ,,,,"Horticulture Bed; Island, 10414 Fraserglen Dr",1001436762,Area 2,10414,0,,0708-000000219,entire island,Parks,,015,,20121016,Island - 10414 Fraserglen Dr,Island,Parks,,Island - 10414 Fraserglen Dr,,015-01,16305,,,OPERATING,,,,,,,
403,,,Perennial, ,,,,"Horticulture Bed; Island, 10438 Oak Gate",1001436763,Area 2,10438,0,,0708-000000223,Entire Island,Parks,,015,,20121016,Island - 10438 Oak Gate,Island,Parks,,Island - 10438 Oak Gate,,015-02,16615,,,OPERATING,,,,,,,
404,,,Mixed, ,,,,"Horticulture Bed; Median, 128 St - 63 Ave to 64 Ave",1001437032,Area 5,06300,0,20050722,0708-000000065,on median,Parks,,070,,20121016,"Median, 128 St - 63 Ave to 64 Ave",Median,Parks,,Median - 128 St - 63 to 64,,070-21,12800,,,OPERATING,20060309101700,,,,,,
405,,,Mixed,,,,20160923,"Horticulture Bed; Median, 160 St - 98 Ave to 99 Ave",1001893005,Contract,09800,,20160923,,on median,Parks,,025,,20160923,"Median, 160 St - 98 Ave to 99 Ave",Median,Parks,,Median - 160 St - 98 Ave to 99 Ave,,025-05,16000,,,OPERATING,,,,,,,
406,,,Perennial, ,,,,"Horticulture Bed; Blvd, 144 St - 88 Ave to 89a Ave - W side",1001436913,Contract,08800,0,,0708-000000500,along W side of 144 St and N side of 88 Ave,Parks,,032,,20160906,"Blvd, 144 St - 88 Ave to 89a Ave - W side",Boulevard,Parks,,Blvd - 144 St - 88 to 89a - W side,,032-01,14400,,,OPERATING,,,,,,,
407,,,Perennial, ,,,,"Horticulture Bed; Blvd, 144 St - 90 Ave to 91 Ave - W side",1001436914,Contract,09000,0,,0708-000000502,On blvd,Parks,,032,,20160906,"Blvd, 144 St - 90 Ave to 91 Ave - W side",Boulevard,Parks,,Blvd - 144 St - 90 to 91 - W side,,032-02,14400,,,OPERATING,,,,,,,
408,,,Mixed,,,,20160923,"Horticulture Bed; Median, 160 St - 100 Ave to 101A Ave",1001893010,Contract,10000,,20160923,,on median,Parks,,025,,20160923,"Median, 160 St - 100 Ave to 101A Ave",Median,Parks,,Median - 160 St - 100 Ave to 101A Ave,,025-07,16000,,,OPERATING,,,,,,,
409,,,Mixed, ,,,,"Horticulture Beds; Median, 63 Ave - 167a St to 168 St",1001437045,Area 5,16750,0,20040902,0708-000000579,on median,Parks,,075,,20121016,"Median, 63 Ave - 167a St to 168 St",Median,Parks,,Median - 63 Ave - 167a to 168,,075-02,06300,,,OPERATING,20051028143600,,,,,,
410,,,Mixed, ,,,,"Horticulture Bed; Median, 168 St - 60 Ave to 61 Ave",1001437047,Area 5,06000,0,20051118,0708-000000281,on median,Parks,,075,,20121016,"Median, 168 St - 60 Ave to 61 Ave",Median,Parks,,Median - 168 St - 60 to 61,,075-04,16800,,,OPERATING,20060309112100,,,,,,
411,,,Perennial, ,,,,"Horticulture Bed; Island, 16653 85 Ave",1001436818,Area 2,16653,0,,0708-000000299,Entire Island,Parks,,045,,20121016,Island - 16653 85 Ave,Island,Parks,,Island - 16653 85 Ave,,045-03,08500,,,OPERATING,,,,,,,
412,,,Perennial, ,,,,"Horticulture Bed; Island, 16769 85 Ave",1001436819,Area 2,16769,0,,0708-000000301,Entire island,Parks,,045,,20121016,Island - 16769 85 Ave,Island,Parks,,Island - 16769 85 Ave,,045-04,08500,,,OPERATING,,,,,,,
413,,,Woody, ,,,,"Horticulture Beds; Island, 16770 86a Ave",1001436820,Area 2,16770,0,20031113,0708-000001102,two beds on island,Parks,,045,,20121016,Island - 16770 86a Ave,Island,Parks,,Island - 16770 86a Ave,,045-05,08650,,,OPERATING,20040319100700,,,,,,
414,,,Perennial, ,,,,"Horticulture Bed; Island, 8410 167 St",1001436821,Area 2,08410,0,,0708-000000302,Entire island,Parks,,045,,20121016,Island - 8410 167 St,Island,Parks,,Island - 8410 167 St,,045-06,16700,,,OPERATING,,,,,,,
415,,,Perennial, ,,,,"Horticulture Bed; Island, 8545 166a St",1001436822,Area 2,08545,0,,0708-000000304,Entire island,Parks,,045,,20121016,Island - 8545 166a St,Island,Parks,,Island - 8545 166a St,,045-07,16650,,,OPERATING,,,,,,,
416,,,Perennial, ,,,,"Horticulture Bed; Island, 8787 166b St",1001436823,Area 2,08787,0,,0708-000000306,Entire island,Parks,,045,,20121016,Island - 8787 166b St,Island,Parks,,Island - 8787 166b St,,045-08,16670,,,OPERATING,,,,,,,
417,,,Perennial, ,,,,"Horticulture Bed; Island, 16179 78b Ave",1001436824,Area 2,16179,0,,0708-000000328,Entire island,Parks,,055,,20121016,Island - 16179 78b Ave,Island,Parks,,Island - 16179 78b Ave,,055-01,07870,,,OPERATING,,,,,,,
418,,,Perennial, ,,,,"Horticulture Bed; Island, 16380 78 Ave",1001436825,Area 2,16380,0,,0708-000000330,Entire island,Parks,,055,,20121016,Island - 16380 78 Ave,Island,Parks,,Island - 16380 78 Ave,,055-02,07800,,,OPERATING,,,,,,,
419,,,Perennial, ,,,,"Horticulture Bed; Island, 7843 161 St",1001436828,Area 2,07843,0,,0708-000000337,Entire island,Parks,,055,,20121016,Island - 7843 161 St,Island,Parks,,Island - 7843 161 St,,055-05,16100,,,OPERATING,,,,,,,
