,BAFFLES_END1,BAFFLES_END2,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,COMMENTS,CONDITION,CONDITIONDATE,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,CRE_DATE,DESCRIPTION,EQ_NO,FACILITYID,FENCING_SIDE1,FENCING_SIDE2,GIS_ENTRY_STAGE,HABITAT,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LENGTH,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAP_PAGE,MATERIAL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PRK_BRIDGE_SPECIAL_FEATURES,PRK_TRAIL_SERVICE_CLASS,PROJECT_NO,RAILINGS_MATERIAL1,RAILINGS_MATERIAL2,REFERENCE_NO,ROAD_CODE,ROUTE_TYPE,ROUTE_TYPE2,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,TREES_PLANTED,USE_LEVEL,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
54,,,,,,,,Recreation,North Surrey 6.0K Route,Other,,,,1001403528,,,,,,,,,,,,Engineering,,,20180409,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
55,,,,,,,,Recreation,City Hall 60 minutes,Other,,,,1001403668,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
56,,,,,,,,Recreation,Newton 2.5K Route,Other,,,,1001403445,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
57,,,,,,,,Recreation,Newton Seniors Centre 3.4K Route,Other,,,,1001403447,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
58,,,,,,,,Recreation,Newton Bear Creek Park 3.1K Route,Other,,,,1001403437,,,,,,,,,,,,Engineering,,,20120528,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
59,,,,,,,,Recreation,Guildford 4.6K Route,Other,,,,1001401851,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
60,,,,,,,,Recreation,Fleetwood Route,Other,,,,1001403448,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
61,,,,,,,,Recreation,Fleetwood Surrey Sport Centre 3.6K Route,Other,,,,1001403451,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
62,,,,,,,,Recreation,Fraser Heights 3.5K Route,Other,,,,1001403260,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
63,,,,,,,,Recreation,Cloverdale Athletic Park 3.5K Route,Other,,,,1001403533,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
