,ANCILLARYROLE,ENABLED,ASSEMBLY_TYPE,ASSEMBLY_TYPE2,BLOWOFF_TYPE,FACILITYID,LEGACYID,NODE_NO,CHAMBER1_SIZE,CHAMBER1_MATERIAL,CHAMBER2_SIZE,CHAMBER2_MATERIAL,VALVE_TYPE,VALVE_SIZE,VALVE_MAKE,VALVE_MODEL,VALVE_MATERIAL,VALVE_LOCATION,BFP_TYPE,BFP_SIZE,AIR_VALVE_TYPE,AIR_VALVE_SIZE,AIR_VALVE_MAKE,AIR_VALVE_MODEL,AIR_VALVE_MATERIAL,AIR_VALVE_LOCATION,DRAIN_SYSTEM,EXTERNAL_VENTING,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
3840,,1,0,Air Valve,,1000278208,11800,1892607627,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,189 ST & 76 AVE,,Initial AB,,,,,,20020501,20141231,49.140740,-122.698164
3841,,1,0,Air Valve,,1000265045,17731,1758902831,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,176 ST & 28B AVE,,Initial AB,,,,,,20020503,20141231,49.054037,-122.735496
3842,,1,0,Air Valve,,1000265036,17722,1759302378,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,24 AVE & Highway 15,,Initial AB,,,,,,20020503,20141231,49.045846,-122.735434
3843,,1,0,Air Valve,,1000265017,17703,1739302979,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,174 ST & 30 AVE,,Initial AB,,,,,,20020503,20141231,49.056737,-122.740874
3844,,1,0,Air Valve,,1000265015,17701,1721202979,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,HILLVIEW PL & 172 ST,,Initial AB,,,,,,20020503,20141231,49.056738,-122.745863
3845,,1,0,Air Valve,,1000264996,17681,1760202374,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,176 ST & 24 AVE,,Initial AB,,,,,,20020503,20141231,49.045781,-122.735170
3846,,1,0,Air Valve,,1001815306,,1935805418,,,,,,25,,,,,,,,,,,,,,,In Service,1212-5060-00,2014,Surrey,,,Final AB,,,,,,20150401,20150401,49.100741,-122.686497
3847,,1,0,Air Valve,,1001815320,,1937605409,,,,,,,,,,,,,,,,,,,,,In Service,1212-5060-00,2014,Surrey,,,Final AB,,,,,,20150401,20150401,49.100561,-122.686009
3848,,0,2,Blowoff,,1000815847,,1356208952,,,,,,50,,,,,,,,,,,,,,,Abandoned,7805-0001-00,2006,Surrey,,,Final AB,,,,,,20070108,20150407,49.165010,-122.846032
3849,,1,2,Blowoff,,1001815861,,1354308955,,,,,,50,,,,,,,,,,,,,,,In Service,,2014,Surrey,,,,,,,,,20150407,20150407,49.165064,-122.846548
3850,,1,2,Blowoff,,1000278930,13928,1409005866,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020502,20150428,49.109145,-122.831650
3851,,1,2,Blowoff,,1001820425,,1352309805,,,,,,,,,CAS,,,,,,,,,,,,Proposed,7809-0177-00,2014,Surrey,,,EC,,,,,,20150428,20150428,49.180450,-122.847051
3852,,1,0,Air Valve,,1000270530,5882,1498910456,150,PVC,,,,,,,,,,,,50,,,,,,,In Service,,2006,Surrey,104 AVE & 150 ST,,Initial AB,,,,,,20020426,20150512,49.192167,-122.806540
3853,,1,0,Air Valve,,1001822232,,1759905354,,,,,,25,,,,,,,,25,,,,,,,In Service,1211-9010-00,2014,Surrey,,In a 1050 MH,Initial AB,,,,,,20150512,20150512,49.099693,-122.734988
3854,,1,0,Air Valve,,1000267592,11007,1290907831,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,129 ST & 78 AVE,,Initial AB,,,,,,20020501,20150609,49.144743,-122.864101
3855,,1,2,Blowoff,,1001778676,,1572102826,,,,,,50,,,CAS,,,,,,,,,,,,In Service,7811-0287-00,2015,Surrey,,,Final AB,,,,,,20140902,20150902,49.054067,-122.786932
3856,,1,2,Blowoff,,1001840334,,1679909663,,,,,,200,,,CAS,,,,,,,,,,,,Proposed,7813-0185-00,2015,Surrey,,,EC,,,,,,20150925,20150925,49.177719,-122.756637
3857,,1,2,Blowoff,,1000279271,22757,1668506316,,,,,,100,,,,,,,,,,,,,,,In Service,7896-0353-00,2003,Surrey,,,Final AB,,,,,,20030814,20151013,49.117154,-122.760086
3858,,1,2,Blowoff,,1000279268,22752,1655006324,,,,,,100,,,,,,,,,,,,,,,In Service,7896-0353-00,2003,Surrey,,,Final AB,,,,,,20030813,20151013,49.117305,-122.763797
3859,,0,0,Air Valve,,1000277465,8735,1316608813,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020430,20111221,49.162513,-122.856963
3860,,0,0,Air Valve,,1000271020,3851,1201409812,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020425,20111221,49.180612,-122.888709
3861,,1,1,Blowdown,,1000271736,6344,1277008989,,,,,,,,,,,,,,,,,,,,,In Service,,,Metro Vancouver,,,,,,,,,20020429,20140509,49.165711,-122.867879
3862,,1,2,Blowoff,,1001592985,,1489406192,,,,,,50,,,,,,,,,,,,,,,In Service,7810-0293-00,2013,Surrey,,,Final AB,,,,,,20130423,20130423,49.115015,-122.809450
3863,,1,2,Blowoff,,1001225762,,1630402516,,,,,,50,,,,,,,,,,,,,,,In Service,7805-0126-02,2011,Surrey,,,Final AB,,,,,,20120106,20120110,49.048422,-122.770887
3864,,1,2,Blowoff,,1001225877,,1622902625,,,,,,50,,,,,,,,,,,,,,,In Service,7805-0126-02,2011,Surrey,,,Final AB,,,,,,20120109,20120110,49.050390,-122.772950
3865,,1,1,Blowdown,,1001226007,,1202808214,1200,CO,,,Gate,250,,,,,,,,,,,,,,,In Service,7806-0367-00,2012,Surrey,,,Final AB,,,,,,20120110,20120301,49.151709,-122.888398
3866,,1,2,Blowoff,,1001209256,,1635400795,,,,,,50,,,,,,,,,,,,,,,In Service,7810-0232-00,2011,Surrey,,,Final AB,,,,,,20120110,20120202,49.017268,-122.769671
3867,,1,1,Blowdown,,1000802216,,1366510012,,,,,,50,,,,,,,,,,,,,,,In Service,,2006,Surrey,,,Final AB,,,,,,20060929,20120223,49.184187,-122.843132
3868,,1,2,Blowoff,,1001213378,,1172410472,,,,,,,,,,,,,,,,,,,,,In Service,7805-0143-00,2009,Surrey,,,Final AB,,,,,,20110919,20120228,49.192579,-122.896684
3869,,1,2,Blowoff,,1001213477,,1196810512,,,,,,,,,,,,,,,,,,,,,In Service,7805-0143-00,2009,Surrey,,,Final AB,,,,,,20110919,20120228,49.193291,-122.889964
3870,,1,2,Blowoff,,1000271266,4708,1489010161,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020425,20120305,49.186832,-122.809292
3871,,1,2,Blowoff,,1001423839,,1566307656,,,,,,50,,,,,,,,,,,,,,,In Service,7811-0085-00,2013,Surrey,,,Final AB,,,,,,20120830,20130506,49.141457,-122.788147
3872,,1,2,Blowoff,,1001212387,,1945407388,,,,,,50,,,,,,,,,,,,,,,In Service,7807-0086-00,2010,Surrey,,,Final AB,,,,,,20110909,20120315,49.136370,-122.683630
3873,,1,2,Blowoff,,1001359781,,1873007144,,,,,,50,,,,,,,,,,,,,,,In Service,7806-0103-00,2012,Surrey,,,Final AB,,,,,,20120203,20120402,49.132010,-122.703606
3874,,1,2,Blowoff,,1000264911,17783,1838802735,,,,,,,,,,,,,,,,,,,,,In Service,,,Metro Vancouver,,,,,,,,,20020503,20140509,49.052255,-122.713508
3875,,1,2,Blowoff,,1000265856,11746,1800607217,,,,,,,,,,,,,,,,,,,,,In Service,,,Metro Vancouver,,,,,,,,,20020501,20140509,49.133388,-122.723584
3876,,1,2,Blowoff,,1000266665,7027,1367509334,,,,,,,,,,,,,,,,,,,,,In Service,,,Metro Vancouver,,,,,,,,,20020429,20140509,49.171906,-122.842878
3877,,1,2,Blowoff,,1000274395,11925,1265107077,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020501,,49.131103,-122.871248
3878,,1,2,Blowoff,,1000274396,11926,1261107077,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020501,,49.131110,-122.872366
3879,,1,2,Blowoff,,1000274400,11930,1211106781,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020501,,49.125776,-122.886163
3880,,1,0,Air Valve,,1000275217,16315,1519803167,,,,,,,,,,,,,,100,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020502,20080710,49.060257,-122.801297
3881,,1,0,Air Valve,,1000275218,16316,1519803213,,,,,,,,,,,,,,100,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020502,20080710,49.061089,-122.801295
3882,,1,2,Blowoff,,1001906592,,1651202885,,,,,,50,,,DI,,,,,,,,,,,,In Service,7815-0183-00,2017,Surrey,,,Final AB,,,,,,20171016,20171016,49.055084,-122.765133
3883,,1,0,Air Valve,,1000275253,16359,1480503224,,,,,,,,,,,,,,200,,,,,,,Abandoned,7895-0184-00,2006,Surrey,,SEE WD-103-018,Final AB,,,,,,20020502,20080312,49.061301,-122.812131
