,CONTAINER_TYPE,CONTAINER_TYPE2,FACILITYID,DESCRIPTION,LEGACYID,CONTAINER_NO,SURFACE_TREATMENT,SERVICE_LEVEL,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS_PARKS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_COST,INSERVICE_DATE,YRS_LIFE_EXPECTANCY,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,PARK_LEGACY_ID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
1349,5,Ornamental,1001214800,,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,58A Ave E of 176 St N/Side,,,,,,,,20111004,20170518,49.108784,-122.734557
1350,1,Large Barrel,1001971228,"In-Ground Bin; Blackie Spit, 3136 McBride Ave",1001971227,777,,1,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R110-12,,,,,,,,,,,"Blackie Spit, 3136 McBride Ave",,,,,,0,0,20171211,20180124,49.058888,-122.879587
1351,1,Large Barrel,1001971229,"In-Ground Bin; Blackie Spit, 3136 McBride Ave",1001971228,776,,1,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R110-11,,,,,,,,,,,"Blackie Spit, 3136 McBride Ave",,,,,,0,0,20171211,20180124,49.058490,-122.881166
1352,1,Large Barrel,1001971252,"Litter Bin; Christopherson Steps - 120E, 2409 Christopherson Rd",,778,,3,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R120-01,,,,,,,,,,,"Christopherson Steps - 120E, 2409 Christopherson Rd",,,,,,,,20171211,20180124,49.045777,-122.882684
1353,1,Large Barrel,1001971253,"Litter Bin; Clayton Dog-Off-Leash Park, 7011 188 St",,,,2,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R068-01,,,,,,,,,,,"Clayton Dog-Off-Leash Park, 7011 188 St",,,,,,,,20171211,20180124,49.130464,-122.702211
1354,1,Large Barrel,1001971346,"Litter Bin; Dogwood Park, 13485 20 Ave",,779,,2,In Service,,,Surrey,,In Ground,,,,OPERATING,,,Parks,Parks,R121-01,,,,,,,,,,,"Dogwood Park, 13485 20 Ave",,,,,,,,20171212,20180124,49.039135,-122.849328
1355,2,Small Bin,1001930209,,,,,,In Service,,,Surrey,BS# 55892,,,,,,,,Engineering,Engineering,,,,,,,,,,,,84 Ave E of 154 St S/Side,,,,,,,,20170505,20170505,49.155459,-122.796173
1356,5,Ornamental,1001930210,,,,,,In Service,,,Surrey,BS# 55867,,,,,,,,Engineering,Engineering,,,,,,,,,,,,84 Ave W of 156 St N/Side,,,,,,,,20170505,20170505,49.155588,-122.790584
1357,2,Small Bin,1001930207,,,,,,In Service,,,Surrey,BS# 55869,,,,,,,,Engineering,Engineering,,,,,,,,,,,,84 Ave E of 152 St S/Side,,,,,,,,20170505,20170505,49.155454,-122.800472
1358,2,Small Bin,1001930206,,,,,,In Service,,,Surrey,BS# 55891,,,,,,,,Engineering,Engineering,,,,,,,,,,,,84 Ave W of 152 St N/Side,,,,,,,,20170505,20170505,49.155611,-122.802009
