,AAS_ID,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DATE_CLOSED,DATE_CONSTRUCTED,DESCRIPTION,DESIGNATION,DISASTER_RESPONSE_ROUTE,FACILITYID,GCNAME,GCPREDIR,GCROADS,GCSUFDIR,GCTYPE,GIS_ENTRY_STAGE,GREENWAY,INSERVICE_COST,INSERVICE_DATE,LEFTFROM,LEFTTO,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAJOR_ROAD_NETWORK,MAP_PAGE,MATERIAL,MOD_DATE,NO_LANE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PAVING_DATE,PROJECT_NO,RD_CLASS,RIGHTFROM,RIGHTTO,ROADCODE,ROAD_CENTRELINE_TYPE,ROAD_CENTRELINE_TYPE2,ROAD_NAME,ROW_WIDTH,SPEED,STATUS,STATUS_DATE,STATUS_PARKS,STREETSWEEPING_ROUTE,STRUCTURES_INSPECTION_ROUTE,TRUCK_ROUTE,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
994,185,Offset Centreline Designation,,,19870916,,,,Translink,Secondary,1000974456,96,,96 AVE,,AVE,,,,,13701,13749,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,13702,13750,09600,0,Road,96 Ave,30,50,Open,,,TRANSLINK - T4/T5 CURBS,,Truck Routes,,,,1966,,
995,578,,,,19970425,,,,,None,1000976104,CENTRAL,,CENTRAL AVE,,AVE,,,,,13711,13823,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,13710,13806,10305,0,Road,Central Ave,24,50,Open,,,,,,,,,1974,,
996,655,,,,19870928,,,,,None,1000975893,GROSVENOR,,GROSVENOR RD,,RD,,,,,13661,13695,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,13660,13694,11110,0,Road,Grosvenor Rd,27,50,Open,,,,,,,,,1963,,
997,655,,,,19870928,,,,,None,1000980656,GROSVENOR,,GROSVENOR RD,,RD,,,,,13697,13699,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,13696,13698,11110,0,Road,Grosvenor Rd,27,50,Open,,,,,,,,,1963,,
998,655,,,,19870928,,,,,None,1000973335,GROSVENOR,,GROSVENOR RD,,RD,,,,,13733,13737,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,13724,13734,11110,0,Road,Grosvenor Rd,27,50,Open,,,,,,,,,1963,,
999,76,,,,19870929,,,,,None,1000978608,138,,138 ST,,ST,,,,,11401,11449,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,11402,11448,13800,0,Road,138 St,,50,Open,,,,,,,,,1974,,
1000,662,,,,19960821,,,,,None,1000974447,23A,,23A AVE,,AVE,,,,,13851,13999,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,13852,13998,02350,0,Road,23A Ave,,50,Open,,,,,,,,,2004,,
1001,615,,,,19870813,,,,,None,1000984013,140,,140 ST,,ST,,,,,3201,3299,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,3202,3298,14000,0,Road,140 St,24,50,Open,,,,,,,,,2007,,
1002,407,Offset Centreline Designation,,,19870916,,,,,None,1000974440,140,,140 ST,,ST,,,,,9351,9449,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,9352,9448,14000,0,Road,140 St,30,50,Open,,,,,,,,,1969,,
1003,497,,,,19870923,,,,,None,1000984736,LAUREL,,LAUREL DR,,DR,,,,,13819,13999,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,13820,13998,09680,0,Road,Laurel Dr,20,50,Open,,,,,,,,,2013,,
