,ANCILLARYROLE,ENABLED,DETENTION_POND_TYPE,DETENTION_POND_TYPE2,FACILITYID,LEGACYID,NODE_NO,LIVE_STORAGE_CAPACITY,MAX_STORAGE_DEPTH,PEAK_DISCHARGE,STATUS,OPERATING_STATUS,YR,OWNER,PROJECT_NO,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,LAST_INSP_DATE,OPS_POND_TYPE,SPILLWAY,FENCE,CRE_DATE,MOD_DATE,LEGACY_POND_NO,LEGACY_DETAIL_REPORT,Latitude,Longitude
754,,1,1,Above Ground Private,1000429428,73567,1488810130,,,,In Service,Open,1972,Private,1873,,,Final AB,,,,,,,,20060629,20101026,0630,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0630.pdf,49.186276,-122.809361
755,,1,3,Below Ground Private,1000429439,370772,1596308624,1000,,,In Service,Open,2005,Private,7801-0237-00,,SEE SS-044-732,Final AB,20060713,,,,,,,20060110,20101026,,,49.158963,-122.779810
756,,1,1,Above Ground Private,1000429459,290285,1948506251,,,,In Service,Open,1980,Private,A-094,,,Final AB,,,,,,,,20060629,20101026,0120,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0120.pdf,49.115795,-122.682909
757,,1,1,Above Ground Private,1000429529,220572,1327107100,,,,,,1990,Private,7887-3361,,,Final AB,,,,,,,,20060629,20101026,0400,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0400.pdf,49.131507,-122.854168
758,,1,1,Above Ground Private,1000429531,220574,1333507074,,,,,,1981,Private,A-352,,,Final AB,,,,,,,,20060629,20101026,0395,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0395.pdf,49.131037,-122.852397
759,,1,1,Above Ground Private,1000429532,220575,1335707051,,,,,,1982,Private,A-019,,,Final AB,,,,,,,,20060629,20101026,0397,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0397.pdf,49.130627,-122.851790
760,,1,1,Above Ground Private,1000429533,220576,1334107045,,,,,,1980,Private,9204,,,Final AB,,,,,,,,20060629,20101026,0398,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0398.pdf,49.130513,-122.852232
761,,1,1,Above Ground Private,1000429547,79496,1558710097,,,,In Service,Open,1981,Private,A168,,,Final AB,,,,,,,,20060629,20101026,0644,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0644.pdf,49.185645,-122.790055
762,,1,3,Below Ground Private,1000860259,,1602209684,22,,,In Service,Open,2006,Private,7804-0258-00,,,Final AB,,,,,,,,20080930,20101026,,,49.178144,-122.778076
763,,1,3,Below Ground Private,1000860260,,1604409685,22,,,In Service,Open,2006,Private,7804-0258-00,,,Final AB,,,,,,,,20080930,20101026,,,49.178158,-122.777490
764,,1,3,Below Ground Private,1000835199,,1765010255,,,,In Service,Open,2007,Private,7805-0086-00,,,Final AB,,,,,,,,20071018,20101026,,,49.188388,-122.733088
765,,1,0,Above Ground Municipal,1000429403,123525,1554909538,,,,In Service,Open,1990,Surrey,7888-0001-00,,,Final AB,,,,,,,,20060629,20140617,0871,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0871.pdf,49.175530,-122.791147
766,,1,0,Above Ground Municipal,1000429509,63222,1288309655,,,,In Service,Open,1981,Surrey,A-464,,,Final AB,,,,,,,,20060629,20140627,0577,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0577.pdf,49.177751,-122.864733
767,,1,3,Below Ground Private,1001755874,,1269910703,,,,In Service,Open,2014,Private,7807-0167-00,,,Final AB,,,,,,,,20140710,20140710,,,49.196731,-122.869763
768,,0,0,Above Ground Municipal,1001408457,,1410708685,,,,History,Closed,,Surrey,,,,,,,,,,,,20120417,20140718,1117,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/1117.pdf,49.160150,-122.830998
769,,1,3,Below Ground Private,1001408523,,1429607704,,,,In Service,Open,1990,Surrey,7887-0133-00,,,Final AB,,,,,,,,20120417,20140718,1009,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/1009.pdf,49.142394,-122.825850
770,,1,0,Above Ground Municipal,1001780685,,1859902389,,,,In Service,Open,2014,Surrey,7810-0301-00,,,Initial AB,,,,,,,,20140912,20140912,,,49.045970,-122.707723
771,,1,2,Below Ground Municipal,1001843964,,1905203580,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180215,20180215,,,49.067503,-122.695129
772,,1,2,Below Ground Municipal,1001843986,,1899103728,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180213,,,49.070183,-122.696793
773,,1,2,Below Ground Municipal,1001843985,,1899003728,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180213,,,49.070183,-122.696820
774,,1,2,Below Ground Municipal,1001844011,,1909603784,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180214,20180214,,,49.071179,-122.693886
775,,1,2,Below Ground Municipal,1001844012,,1909603783,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180214,20180214,,,49.071161,-122.693887
776,,1,2,Below Ground Municipal,1001843955,,1897103580,,,,In Service,Open,2017,Surrey,7814-0294-00,2017,,Initial AB,,,,,,,,20180215,20180215,,,49.067510,-122.697350
777,,1,2,Below Ground Municipal,1001843956,,1897103579,,,,In Service,Open,2017,Surrey,7814-0294-00,2017,,Initial AB,,,,,,,,20180215,20180215,,,49.067492,-122.697350
778,,1,2,Below Ground Municipal,1001843979,,1897903681,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180213,,,49.069337,-122.697126
779,,1,2,Below Ground Municipal,1001843980,,1898003681,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180213,,,49.069337,-122.697098
780,,1,2,Below Ground Municipal,1001843965,,1910603581,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180215,20180215,,,49.067515,-122.693630
781,,1,2,Below Ground Municipal,1001843966,,1910603580,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180215,20180215,,,49.067497,-122.693631
782,,1,2,Below Ground Municipal,1001843968,,1914703581,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180215,20180215,,,49.067511,-122.692527
783,,1,2,Below Ground Municipal,1001843969,,1914703580,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180215,20180215,,,49.067494,-122.692527
