,CRE_DATE,MOD_DATE,PLAN_NO,PLAN_NO_ID
2085,,,LMP 43700,78509
2086,,,80567,77331
2087,,,BCP 7777,77650
2088,,,LMP 11577,78384
2089,,,84508,77400
2090,,,P-36546,78651
2091,,,BE-188491,77692
2092,,,Y-55524,79157
2093,20140429,20140429,PPBCP40616,84543
2094,,,B 36049,77550
2095,,,LMP 45202,78516
2096,20150506,20150506,PPBCP31582,37379
2097,,,R-8372,78688
2098,20130703,20130703,EC-068-450,82851
2099,,,D-79170,77844
2100,20150506,20150506,PPBCP45444,37382
2101,,,W-104137,79076
2102,,,Y-100200,79164
2103,,,73320,77245
2104,,,G-81672,78007
2105,20140508,20140508,PPBCP42671,84604
2106,,,30611,
2107,,,D-40273,77811
2108,20160427,20160427,PPEPP60968,38111
2109,,,75434,77262
2110,,,14524,77471
2111,,,BE-325661,77715
2112,,,N-81093,78602
2113,20150506,20150506,PPEPP13389,37376
2114,,,B-24604,77548
2115,,,P.P. 9-2,79252
2116,,,P.P. 9-1,79251
2117,,,LMP 43153,78504
2118,,,78394,77300
2119,,,LMP 5124,78348
2120,,,T-77077,78926
2121,,,N-77902,78599
2122,,,F-6,
2123,,,73459,77246
2124,,,P.P. 110-3,77068
2125,,,86373,77434
2126,,,G-48353,77985
2127,,,P-217,78636
2128,20130312,20130312,PPEPP26125,82233
2129,,,83779,77392
2130,,,U-44764,79013
2131,,,C-55983,77761
2132,,,74682,77254
2133,,,BE-219172,77699
2134,,,M-2803,78536
2135,,,X-23614,79102
2136,,,85519,77421
2137,,,X-24527,79103
2138,,,C-12283,77729
2139,,,60191,77157
2140,,,P-119278,78679
2141,,,P.P. 30-1,77018
2142,,,P.P. 20-5,77012
2143,,,D-79169,77843
2144,,,S-48298,78832
2145,,,W-82145,79064
2146,,,59557,77149
2147,,,R-56204,78725
2148,,,83595,77386
2149,,,J-135317,78134
2150,20150304,20150304,PPLMP14943,86015
2151,,,P-55242,78659
2152,,,53355,77119
2153,,,83590,77385
2154,,,E-71765,77906
2155,,,K-87868,78224
2156,,,56017,77132
2157,,,N-2760,78570
2158,,,73078,77243
2159,,,76815,77280
2160,,,E-45129,77887
2161,,,P.P. 120-1,77074
2162,20120703,20120703,PPEPP19606,80887
2163,,,44520,77097
2164,,,F-74021,77956
2165,,,85498,77418
2166,,,T-47219,78900
2167,20111206,20111206,EPP14075,79799
2168,,,M-17424,78543
2169,,,88322,78798
2170,,,R-63077,78726
2171,20130312,20130312,PPEPP25538,81885
2172,,,87588,77465
2173,,,G-22646,77974
2174,,,PPBCP14935,77583
2175,,,X-73380,79125
2176,,,U-24642,78995
2177,,,D-27142,77800
2178,,,G-94919,78012
2179,,,60463,77159
2180,,,LMP 28194,78444
2181,,,P.P. 10-4,79257
2182,,,B-39024,77555
2183,,,46586,77107
2184,,,82617,77374
2185,,,76967,77283
2186,,,FIL 77237,77289
2187,,,R-18866,78698
2188,,,J-156010,78145
2189,,,86107,77428
2190,,,L-75678,78302
2191,20160427,20160427,PPEPP60108,38108
2192,,,X-22257,79100
2193,,,S-129495,78862
2194,,,S-75159,78845
2195,,,P.P. 81-1,77054
2196,,,P.P. 81-1,77054
2197,,,Y-169852,79192
2198,,,LMP 24813,78428
2199,20140502,20140502,PPBCP41610,84584
2200,,,Z-128166,79213
2201,,,BE-341312,77718
2202,,,L-76962,78305
2203,,,J-46716,78096
2204,,,W-41956,79055
2205,,,P-53156,78656
2206,,,B-42003,77560
2207,20130607,20130607,PPEPP29922,82739
2208,20130617,20130617,LMP32645,35874
2209,,,R-23745,78704
2210,,,82257,77367
2211,,,62559,77184
2212,,,T-95295,78946
2213,,,J-25173,78091
2214,,,Z-147765,79217
2215,,,S-43079,78828
2216,,,G-41899,77983
2217,,,U-44767,79014
2218,20140429,20140429,36602,84546
2219,20121126,20121126,PPEPP14908,81745
2220,,,R-18870,78701
2221,,,B-14773,77536
2222,,,P.P. 72-1,77044
2223,,,L-89576,78316
2224,,,H-117375,78069
2225,,,M-11417,78540
2226,,,B-52117,77571
2227,,,P.P. 42-1,77029
2228,,,N-82313,78604
2229,,,W-24707,79050
2230,,,K-36309,78175
2231,,,K-68841,78201
2232,,,K-28932,78166
2233,,,J-161767,78148
2234,,,51224,77115
2235,,,G-52748,77987
2236,,,H-94611,78057
2237,,,74341A,77252
2238,,,J-71895,78110
2239,,,S-43073,78823
2240,,,LMP 35027,78475
2241,,,C-26179,77741
2242,,,X-85520,79132
2243,,,NWP 88393,78801
2244,,,F-34181,77933
2245,,,D-82815,77849
2246,,,E-7082,77852
2247,,,G-7145,77971
2248,,,H-8017,78022
2249,,,LMP 15990,78397
2250,,,J-22372,78086
2251,,,LMP 21174,78410
2252,,,Y-112297,79173
2253,,,Y-112298,79174
2254,,,Y-112299,79175
2255,,,BE-309512,77712
2256,,,L-3327,78258
2257,,,X-57091,79119
2258,,,B-21722,77538
2259,,,D-10542,77777
2260,,,76885,77281
2261,,,L-72830,78301
2262,20120716,20120716,PPEPP21446,35076
2263,,,87602,77466
2264,,,R-63848,78728
2265,,,LMP 28498,78446
2266,,,J-47583,78098
2267,20150506,20150506,PPEPP13517,37377
2268,,,87373,77459
2269,,,78552,77301
2270,,,D-16009,77780
2271,,,81374,77346
2272,,,T-103067,78957
2273,,,D-53913,77819
2274,,,M-34229,78547
2275,,,R-128003,78782
2276,,,BE-198410,77697
2277,20170510,20170510,EC-103-324,38220
2278,,,F-82710,77964
2279,,,PP83-01,77055
2280,,,BCP05551,77645
2281,20150420,20150420,PPBCP48762,37314
2282,,,BCP22750,77597
2283,,,LMP 47027,78522
2284,,,P.P. 63-1,77042
2285,20170718,20170718,PPEPP62184,39112
2286,,,A-17498,77493
2287,,,E-59560,77895
2288,,,N-112511,78625
2289,,,A-27882,77500
2290,,,T-118740,78977
2291,,,K-58917,78184
2292,,,C-17076,77735
2293,,,58063,77143
2294,,,E-25777,77875
2295,,,57528,77139
2296,,,81426,77347
2297,20160121,20160121,PPEPP58170,37898
2298,,,U-6256,
2299,,,55366,77127
2300,,,P.P. 84-1,77056
2301,,,T-72037,78923
2302,,,J-71892,78107
2303,,,P.P. 43-1,77031
2304,,,M-19625,
2305,,,LMP 13848,78388
2306,,,T-60582,78915
2307,,,L-97333,78319
2308,,,K-64837,78196
2309,,,P-18755,78645
2310,20140508,20140508,PPBCP42758,84608
2311,,,64910,77210
2312,20121126,20121126,PPEPP17332,81705
2313,,,43813,77096
2314,,,P-69243,78666
2315,,,G-7022,77968
2316,,,LMP 2869,78328
2317,,,R-68780,78732
2318,,,LMP 30617,78455
2319,,,47491,77110
2320,,,T-93325,78945
2321,,,J-7427,78078
2322,,,K-103726,78232
2323,,,G-106906,78014
2324,,,K-58915,78182
2325,,,45499,77101
2326,,,P.P. 105-1,77065
2327,,,R-98339,78756
2328,,,K-83774,78214
2329,,,G-61063,77995
2330,,,75655A,77264
2331,,,J-104497,78120
2332,,,H-133658,78073
2333,,,L-81206,77343
2334,,,88394,78802
2335,,,Z-177683,79224
2336,,,BE-325662,77716
2337,,,LMP 2963,78330
2338,,,58186,77144
2339,20121126,20121126,PPEPP24930,81716
2340,,,T-47218,78899
2341,,,33418,77229
2342,,,86642,77443
2343,,,X-164076,79151
2344,,,84765,77404
2345,,,Y-108167,79168
2346,,,81108,77342
2347,,,H-32217,78029
2348,,,T-103061,78951
2349,,,M-61358,78555
2350,,,66149,77222
2351,,,LMP 29144,78448
2352,,,Y-169848,79190
2353,,,L-1389,78257
2354,,,C-58698,77764
2355,,,D-25991,77797
2356,20111206,20111206,EPP14602,79801
2357,,,LMP 45277,78517
2358,,,LMP 10298,78374
2359,,,42559,77093
2360,,,X-73375,79123
2361,,,79597,77315
2362,,,8868,77476
2363,,,H-113645,78067
2364,,,P-5787,78639
2365,,,LMP 3903,78338
2366,,,62261,77177
2367,20130605,20130605,PPEPP30205,82655
2368,,,86990,77445
2369,,,P.P. 126-2,77077
2370,,,G-63340,77999
2371,,,X-41840,79110
2372,,,81673,77350
2373,,,W-104736,79078
2374,,,PP077-03,77051
2375,,,T-20217,78886
2376,,,BE-304111,77710
2377,,,BCP22860,77598
2378,,,F-30024,77928
2379,,,LMP 37472,78484
2380,,,See Survey,
2381,,,62263,77179
2382,,,T-103062,78952
2383,,,76232,77270
2384,20130312,20130312,PPEPP26402,81889
2385,,,N-2770,78571
2386,,,LMP 43547,78507
2387,,,U-41629,79009
2388,,,E-19925,77865
2389,,,P.P. 128-1,77079
2390,20130312,20130312,PPEPP24180,81884
2391,,,81679,77354
2392,,,T-116153,78972
2393,,,BCP 19923,
2394,,,R-56201,78723
2395,,,F-42880,77943
2396,20121016,20121016,PPEPP23542,81409
2397,,,LMP 30624,78456
2398,,,LMP 35003,78474
2399,,,R-68781,78733
2400,,,NWP 88100,78794
2401,,,K-29926,78169
2402,20130312,20130312,EPP11539,82244
2403,,,P.P. 39-1,77026
2404,,,K-83775,78215
2405,,,P-3956,78638
2406,,,K-176,78152
2407,,,F-2623,77920
2408,,,See Survey,
2409,,,A 12577,77487
2410,20140514,20140514,PPW102017,84658
2411,,,K-127528,78256
2412,20130501,20130501,PPEPP29799,82416
2413,,,68760,
2414,,,LMP 4752,78346
