,CRE_DATE,MOD_DATE,PLAN_NO,PLAN_NO_ID
563,20120125,20120125,PPBCP47707,80006
564,,,61593,77170
565,,,K-64855,78200
566,,,F-66622,77954
567,,,M-15714,78542
568,,,K-36305,78172
569,,,P.P. 77-1,77049
570,,,75106,77256
571,,,P-89563,78670
572,,,T-103068,78958
573,20120703,20120703,EPP17393,80864
574,,,R-124533,78778
575,20150507,20150507,PPBCP43527,37369
576,,,74178,
577,,,D-63989,77828
578,,,D-20131,77783
579,,,G-70179,78000
580,20170718,20170718,PPEPP62891,39126
581,,,86372,77433
582,,,LMP 4553,78345
583,,,LMP 8929,78364
584,20150420,20150420,LMP43210,37313
585,20150420,20150420,PPBCP18736,37312
586,,,U-41726,79010
587,,,P.P. 79-1,77052
588,,,W-85074,79070
589,,,83347,77382
590,,,R-83879,78745
591,,,BE-94975,77685
592,,,E-35334,77880
593,,,See Survey,
594,,,61231,
595,,,L-44129,78277
596,,,NWP 88312,78797
597,,,P.P. 19-2,79268
598,,,P.P. 19-1,79267
599,,,L-90901,78318
600,,,LMP 50631,
601,,,K-107710,78234
602,,,D-58819,77826
603,,,P.P. 20-3,79272
604,,,55461,77129
605,,,LMP 31695,78460
606,20120704,20120704,PPEPP20073,80888
607,,,L-10152,78264
608,,,U-2810,
609,20160121,20160121,PPEPP55204,37895
610,,,Z-193277,79229
611,,,K-111932,78242
612,,,S-128366,78858
613,,,76156,77269
614,,,76676,77277
615,,,K-51233,78178
616,,,167282,
617,20160427,20160427,PPEPP59575,38104
618,,,P.P. 80-1,77053
619,,,C-50049,77749
620,,,7754,
621,,,80065,77321
622,,,N-50107,78586
623,,,BE-304108,77709
624,,,G-46512,77984
625,20170718,20170718,PPEPP64241,39125
626,,,D-53910,77817
627,,,P.P. 20-2,79271
628,,,A-41605,77505
629,,,46053,77103
630,,,EC-20-188,
631,,,D-10538,77776
632,,,L-81580,78309
633,,,R-8474,78693
634,,,LMP 27073,78436
635,,,LMP 27073,78436
636,,,Z-111445,79212
637,,,S-43074,78824
638,,,75424,77261
639,,,R-68778,78730
640,,,79062,77311
641,,,R-55657,78721
642,20150304,20150304,PPLMP20602,86016
643,,,56017,77132
644,,,R-18869,
645,,,H-95523,78058
646,20121016,20121016,PPEPP21917,81359
647,,,K-116195,78253
648,,,G-61828,77997
649,,,D-65149,77832
650,,,P-49275,78654
651,,,R-2065,78682
652,,,R-85878,78747
653,,,F-35531,77935
654,,,D-21877,77786
655,,,N-77903,78600
656,,,H-7998,78021
657,,,LMP 43900,78512
658,,,X-91886,79136
659,,,LMP 50479,
660,,,P.P. 60-1,77037
661,,,78994,77309
662,,,S-19597,78815
663,,,H-81860,78049
664,,,C-26178,77740
665,,,U-111575,79030
666,,,J-25174,78092
667,,,39967,77242
668,,,B-4484,77525
669,,,65397,77217
670,,,B-23606,77547
671,,,L-22498,78272
672,,,L-50516,78280
673,,,47490,77109
674,,,R-4068,78684
675,,,W-118313,79085
676,,,S-140691,78873
677,,,K-79883,78211
678,,,63803,77199
679,,,H-50535,78041
680,,,84377,77398
681,,,C-1388,77723
682,20140508,20140508,PPBCP41943,84603
683,,,W-23584,79048
684,,,87158,77452
685,,,D-3220,77772
686,,,81728,77357
687,,,N-119098,78632
688,,,E-83774,
689,,,B-20914,77537
690,,,K-113488,78251
691,,,W-21701,79043
692,,,P.P. 61-1,77038
693,,,W-167373,79097
694,,,75687,77266
695,,,U-51204,79015
696,,,LMP 29230,78450
697,,,LMP 22791,78417
698,,,LMP 53401,78532
699,,,W-11482,79035
700,,,H-95524,78059
701,,,L-76516,78304
702,,,N-93333,78606
703,,,N-93334,78608
704,,,D-37274,77806
705,,,82620,77375
706,,,B-23603,77546
707,,,63487,77195
708,,,63489,77197
709,,,62560,77185
710,,,63641,77198
711,,,L-47607,78279
712,,,P.P. 1-2,79245
713,,,K-2,78151
714,,,81720,77356
715,,,T-47220,78901
716,,,E-7094,77858
717,,,79411,77312
718,20160121,20160121,PPEPP56313,37896
719,,,H-110212,78066
720,,,U-6257,
721,,,P.P. 61-2,77039
722,20120207,20120207,PPBCP49904,80221
723,,,W-85073,79069
724,,,PP062-01,77041
725,,,T-121086,78981
726,,,80275,77323
727,,,A-17484,77492
728,,,78864,77305
729,20160121,20160121,PPEPP55095,37891
730,,,K-10303,78157
731,,,R-54936,78718
732,,,88280,78796
733,,,BCP 3446,77624
734,,,62997,77188
735,,,C-24481,77739
736,,,W-86193,79073
