,BIKE_INFRASTRUCTURE_TYPE,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,FACILITYID,HABITAT,INSERVICE_COST,INSERVICE_DATE,LENGTH,LOCATION,MATERIAL,OPERATOR,PROJECT_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,WIDTH,YR
40,Off-Street Multi-Use Pathway,,Multi-use,Oliver Greenway,Greenway,1001840379,,,,,,Asphalt,Engineering,7810-0020-00,Multi-use Pathway,In Service,,,2012
41,Off-Street Multi-Use Pathway, ,Multi-use,Oliver Greenway,Greenway,1001835109,,,,,,Other,Engineering,,Multi-use Pathway,In Service,,,
42,, ,Multi-use,Oliver Greenway,Greenway,1001911920,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
43,Off-Street Multi-Use Pathway,,Multi-use,Hook Greenway,Greenway,1001408557,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
44,, ,Multi-use,Fleetwood Greenway,Greenway,1001594037,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
45,Boulevard Multi-Use Pathway,2.35m Asp Path,Multi-use,Fraser Heights Greenway,Greenway,1001905054,,,,,,Asphalt,Engineering,3815-6020-00,Multi-use Pathway,In Service,,,2016
46,Boulevard Multi-Use Pathway,,Multi-use,Clow Greenway,Greenway,1001402317,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
47,Boulevard Separated Multi-Use Pathway,,Multi-use,,Greenway,1001956638,,,,,,Asphalt,Engineering,7813-0189-00,Multi-use Pathway,Proposed,,,
48,Off-Street Multi-Use Pathway,SEE FT01574,Multi-use,Douglas Greenway,Greenway,1001792055,,,,,,Asphalt Concrete,Engineering,7804-0411-00,Multi-use Pathway,In Service,,,2009
49,Boulevard Multi-Use Pathway,,Multi-use,Douglas Greenway,Greenway,1001403092,,,,,,Asphalt Concrete,Engineering,7806-0319-00,Multi-use Pathway,In Service,No,,2011
50,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001990851,,,,,,Asphalt,Engineering,7815-0143-00,Multi-use Pathway,Proposed,,,
51,Boulevard Multi-Use Pathway,,Multi-use,Grandview Heights Greenway,Greenway,1001812855,,,,,,Asphalt,Engineering,7814-0257-00,Multi-use Pathway,In Service,No,,2016
52,, ,Multi-use,Hook Greenway,Greenway,1001404833,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
53,Off-Street Multi-Use Pathway,(lbob new) ,Multi-use,Hook Greenway,Greenway,1001484987,,0,20020417,,along 176 St edge of site,Asphalt,Parks,,Multi-use Pathway,In Service,No,,2009
54,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001402496,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,No,,2009
55,Boulevard Multi-Use Pathway,,Multi-use,Bose Greenway,Greenway,1001434530,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
56,Boulevard Multi-Use Pathway,,Multi-use,Cloverdale Greenway,Greenway,1001778213,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
57,Boulevard Multi-Use Pathway,,Multi-use,Fleetwood Greenway,Greenway,1001952753,,0,20050201,,,Asphalt,Parks,,Multi-use Pathway,In Service,No,,2011
58,Boulevard Multi-Use Pathway,,Multi-use,Green Timbers Greenway,Greenway,1001567556,,,,,,Asphalt,Engineering,1709-3090-00,Multi-use Pathway,In Service,No,,2012
59,Off-Street Multi-Use Pathway,,Multi-use,Fraser Heights Greenway,Greenway,1001878750,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
60,,,Multi-use,Abbey Ridge Greenway,Greenway,1001954881,,,,,,Asphalt,Engineering,7816-0197-00,Multi-use Pathway,Proposed,,,
61,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Perimeter Trail,Greenway,1001402320,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
62,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Tynehead Perimeter Trail,Greenway,1001700004,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
63,, ,Multi-use,Douglas Greenway,Greenway,1001819475,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
64,Boulevard Multi-Use Pathway,,,,Greenway,1001708093,,,,,,Asphalt,Engineering,7812-0160-00,Multi-use Pathway,In Service,No,,2014
65,,,,,Greenway,1001855896,,,,,,,,,Multi-use Pathway,Proposed,,,
66,Off-Street Multi-Use Pathway,,Multi-use,Cloverdale Greenway,Greenway,1001402500,,,,,throughout park,Asphalt,Engineering,3808-6070-00,Multi-use Pathway,In Service,No,,2009
67,Boulevard Multi-Use Pathway,,Multi-use,Cloverdale Greenway,Greenway,1001434511,,,,,,Asphalt,Engineering,3807-6080-00,Multi-use Pathway,In Service,No,,2012
68,Boulevard Multi-Use Pathway,3.0m Path + 1.0m Asph. Blvd.,Multi-use,Cloverdale Greenway,Greenway,1001434513,,,,,,Asphalt,Engineering,3807-6080-00,Multi-use Pathway,In Service,No,,2012
69,Neighbourhood Bike Route,,Multi-use,North Creek Greenway,Greenway,1001402663,,,,,,Asphalt,Engineering,,Bike Route,In Service,No,,2009
70,Cycling-Permitted Sidewalk,,Multi-use,Bose Greenway,Greenway,1001558077,,,,,,Asphalt,Engineering,1710-3010-00,Bike Route,In Service,,,2012
71,,,Multi-use,Hazelgrove Greenway,Greenway,1001819481,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
72,,,Multi-use,Great Northern Greenway,Greenway,1001402883,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
73,,,Multi-use,Serpentine Flats Greenway,Greenway,1001819483,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
74,Boulevard Multi-Use Pathway,,Multi-use,Latimer Greenway,Greenway,1001413440,,,,,,Asphalt,Engineering,7810-0179-00,Multi-use Pathway,In Service,,4,2013
75,Boulevard Multi-Use Pathway,,Multi-use,Latimer Greenway,Greenway,1001421192,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2016
76,Boulevard Multi-Use Pathway,4.0m,Multi-use,Clayton Greenway,Greenway,1001434689,,,,,,Asphalt,Engineering,7805-0382-00,Multi-use Pathway,In Service,No,,2012
77,Boulevard Multi-Use Pathway,4.0m,Multi-use,Clayton Greenway,Greenway,1001434674,,,,,,,Engineering,,Multi-use Pathway,In Service,No,,2011
78,,,Multi-use,Katzie Greenway,Greenway,1001896234,,,,,,Asphalt,Engineering,7815-0306-00,Multi-use Pathway,Proposed,,,
79,Boulevard Multi-Use Pathway,3.0m,Multi-use,Clayton Greenway,Greenway,1001758911,,,,,,Clay,Engineering,1709-3160-00,Multi-use Pathway,In Service,,,2013
80,Off-Street Multi-Use Pathway,,Multi-use,Katzie Greenway,Greenway,1001713577,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
81,, ,Multi-use,Riverside Greenway,Greenway,1001401838,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
82,Off-Street Multi-Use Pathway,"(lbob new) As of July 2009, T1 now includes the segment at the north end that used to be called T3.

Northeast end fades into open, sandy area w/ sparse veg.",Multi-use,,Greenway,1001484931,,0,,,"From north most parking lot, heading northeast to*",Gravel,Parks,,Multi-use Pathway,In Service,No,3.6,2009
83,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001402462,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,2009
84,,Part of the Trans Canada Trail - Previous duplicate FACILITYID 1001402800,Multi-use,Newton Greenway,Greenway,1001563797,,,,0,,Other,Engineering,,Multi-use Pathway,Proposed,No,,
85,, ,Multi-use,Interurban Greenway,Greenway,1001402922,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
86,Boulevard Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001402551,,,,,,Asphalt,Engineering,1704-3040-00,Multi-use Pathway,In Service,No,,2007
87,, ,Multi-use,Bear Creek Greenway,Greenway,1001402793,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
88,Boulevard Separated Multi-Use Pathway, ,Multi-use,BC Parkway,Greenway,1001731788,,,,,,Other,Engineering,,Multi-use Pathway,In Service,,,2013
89,,Part of the Trans Canada Trail,Multi-use,Green Timbers Greenway,Greenway,1001403010,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
