,CRE_DATE,MOD_DATE,PLANID,PLAN_NO,PLAN_TYPE,PLAN_TYPE2,STATUS,YR
3278,20040914,20070509,2667,BCP10615,4,Right of Way,Registered,2004
3279,20060116,20070509,6065,BCP18745,4,Right of Way,Registered,2005
3280,19860516,20070509,25899,59164,4,Right of Way,Registered,1980
3281,19860218,20070509,26128,61706,4,Right of Way,Registered,1981
3282,19850801,20070509,23307,11995,4,Right of Way,,
3283,19900301,20070509,28332,83210,4,Right of Way,Registered,1989
3284,19860717,20070509,26709,67508,4,Right of Way,Registered,1984
3285,20000504,20070509,27361,74315,4,Right of Way,Registered,1987
3286,19861023,20070509,27184,72335,4,Right of Way,Registered,1986
3287,20030513,20070509,32225,LMP51551,4,Right of Way,Registered,2001
3288,20010508,20070509,31239,LMP38648,4,Right of Way,Registered,1998
3289,19881103,20070509,27209,72602,4,Right of Way,Registered,1986
3290,19890926,20070509,28181,81982,4,Right of Way,Registered,1989
3291,20040609,20070509,6859,BCP09063,4,Right of Way,Registered,2004
3292,19861016,20070509,25782,57846,4,Right of Way,Registered,1979
3293,19881028,20070509,27865,78881,4,Right of Way,Registered,1988
3294,20040510,20070509,32273,LMP52153,4,Right of Way,Registered,2001
3295,19951213,20070509,30373,LMP25088,4,Right of Way,Registered,1995
3296,19850801,20070509,23769,21300,4,Right of Way,,
3297,19860612,20070509,26027,60531,4,Right of Way,Registered,1981
3298,20040519,20070509,32489,LMP7830,4,Right of Way,Registered,1992
3299,20070314,20070509,9568,BCP17001,4,Right of Way,Registered,2005
3300,20020614,20070509,4053,LMP54157,4,Right of Way,Registered,2002
3301,19860403,20070509,24196,32993,4,Right of Way,Registered,1968
3302,19860418,20070509,25235,51667,4,Right of Way,Registered,1977
3303,19860428,20070509,27129,71783,4,Right of Way,Registered,1986
3304,19850801,20050913,12431,14662,6,Subdivision,Registered,1954
3305,19850801,20050913,23686,18150,6,Subdivision,Registered,1957
3306,19850801,20050913,11810,11898,2,Explanatory,Registered,1950
3307,19850801,20050913,24463,39409,3,Reference Plan,Registered,1971
3308,20050913,20070517,13936,23281,2,Explanatory,Registered,1961
3309,19850801,20050913,18349,7819,6,Subdivision,Registered,1944
3310,19850801,20050913,21466,NW1704,9,Strata,Registered,1981
3311,19850801,20050913,21554,NW2086,9,Strata,Registered,1983
3312,19850801,20050913,13778,21157,6,Subdivision,Registered,1959
3313,19850801,20050913,25504,54471,0,Bylaw,Registered,1978
3314,19850801,20050913,17266,66782,6,Subdivision,Registered,1983
3315,19850801,20050913,25765,57641,6,Subdivision,Registered,1979
3316,19850801,20051208,26053,61006,0,Bylaw,Registered,1981
3317,19850801,20050913,16968,63524,6,Subdivision,Registered,1981
3318,19850801,20050913,11618,1084A,6,Subdivision,Registered,1908
3319,19850801,20050913,11926,1253,3,Reference Plan,Registered,1908
3320,19881110,20050913,18515,79810,6,Subdivision,Registered,1988
3321,19891003,20060217,18212,76632,6,Subdivision,Registered,1989
3322,19900625,20080304,29334,LMP00829,6,Subdivision,Registered,1991
3323,19920529,20050913,20747,LMP4381,6,Subdivision,Registered,1992
3324,19850801,20051208,26053,61006,0,Bylaw,Registered,1981
3325,20030929,20040225,3644,BCP06636,6,Subdivision,Registered,2003
3326,20070312,20070312,10003,BCP25625,3,Reference Plan,Registered,2006
3327,20040330,20050808,3646,BCP16194,6,Subdivision,Registered,2005
3328,20040810,20050913,20881,LMP48373,3,Reference Plan,Registered,2000
3329,20040713,20050216,19502,BCS00592,9,Strata,Registered,2005
3330,19950630,20050913,32784,LMS1918,9,Strata,Registered,1995
3331,19850801,20050913,15924,53171,6,Subdivision,Registered,1977
3332,19850801,20050913,16882,6274,6,Subdivision,Registered,1939
3333,19850801,20050913,28977,9082,2,Explanatory,Registered,1944
3334,19850801,20050913,15250,43763,6,Subdivision,Registered,1973
3335,19850801,20050913,11914,12456,6,Subdivision,Registered,1951
3336,19850801,20050913,12184,13654,6,Subdivision,Registered,1953
3337,20050913,20070507,13499,19469,2,Explanatory,Registered,1966
3338,19850801,20050913,17339,67366,6,Subdivision,Registered,1983
3339,19850801,20050913,16927,63139,6,Subdivision,Registered,1981
3340,19850801,20050913,17081,64958,6,Subdivision,Registered,1982
3341,19850801,20050913,15639,4968,6,Subdivision,Registered,1931
3342,19940301,20050913,19817,LMP15702,6,Subdivision,Registered,1994
3343,19941223,20050913,20063,LMP21859,6,Subdivision,Registered,1995
3344,19900507,20050913,18991,85861,6,Subdivision,Registered,1990
3345,20040617,20050415,8607,BCP16611,3,Reference Plan,Registered,2004
3346,19850801,20050913,14158,27020,6,Subdivision,Registered,1964
3347,19900119,20040406,28427,83977,6,Subdivision,Registered,1989
3348,19850801,20050913,19205,8804,6,Subdivision,Registered,1946
3349,19851127,20050913,17660,70754,6,Subdivision,Registered,1985
3350,19850801,20050913,14402,3124,6,Subdivision,Registered,1919
3351,19930922,20050913,19783,LMP14664,6,Subdivision,Registered,1994
3352,19900817,20050913,19098,86727,6,Subdivision,Registered,1990
3353,19880815,20070509,27979,79888,4,Right of Way,Registered,1988
3354,20030430,20070509,28171,81914,4,Right of Way,Registered,1998
3355,19911121,20070509,29892,LMP1702,4,Right of Way,Registered,1991
3356,20010622,20070509,31677,LMP43986,4,Right of Way,Registered,1999
3357,19930421,20070509,28589,85379,4,Right of Way,Registered,1990
3358,19860711,20070509,24812,45703,4,Right of Way,Registered,1974
3359,19931004,20070509,29614,LMP12766,4,Right of Way,Registered,1993
3360,19920416,20070509,31177,LMP3762,4,Right of Way,Registered,1992
3361,19960626,20070509,25154,50231,4,Right of Way,Registered,1976
3362,19871013,20070509,27521,75831,4,Right of Way,Registered,1987
3363,20040707,20070509,29084,BCP06561,4,Right of Way,Registered,2003
3364,19850801,20070509,23213,10316,4,Right of Way,,
3365,20060829,20071109,9710,BCP24061,4,Right of Way,Registered,2006
3366,20010327,20070509,29724,LMP14398,4,Right of Way,Registered,1994
3367,20040705,20070509,31149,LMP37209,4,Right of Way,Registered,1998
3368,20021122,20070509,1914,BCP01026,4,Right of Way,Registered,2002
3369,19850801,20070509,24333,35502,4,Right of Way,,
3370,19860611,20070509,26788,68325,4,Right of Way,Registered,1984
3371,20000906,20070509,31277,LMP39011,4,Right of Way,Registered,1998
3372,20000207,20070509,31371,LMP40437,4,Right of Way,Registered,1999
3373,20020828,20070509,708,BCP00601,4,Right of Way,Registered,2002
3374,20020312,20070509,31886,LMP47251,4,Right of Way,Registered,2000
3375,19920616,20070509,31494,LMP4176,4,Right of Way,Registered,1992
3376,20060619,20070509,511,BCP15791,4,Right of Way,Registered,2005
3377,20010426,20070509,31125,LMP36855,4,Right of Way,Registered,1998
3378,19990319,20070509,31195,LMP38014,4,Right of Way,Registered,1998
3379,20000504,20070509,18052,74915,4,Right of Way,Registered,1987
3380,19850801,20070509,23921,25997,4,Right of Way,,
3381,20041008,20070509,3886,BCP06654,4,Right of Way,Registered,2004
3382,20040510,20070509,31877,LMP47084,4,Right of Way,Registered,2000
3383,19980918,20070509,30759,LMP31492,4,Right of Way,Registered,1997
3384,20030106,20070509,29397,LMP01284,4,Right of Way,Registered,2002
3385,20031128,20070509,7044,BCP06067,4,Right of Way,Registered,2003
3386,19861028,20070509,26861,69090,4,Right of Way,Registered,1985
3387,20060130,20070509,27762,7803-0166,4,Right of Way,Registered,2005
3388,19930629,20070509,32568,LMP9441,4,Right of Way,Registered,1993
3389,19940510,20070509,29986,LMP18490,4,Right of Way,Registered,1994
3390,20030107,20070509,31998,LMP48771,4,Right of Way,Initiated,9999
3391,19930318,20070509,32300,LMP5257,4,Right of Way,,
3392,19860717,20070509,24432,38853,4,Right of Way,Registered,1971
3393,20051118,20070509,4151,BCP17391,4,Right of Way,Registered,2005
3394,19930316,20070509,27958,79659,4,Right of Way,Registered,1989
3395,20051116,20070509,5877,BCP17595,4,Right of Way,Registered,2005
3396,19850801,20070613,26416,6453,2,Explanatory,Registered,1927
3397,19850801,20070613,25120,4978,3,Reference Plan,Registered,1916
3398,19891212,20070613,18843,83822,6,Subdivision,Registered,1989
3399,19891124,20070613,18860,84070,6,Subdivision,Registered,1989
3400,19980928,20080121,32879,LMS3128,9,Strata,Registered,1998
3401,19850801,20080121,23560,15927,6,Subdivision,Registered,1955
3402,20070613,20071004,10824,BCP31430,6,Subdivision,Registered,2007
3403,19850801,20070605,26366,6399,6,Subdivision,Registered,1939
3404,20070613,20070809,10769,BCP31445,6,Subdivision,Registered,2007
3405,19930817,20070613,19673,LMP13395,6,Subdivision,Registered,1993
3406,19950302,20070613,19987,LMP19664,6,Subdivision,Registered,1994
3407,20060605,20070613,2691,BCP19135,6,Subdivision,Registered,2005
3408,19850801,20070613,23841,23354,6,Subdivision,Registered,1961
3409,20090106,20090116,22152,BCP39459,6,Subdivision,Registered,2008
3410,20090106,20090616,22760,BCP41022,6,Subdivision,Registered,2009
3411,20090106,20090318,22375,BCP39867,3,Reference Plan,Registered,2009
3412,20090106,20090318,22513,BCP40140,3,Reference Plan,Registered,2009
3413,20090106,20090107,22524,BCP39509,3,Reference Plan,Registered,2008
3414,20090106,20090109,22518,BCS03003-03,9,Strata,Registered,2008
3415,20090113,20091130,22542,BCP40332,6,Subdivision,Registered,2009
3416,20090112,20090112,22251,BCP39282,6,Subdivision,Registered,2008
3417,20090112,20090112,22557,BCP38617,3,Reference Plan,,
3418,20090113,20090113,22419,EC-025-104,6,Subdivision,Early Copy,2009
3419,20090113,20090522,22541,BCP39621,6,Subdivision,Registered,2009
3420,20090120,20090226,22585,BCP39778,6,Subdivision,Registered,2009
3421,20060613,20080125,9616,BCP23519,4,Right of Way,Registered,2006
3422,20080125,20080125,11282,BCP33253,2,Explanatory,Registered,2007
3423,20080201,20080311,11407,BCP34802,3,Reference Plan,Registered,2008
3424,20080128,20080128,11328,BCP29955,4,Right of Way,Registered,2007
3425,20080418,20080422,11314,BCP32008,2,Explanatory,Registered,2007
3426,20090324,20091014,22721,BCP42041,3,Reference Plan,Registered,2009
3427,20090326,20090512,22676,BCP40305,4,Right of Way,Registered,2009
3428,20090325,20090325,22679,BCP40248,4,Right of Way,Registered,2009
3429,20090326,20090512,22703,BCP40483,2,Explanatory,Registered,2009
3430,20090326,20100127,22675,BCP43493,4,Right of Way,Registered,2010
3431,20090326,20090512,22677,BCP40289,4,Right of Way,Registered,2009
3432,20090326,20091020,22537,BCP42040,6,Subdivision,Registered,2009
3433,19850801,20090407,25276,52318,6,Subdivision,Registered,1977
3434,19870515,20090407,27429,74966,6,Subdivision,Registered,1987
3435,20051012,20090407,4508,BCP19852,6,Subdivision,Registered,2005
3436,20090422,20090525,22735,BCS02897-06,9,Strata,Registered,2009
3437,20090506,20090506,22801,EPP01129,3,Reference Plan,Registered,2009
3438,20030507,20070509,30155,LMP2129,4,Right of Way,Registered,1991
3439,20000223,20070509,31255,LMP38795,4,Right of Way,Registered,1998
3440,19920312,20070509,30799,LMP3218,4,Right of Way,Registered,1992
3441,20040518,20070509,33251,EC-124-281,4,Right of Way,Early Copy,1999
3442,19960207,20070509,26950,70011,4,Right of Way,Registered,1985
3443,19860210,20070509,25342,52986,4,Right of Way,Registered,1978
3444,19860415,20070509,24549,41179,4,Right of Way,Registered,1973
3445,19930913,20070509,29522,LMP11317,4,Right of Way,Registered,1994
3446,20030509,20070509,8602,BCP00431,4,Right of Way,Registered,2002
3447,20000508,20070509,28280,82768,4,Right of Way,Registered,1989
3448,20010511,20070509,30906,LMP33687,4,Right of Way,Registered,1997
3449,20010507,20070509,31409,LMP40970,4,Right of Way,Registered,1999
3450,19891208,20070509,28253,82505,4,Right of Way,Registered,1989
3451,19860417,20070509,23824,229914C,4,Right of Way,Registered,1958
3452,19860919,20070509,27215,72652,4,Right of Way,Registered,1986
3453,19860627,20070509,26467,65083,4,Right of Way,Initiated,
3454,20050119,20070509,2565,BCP10812,4,Right of Way,Registered,2003
3455,20021004,20070509,5905,BCP01269,4,Right of Way,Registered,2002
3456,20021024,20070509,6303,BCP01085,4,Right of Way,Registered,2002
3457,20010103,20070509,31956,LMP48335,4,Right of Way,Acquired,2000
3458,19850801,20070509,24051,300138C,4,Right of Way,,
3459,19940922,20070509,29462,LMP10497,4,Right of Way,Registered,1994
3460,20020322,20070509,32200,LMP51182,4,Right of Way,Registered,2001
3461,19930803,20070509,29503,LMP11106,4,Right of Way,Registered,1994
3462,20010406,20070509,29573,LMP12103,4,Right of Way,Registered,1993
3463,19860610,20070509,27001,70621,4,Right of Way,Registered,1986
3464,19960619,20070509,30823,LMP32638,4,Right of Way,Registered,1997
3465,20020624,20070509,3859,LMP54160,4,Right of Way,Registered,2002
3466,19861114,20070509,26499,65406,4,Right of Way,Registered,1983
3467,19860506,20070509,25667,56561,4,Right of Way,Registered,1979
3468,19850801,20070509,24304,34873,4,Right of Way,,
3469,20010425,20070509,31137,LMP37063,4,Right of Way,Registered,1998
3470,20040716,20070509,5301,BCP11510,4,Right of Way,Registered,2004
3471,20030718,20070509,31992,LMP48684,4,Right of Way,Registered,2001
3472,20020529,20070509,4379,LMP53697,4,Right of Way,Registered,2002
3473,19861016,20070509,27242,72909,4,Right of Way,Registered,1989
3474,19860618,20070509,24755,44720,4,Right of Way,Registered,1973
3475,20060124,20070509,889,LMP16400,4,Right of Way,Initiated,2005
3476,19860812,20070509,23874,24602,4,Right of Way,Registered,1964
3477,20021205,20070509,32197,LMP51173,4,Right of Way,Registered,2001
3478,19860130,20070509,26126,61680,4,Right of Way,Registered,1981
3479,19870513,20070509,27318,73815,4,Right of Way,Registered,1987
3480,19860415,20070509,26974,70354,4,Right of Way,Registered,1986
3481,20030410,20070509,3704,BCP01100,4,Right of Way,Registered,2002
3482,19881128,20070509,27302,73504,4,Right of Way,Registered,1987
3483,20010508,20070509,31100,LMP36605,4,Right of Way,Registered,1998
3484,19920323,20050913,32615,LMS0271,9,Strata,Registered,1992
3485,19850801,20050913,15249,43732,6,Subdivision,Registered,1973
3486,20050913,20070523,21371,NW1206,9,Strata,Registered,1978
3487,19850801,20050913,11972,12756,6,Subdivision,Registered,1952
3488,19850801,20050913,21388,NW1281,9,Strata,Registered,1979
3489,20021122,20021206,707,BCP01197,6,Subdivision,Registered,2002
3490,19941102,20050420,30150,LMP21099,3,Reference Plan,Registered,1995
3491,19950609,20050913,30215,LMP22276,3,Reference Plan,Registered,1995
3492,19960626,20050913,20257,LMP27911,6,Subdivision,Registered,1996
3493,19950816,20050913,32790,LMS2002,9,Strata,Registered,1995
3494,19850801,20050913,17345,67411,6,Subdivision,Registered,1984
3495,20050913,20070523,27734,7790,3,Reference Plan,Registered,1936
3496,20020222,20050913,32224,LMP51531,3,Reference Plan,Registered,2001
3497,19850830,20050913,29207,H89862E,7,Title,Registered,1972
3498,19850830,20050913,16368,57873,6,Subdivision,Registered,1979
3499,19850801,20050913,33206,U73230E,7,Title,Registered,1966
3500,19850801,20050913,16027,54266,3,Reference Plan,Registered,1978
3501,19850801,20050913,26606,66502,3,Reference Plan,Registered,1983
3502,19870406,20050913,17981,73899,3,Reference Plan,Registered,1987
3503,19881215,20050913,18512,79767,3,Reference Plan,Registered,1988
3504,19850801,20050913,19159,8727,6,Subdivision,Registered,1946
3505,20050913,20060117,15457,469,6,Subdivision,Registered,1890
3506,19850801,20050913,18557,8032,2,Explanatory,Registered,1938
3507,20050913,20060116,15457,469,6,Subdivision,Registered,1890
3508,19850801,20050913,16574,60038,3,Reference Plan,Registered,1980
3509,20040618,20050913,2641,BCS00248,9,Strata,Registered,2003
3510,20040712,20051121,2675,BCP12339,3,Reference Plan,Registered,2004
3511,20040430,20040716,32934,LMS4352,9,Strata,Registered,2004
3512,19930617,20050913,32674,LMS0855,9,Strata,Registered,1993
