,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LOCATION,MAP_NO,MOD_DATE,NAME,OWNER,PROJECT_NO,SENSITIVITY,STATUS,WARRANTYDATE,WATER_BODY_TYPE,YR
654,SW of Serpentine Sea Dam,,,20111114,1001220113,Final AB,1001220089,"Bounded by Hwy 99, KGB, Serpentine River",092,,Farmland Pond,Private,,A,In Service,,Lake,2011
655,SW of Serpentine Sea Dam,,,20111114,1001220114,Final AB,1001220090,"Bounded by Hwy 99, KGB, Serpentine River",092,,Farmland Pond,Private,,A,In Service,,Lake,2011
656,SW of Serpentine Sea Dam,,,20111114,1001220115,Final AB,1001220091,"Bounded by Hwy 99, KGB, Serpentine River",092,,Farmland Pond,Private,,A,In Service,,Lake,2011
657,,,,20111115,1001220617,Final AB,,,050,20130723,Above Ground Municipal,Surrey,7884-0780-00,C,In Service,,Dry Detention Pond,1986
658,,,,20111115,1001220616,Final AB,,,050,20130723,Above Ground Municipal,Surrey,7887-0970-00,C,In Service,,Dry Detention Pond,1988
659,,,,20111115,1001220619,Final AB,,,050,20130723,Above Ground Municipal,Surrey,7887-0970-00,C,In Service,,Dry Detention Pond,1988
660,,,,20111115,1001220695,Final AB,,,135,20130723,Above Ground Municipal,Surrey,7883-342,C,In Service,,Dry Detention Pond,1985
661,,,,20111115,1001220697,Final AB,,,021,20130723,Above Ground Municipal,Surrey,7887-3320,C,In Service,,Dry Detention Pond,1990
662,,,,20111115,1001220618,Final AB,,,050,20130723,Above Ground Municipal,Surrey,7885-1620-00,C,In Service,,Dry Detention Pond,1988
663,,,,20111115,1001220693,Final AB,,,135,20130723,Above Ground Municipal,Surrey,A522,B,In Service,,Dry Detention Pond,1984
664,,,,20111114,1001220105,Final AB,,,098,20130723,,Surrey,,B,In Service,,Lake,2011
665,NE of Serpentine Sea Dam,,,20111114,1001219917,Final AB,,14630 48 Ave,093,20131007,Farmland Pond,Private,,B,In Service,,Lake,2011
666,,,,20131105,1001219470,Final AB,,9920 Whalley Blvd,022,20131106,Surrey Centre DP (Quibble Crk),Surrey,4801-6050-00,A,In Service,,Lake,2010
667,,,,20131203,1001720660,,,,146,20131203,,Private,,B,In Service,,Lake,
668,Private Detention for Greenhouses,,,20131204,1001720698,,,,138,20131204,,Private,,C,In Service,,Lake,
669,Private Detention for Greenhouses,,,20131204,1001720699,,,,138,20131204,,Private,,C,In Service,,Lake,
670,,,,20170411,1001926484,Initial AB,,,062,20170418,Newton Town Centre Detention Pond,Surrey,4811-6010-00,B,In Service,,Wet Detention Pond,2016
671,,,,20170418,1001927112,Final AB,,,131,20170418,,Surrey,3822,C,In Service,,Dry Detention Pond,1980
672,,,,20131112,1001718312,Final AB,,S of 26 Ave & E of 192 St,119,20140922,,Surrey,4812-9130-00,A,In Service,,Lake,2014
