,STRUCTURE_TYPE,STRUCTURE_TYPE2,DESCRIPTION,LOCATION,STRUCTURE_DETAIL_TYPE,SPECIAL_FEATURES,MATERIAL_TYPE,WIDTH_M,SEATING_TYPE,GIFT_DONATION,PLAQUE_DETAIL,BENCH_STYLE,CAPACITY,DIMENSION_M2,COMPONENT_TYPE,SURFACE_MATERIAL,WINTERIZED,LENGTH_M,HOUSE_NO,STATUS,STATUS_DATE,PARK_OWNERSHIP,INSERVICE_DATE,INSERVICE_COST,CONDITION,YRS_LIFE_EXPECTANCY,WARRANTYDATE,WARRANTY_PROVIDER,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,Latitude,Longitude
2310,0,Benches and Bleachers,"Bench; Francis Park, 15951 83 Ave","In the park, bench ref # 9",,,Metal,,Bench,N,,Basic,,,,,,,15996,OPERATING,20110602125900,,20110501,0,,,,,"Francis Park, 15951 83 Ave",Land,49.154456,-122.779869
2311,0,Benches and Bleachers,"Bench; Brownsville Bar Park, 11931 Old Yale Road","in the park, bench ref # 6",,,Other,,Bench,N,,,3,0,,,,,11931,OPERATING,20110602141700,,20090501,0,,,,,"Brownsville Bar Park, 11931 Old Yale Road",Park,49.205594,-122.890965
2312,0,Benches and Bleachers,"Bench; Brownsville Bar Park, 11931 Old Yale Road","in the park, bench ref # 7",,,Other,,Bench,N,,,3,0,,,,,11931,OPERATING,20110602141800,,20090501,0,,,,,"Brownsville Bar Park, 11931 Old Yale Road",Park,49.205250,-122.891260
2313,1,Gates,"Bollard; 32D - Utility ROW / 32A - Greenbelt, 9333 138 St",at 138 St park entrance,Bollard,,Metal,,,,,,,,,,,,09333,OPERATING,,,20160504,,,,,,"32D - Utility ROW / 32A - Greenbelt, 9333 138 St",Park,49.172275,-122.841181
2314,0,Benches and Bleachers,"Bench; Tannery Park, 10761 Dyke Rd","Along path looking over water, bench ref # 1",,,Metal,,Bench,N,,,2,,,,,,10761,OPERATING,20021030143200,,20020715,0,,,,,"Tannery Park, 10761 Dyke Rd",Park,49.198688,-122.899916
2315,0,Benches and Bleachers,"Bench; Bear Creek Park, 13750 88 Ave","In gardens, bench ref # 42",,,Metal,,Bench,Y,,Cast,,,,,,,13750,OPERATING,20090720145900,,20011231205314,0,,,,,"Bear Creek Park, 13750 88 Ave",Park,49.158631,-122.839566
2316,0,Benches and Bleachers,"Bench; Fleetwood Park, 15802 80 Ave","west bench south of basketball court, bench ref # 23",,,Metal,,Bench,N,,Basic,3,,,,,,15802,OPERATING,20110608131300,,20110603,0,,,,,"Fleetwood Park, 15802 80 Ave",Park,49.147177,-122.780940
2317,0,Benches and Bleachers,"Bench; Fleetwood Park, 15802 80 Ave","east bench south of basketball court, bench ref # 24",,,Metal,,Bench,N,,Basic,3,,,,,,15802,OPERATING,20110608131500,,20110603,0,,,,,"Fleetwood Park, 15802 80 Ave",Park,49.147176,-122.780854
2318,0,Benches and Bleachers,"Bench; Cloverdale Athletic Park, 6330 168 St","west of synthetic field #3, bench ref # 2",,,,,Bench,Y,,Cast,3,,,,,,06330,OPERATING,20100218111500,,20100202,0,,,20200131,,"Cloverdale Athletic Park, 6330 168 St",Park,49.117678,-122.753876
2319,1,Gates,"Single Barrier - Gate; Cloverdale Athletic Park, 6330 168 St",North access gate off 64 Ave,Service,,Metal,,,,,,,,,,,,06330,OPERATING,,,,,,,,,"Cloverdale Athletic Park, 6330 168 St",Park,49.118697,-122.751234
2320,1,Gates,"Bollard; Dufferin Park,17375 2 Ave",off P1 2 Ave entrance to park,Bollard,,,,,,,,,,,,,,17375,OPERATING,,,,,,,,,"Dufferin Park,17375 2 Ave",,49.005657,-122.742274
2321,1,Gates,"Metal Locking Gate; Dufferin Park,17375 2 Ave",entrance to parking lot,Barrier - Double,,Metal,,,,,,,,,,,,17375,OPERATING,,,,,,,,,"Dufferin Park,17375 2 Ave",,49.005660,-122.742078
2322,1,Gates,"Bollard; Dufferin Park,17375 2 Ave",3 Ave entrance to park,Bollard,,,,,,,,,,,,,,17375,OPERATING,,,,,,,,,"Dufferin Park,17375 2 Ave",,49.007754,-122.740310
2323,1,Gates,"Bollard; Dufferin Park,17375 2 Ave",3 Ave entrance to park,Bollard,,,,,,,,,,,,,,17375,OPERATING,,,,,,,,,"Dufferin Park,17375 2 Ave",,49.007773,-122.741061
2324,4,Stairs,"Stairway #1 - Wood; Bailey Crescent Park, 11600 - Bailey Cres",along path,,,Wood,,,,,,,,,,,,11600,OPERATING,,,,,,,,,"Bailey Crescent Park, 11600 Bailey Cres",Land,49.183854,-122.901348
2325,6,Other,"Electrical Kiosk; Blackie Spit, 3136 McBride Ave",near intersection of Wickson Rd and Ohara Lane,,,,,,,,,,,,,,,03136,OPERATING,,,,,,,,,"Blackie Spit, 3136 McBride Ave",Park,49.059149,-122.882975
2326,6,Other,"Bike Lock; Blackie Spit, 3136 McBride Ave",near intersection of Wickson Rd and Ohara Lane,,,,,,,,,,,,,,,03136,OPERATING,,,,,,,,,"Blackie Spit, 3136 McBride Ave",Park,49.059180,-122.883072
2327,6,Other,"Bike Lock; Blackie Spit, 3136 McBride Ave",end of Sullivan St,,,,,,,,,,,,,,,03136,OPERATING,,,,,,,,,"Blackie Spit, 3136 McBride Ave",Park,49.056667,-122.887140
2328,2,Plumbing Fixtures,"Standpipe; Fleetwood Park, 15802 80 Ave",adjacent to shelter #1,Stand Pipes,,,,,,,,,,,,,,15802,OPERATING,,,,,,,,,"Fleetwood Park, 15802 80 Ave",Park,49.147829,-122.784136
