,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
68,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),20140721,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
69,, , ,,13,,UPA, ,Small Lot with Lane (13 u.p.a.),20130909,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
70,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
71,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
72,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
73,, , ,,,,, ,Buffers/Greenways,20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
74,, , ,,13,,UPA, ,Small Lot with Lane (13 u.p.a.),20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
75,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
76,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
77,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
78,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
79,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
80,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
81,, , ,,,,, ,Buffers/Greenways,20130909,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
82,, , ,,10,,UPA, ,Small Lot (10 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
83,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
84,,,,,6,,UPA,,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
85,, , ,,,,, ,Buffers/Greenways,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
86,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
87,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
88,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
89,, , ,,10,,UPA, ,Small Lot (10 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
90,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
91,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
92,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
93,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
94,, , ,,,,, ,Institutional,20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
95,20140707,Amended from Proposed Single Family (6 u.p.a.) to Small Lot (10 u.p.a.), ,20140721,10,,UPA,7911-0185-00,Small Lot (10 u.p.a.),20140721,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
96,, , ,,,,, ,Institutional,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
97,, , ,,13,,UPA, ,Small Lot with Lane (13 u.p.a.),20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
98,, , ,,,,, ,Proposed Local Commercial,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
99,, , ,,,,, ,Pond Buffers,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
100,, , ,,,,, ,Existing Suburban Transition Lots,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
101,,,,,6,,UPA,,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
