,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESIGNATION,FACILITYID,GIS_ENTRY_STAGE,GREENWAY,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROJECT_NO,STATUS,WARRANTYDATE,WIDTH,YR,YTD_COST
14557,,,,20160121,Residential,1001811769,Initial AB,No,,,Local,Concrete,20180413,Surrey,7813-0249-00,In Service,,1.5,2015,
14558,,,,20160121,Residential,1001811770,Initial AB,No,,,Local,Concrete,20180413,Surrey,7813-0249-00,In Service,,2,2015,
14559,,,,20170203,Residential,1001868362,Initial AB,No,,,Local,Concrete,20180413,Surrey,3815-6020-00,In Service,,,2016,
14560,,,,20170203,Residential,1001868368,Initial AB,No,,,Local,Concrete,20180413,Surrey,3815-6020-00,In Service,,,2016,
14561,,,,20170203,Residential,1001868369,Initial AB,No,,,Local,Concrete,20180413,Surrey,3815-6020-00,In Service,,,2016,
14562,,,,20170208,Residential,1001868374,Initial AB,No,,,Local,Concrete,20180413,Surrey,3815-6020-00,In Service,,,2016,
14563,,,,20170208,Residential,1001868378,Initial AB,No,,,Local,Concrete,20180413,Surrey,3815-6020-00,In Service,,,2016,
14564,,,,20170207,Residential,1001868563,Initial AB,No,,,Local,Concrete,20180413,Surrey,3814-4050-00,In Service,,1.5,2016,
14565,,,,20160413,Residential,1001870107,Final AB,No,,,Local,Concrete,20180413,Surrey,7811-0071-00,In Service,,,2015,
14566,,,,20160413,Residential,1001870113,Final AB,No,,,Local,Concrete,20180413,Surrey,7811-0071-00,In Service,,,2015,
14567,,,,20160413,Residential,1001870114,Final AB,No,,,Local,Concrete,20180413,Surrey,7811-0071-00,In Service,,,2015,
14568,,9,20180214,20170605,Residential,1001870168,Final AB,No,,,Local,Concrete,20180413,Surrey,7813-0284-00,In Service,,1.5,2016,
14569,,,,20160414,Residential,1001870214,Final AB,No,,,Local,Concrete,20180413,Surrey,7811-0071-00,In Service,,,2015,
14570,,,,20170203,Residential,1001868351,Initial AB,No,,,Local,Concrete,20180413,Surrey,3815-6020-00,In Service,,2,2015,
