,BY_LAW_01,BY_LAW_02,BY_LAW_03,BY_LAW_04,CRE_DATE,LOT_TYPE,MOD_DATE,WEBLINK,ZONING,ZONING_TEXT
385,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=PA1,Assembly Hall 1 Zone,PA-1
386,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=PA1,Assembly Hall 1 Zone,PA-1
387,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RM45,Multiple Residential 45 Zone,RM-45
388,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CCR,Child Care Zone,CCR
389,B/L 16146,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
390,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RMD,Duplex Residential Zone,RM-D
391,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=C4,Local Commercial Zone,C-4
392,B/L 15421,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
393,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RM15,Multiple Residential 15 Zone,RM-15
394,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RM70,Multiple Residential 70 Zone,RM-70
395,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CHI,Highway Commercial Industrial Zone,CHI
396,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RM45,Multiple Residential 45 Zone,RM-45
397,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RMD,Duplex Residential Zone,RM-D
