,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,NODE_NO,NODE_SIZE,MATERIAL,INVERT,RIM_ELEVATION,I_I_SOURCE,I_I_QUANTITY,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,INSTALL_DATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ENABLED,ANCILLARYROLE,Latitude,Longitude
150,2,Riser Pocket,1000074672,27886,1227311433,100,PVC Plastic,0.2,,,,Abandoned,4515,1977,Surrey,,LINE BW-C,,,,,,,,20051115,20091110,0,0,49.209936,-122.881487
151,2,Riser Pocket,1000074683,27900,1232511490,63,PVC Plastic,0.69,,,,Abandoned,4515,1977,Surrey,,LINE BW-C,,,,,,,,20051115,20091110,0,0,49.210970,-122.880033
152,2,Riser Pocket,1000074662,27875,1233611424,100,PVC Plastic,0.46,,,,Abandoned,4515,1977,Surrey,,LINE BW-C,,,,,,,,20051115,20091110,0,0,49.209775,-122.879753
153,2,Riser Pocket,1000074681,27898,1228511457,75,PVC Plastic,0.38,,,,Abandoned,4515,1977,Surrey,,LINE BW-C,,,,,,,,20051115,20091110,0,0,49.210375,-122.881157
154,2,Riser Pocket,1000074708,27944,1248011425,150,PVC Plastic,0.49,,,,In Service,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051116,,1,0,49.209777,-122.875779
155,2,Riser Pocket,1000074709,27945,1251011424,150,PVC Plastic,0.38,,,,In Service,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051116,,1,0,49.209776,-122.874932
156,2,Riser Pocket,1000075006,27662,1279811463,150,PVC Plastic,0.69,,,,In Service,4515,1978,Surrey,,,,,,,,,,20051103,,1,0,49.210447,-122.866992
157,2,Riser Pocket,1000075007,27663,1279811464,150,PVC Plastic,0.91,,,,In Service,4515,1978,Surrey,,,,,,,,,,20051103,,1,0,49.210443,-122.866988
158,2,Riser Pocket,1000075008,27664,1279211462,150,PVC Plastic,0.31,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051103,,1,0,49.210448,-122.867140
159,2,Riser Pocket,1000075009,27665,1279211463,150,PVC Plastic,0.31,,,,In Service,4515,1978,Surrey,,,,,,,,,,20051103,,1,0,49.210448,-122.867140
160,2,Riser Pocket,1000074609,28102,1255111533,75,PVC Plastic,0.48,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.211745,-122.873813
161,2,Riser Pocket,1000074610,28103,1257711533,75,PVC Plastic,0.52,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.211744,-122.873096
162,2,Riser Pocket,1000074612,28106,1262911533,63,PVC Plastic,0.52,,,,Abandoned,4515,1977,Surrey,,LINE BW-B,,,,,,,,20051123,20120418,0,0,49.211742,-122.871644
163,2,Riser Pocket,1000074584,28073,1265411335,75,PVC Plastic,0.6,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051122,20120423,0,0,49.208165,-122.870974
164,2,Riser Pocket,1000074560,28030,1255911332,63,PVC Plastic,0.61,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051121,20120423,0,0,49.208115,-122.873583
165,2,Riser Pocket,1000074566,28037,1260611324,63,PVC Plastic,0.68,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051121,20120423,0,0,49.207952,-122.872300
