objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,GlobalID_2,Shape__Area,Shape__Length
43,8,0.17855903,7778.00011895,Beautification Site,BTF,12,Amber Triangle,Amber Triangle,Amber Triangle,Northeast,296.74385881,f2ac7993-bc0c-4271-9071-e469f8f652cc,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,2nd Division,a63d6044-cd09-4532-826e-e7adcc1b9e9f,722.6171875,118.904249355041
44,17,0.47781632,20813.59571412,Beautification Site,BTF,12,Baum Negley Triangle,Baum Negley Triangle,Baum Negley Triangle,Northeast,504.37222474,fa3d8490-619c-4c5d-acee-a60c745dd8b5,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,2nd Division,3ab0d83f-0770-4dc1-ba09-574d50e84d08,1933.64453125,202.080501179449
45,69,7.85365843,342103.99295694,Beautification Site,BTF,12,Frankstown Triangle 1 & 2,Frankstown Triangle 1 & 2,Frankstown Triangle 1 & 2,Northeast,3139.28567015,732bc31d-d5bf-4d93-b8be-795a9bdeaf77,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,2nd Division,46d912f4-117d-45cf-9650-1cf272e73c74,31782.63671875,1259.27087224346
46,155,0.03998018,1741.52949276,Beautification Site,BTF,13,Polish Hill Monument,Polish Hill Monument,Polish Hill Monument,Schenley,134.44142936,b37088bf-d7c0-401e-9d93-e5f9f85ca70b,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,2nd Division,e58856af-2ce2-4f18-a8c6-881d989a99a2,161.78515625,53.9272349600803
47,128,0.13659002,5949.83764709,Beautification Site,BTF,10,Monitor St and St Phil Islands,Monitor St and St Phil Islands,Monitor St and St Phil Islands,Eastern,251.94530266,8b16bb3a-205c-4812-aa9a-ad87e31e2a78,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,3rd Division,73dbe21a-2aa4-48e7-a05a-80674a521b09,552.76171875,100.902864147407
48,102,0.36268475,15798.48458799,Neighborhood Park,NP,1,Leister St Parklet,Leister Street Park,Leister Street Park,Northern,410.53604786,a9d16cfe-003c-476c-8ea2-0d522202d3ea,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,96cabfc9-ff1f-40e7-807f-a2dca3c52cba,1467.734375,164.568271176196
49,207,2.55713224,111388.23490063,Neighborhood Park,NP,5,Tropical Parklet,Tropical Park,Tropical Park,Western,1057.28576373,96b7ba58-af4f-4803-a06a-ee46a0219b12,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,e2880c39-b5ea-4e43-a652-440556b226d7,10348.34765625,423.434904320372
50,113,3.98755887,173697.36938177,Neighborhood Park,NP,3,Manchester Park,Manchester Park,Manchester Park,Northern,1563.26918368,ce0b955c-091a-4ce4-a0bd-6f24dfe298bb,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,6fd7215c-0beb-41b7-8e20-2f3d6c4f7f26,16137.078125,626.167594035937
51,,1.58614227,69092.08097968,,,,,Washburn Square Park,,,,,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,7d5dcc23-7e16-4be1-8893-f6b80ee1fe88,6418.890625,376.619445633425
52,83,2.17950977,94939.06597554,Neighborhood Park,NP,8,Hays Parklet,Hays Park,Hays Park,Southern,1369.16447913,286d8335-f1a8-402b-969d-0ede4cfcd2cc,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Southern,10e911bf-5a18-4534-ab49-b3c6af8dff50,8820.15625,548.102964564386
