,concept,score,trees,parks,parkland,park,fields,sites,subdivision
112,renewable energy,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
113,strategic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,polling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,tables,0.14030612244897958,0.125,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
116,elections,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
117,hazard,0.3018315018315018,0.26666666666666666,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077
118,private force,0.2313847278041652,0.319693094629156,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.21666666666666667
119,water mains,0.29122187336473054,0.2583333333333333,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.2967032967032967,0.2967032967032967
120,aerial photography,0.10728961441035745,0.09808612440191387,0.10882352941176471,0.10882352941176471,0.10882352941176471,0.10882352941176471,0.10882352941176471,0.10882352941176471
121,age,0.1509157509157509,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
122,lacrosse,0.10383100608664518,0.09523809523809523,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684
123,population and dwelling counts,0.16903562707134134,0.17569444444444443,0.1679258241758242,0.1679258241758242,0.1679258241758242,0.1679258241758242,0.1679258241758242,0.1679258241758242
124,collision,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
125,sewage,0.2621848739495798,0.23529411764705882,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.26666666666666666
126,flood plain,0.35746606334841635,0.3176470588235294,0.36410256410256414,0.36410256410256414,0.36410256410256414,0.36410256410256414,0.36410256410256414,0.36410256410256414
127,particulate matter,0.19222162549230218,0.17261904761904762,0.19548872180451127,0.19548872180451127,0.19548872180451127,0.19548872180451127,0.19548872180451127,0.19548872180451127
128,city hall,0.49650597080937636,0.35789473684210527,0.5196078431372549,0.5196078431372549,0.5196078431372549,0.5196078431372549,0.5196078431372549,0.5196078431372549
129,sector,0.1310924369747899,0.11764705882352941,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
130,employment,0.1509157509157509,0.13333333333333333,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385
131,traffic cameras,0.2567935676294809,0.2771929824561403,0.25339366515837103,0.25339366515837103,0.25339366515837103,0.25339366515837103,0.25339366515837103,0.25339366515837103
132,assessment info,0.13696581196581195,0.12222222222222222,0.13942307692307693,0.13942307692307693,0.13942307692307693,0.13942307692307693,0.13942307692307693,0.13942307692307693
